child_resource_type,parent_resource_type
hbaWWN,raidHG
hbaWWN,raidPort
hbaWWN,raidStorage
iscsiInitiator,raidHG
iscsiInitiator,raidPort
iscsiInitiator,raidStorage
nvmNamespace,raidNVMSubsystem
nvmNamespace,raidStorage
raidClpr,raidStorage
raidConsumer,raidHG
raidConsumer,raidLdev
raidConsumer,raidMPB
raidConsumer,raidPort
raidConsumer,raidStorage
raidDrive,raidPG
raidDrive,raidStorage
raidHG,raidPort
raidHG,raidStorage
raidLU,raidHG
raidLU,raidLdev
raidLU,raidPort
raidLU,raidStorage
raidLdev,nvmNamespace
raidLdev,raidClpr
raidLdev,raidMPB
raidLdev,raidPG
raidLdev,raidPool
raidLdev,raidPort
raidLdev,raidStorage
raidLdev,raidStorageVSM
raidLdev,raidURJnl
raidLdev,raidVirtualLdev
raidLdevHba,raidLdev
raidLdevHba,raidPortWWN
raidLdevHba,raidStorage
raidMP,raidMPB
raidMP,raidStorage
raidMPB,raidStorage
raidMpbClpr,raidClpr
raidMpbClpr,raidMPB
raidMpbClpr,raidStorage
raidNVMHost,raidStorage
raidNVMNamespacePath,nvmNamespace
raidNVMNamespacePath,raidNVMHost
raidNVMNamespacePath,raidNVMSubsystem
raidNVMNamespacePath,raidStorage
raidNVMSubsystem,raidStorage
raidNVMSubsystemPort,raidNVMSubsystem
raidNVMSubsystemPort,raidPort
raidNVMSubsystemPort,raidStorage
raidPG,raidPG
raidPG,raidStorage
raidPair,raidLdev
raidPair,raidPathGroup
raidPair,raidStorage
raidPair,raidURJnl
raidPathGroup,raidStorage
raidPool,raidClpr
raidPool,raidStorage
raidPort,raidStorage
raidPort,sp
raidPortGroup,raidLdev
raidPortGroup,raidStorage
raidPortWWN,raidHG
raidPortWWN,raidPort
raidPortWWN,raidStorage
raidRemotePath,raidPathGroup
raidRemotePath,raidStorage
raidStorage,raidVSM
raidStorageVSM,raidStorage
raidStorageVSM,raidVSM
raidURJnl,raidStorage
raidVirtualLdev,raidStorage
raidVirtualLdev,raidStorageVSM
server,hbaWWN
server,iscsiInitiator
server,raidHG
server,raidStorage
