Template,TemplateName
271, "271_ICA_SESSION_SETUP"
274, "274_ICA_APP_LAUNCH"
272, "272_ICA_NETWORK_UPDATE"
273, "273_ICA_SESSION_UPDATE"
275, "275_ICA_APP_TERMINATE"
276, "276_ICA_SESSION_END"
604, "604_ACCELERATED"
605, "605_UNACCELERATED"
256, "256_INGRESS"
257, "257_EGRESS"
