name,type
,post_prop1
,post_prop2
,post_prop3
Device Platform,post_prop4
,post_prop5
,post_prop6
,post_prop7
,post_prop8
,post_prop9
,post_prop10
,post_prop11
,post_prop12
,post_prop13
,post_prop14
,post_prop15
Subsection,post_prop16
,post_prop17
,post_prop18
,post_prop19
,post_prop20
,post_prop21
,post_prop22
,post_prop23
,post_prop24
,post_prop25
,post_prop26
,post_prop27
,post_prop28
,post_prop29
,post_prop30
,post_prop31
,post_prop32
Section,post_prop33
,post_prop34
,post_prop35
,post_prop36
,post_prop37
,post_prop38
,post_prop39
,post_prop40
,post_prop41
,post_prop42
,post_prop43
,post_prop44
,post_prop45
,post_prop46
,post_prop47
,post_prop48
,post_prop49
,post_prop50
,post_prop51
,post_prop52
,post_prop53
,post_prop54
,post_prop55
,post_prop56
,post_prop57
,post_prop58
,post_prop59
,post_prop60
,post_prop61
,post_prop62
,post_prop63
,post_prop64
,post_prop65
,post_prop66
,post_prop67
,post_prop68
,post_prop69
,post_prop70
Author,post_prop71
,post_prop72
,post_prop73
,post_prop74
,post_prop75
