description,metric,"metric_display_name",unit
"Total incoming send requests for a namespace",INREQS,"Incoming Requests",Count
"Total successful requests for a namespace",SUCCREQ,"Successful Requests",Count
"Total failed requests for a namespace",FAILREQ,"Failed Requests",Count
"Total server busy errors for a namespace",SVRBSY,"Server Busy Errors",Count
"Total internal server errors for a namespace",INTERR,"Internal Server Errors",Count
"Total failed requests for a namespace",MISCERR,"Other Errors ",Count
"Total incoming messages for a namespace.",INMSGS,"Incoming Messages",Count
"Total incoming messages for a namespace",EHINMSGS,"EH Incoming Messages",Count
"Total outgoing messages for a namespace.",OUTMSGS,"Outgoing Messages",Count
"Total outgoing messages for a namespace",EHOUTMSGS,"EH Outgoing Messages",Count
"Event Hub incoming message throughput for a namespace",EHINMBS,"EH Incoming bytes",Bytes
"Event Hub incoming message throughput for a namespace",EHINBYTES,"EH Incoming bytes",Bytes
"Event Hub outgoing message throughput for a namespace",EHOUTMBS,"EH Outgoing bytes",Bytes
"Event Hub outgoing message throughput for a namespace",EHOUTBYTES,"EH Outgoing bytes",Bytes
"Event Hub archive messages in backlog for a namespace",EHABL,"EH Archive backlog",messages
"Event Hub archived messages in a namespace",EHAMSGS,"EH Outgoing bytes",Count
"Bytes Event Hub archived message throughput in a namespace",EHAMBS,"EH Archive message",throughput
