device_type,device,metric,type
ldap,ldap_client,tprocess,dataset
ldap,ldap_client,req,count
ldap,ldap_client,msg_type,topn_count
ldap,ldap_client,bytes_in,count
ldap,ldap_client,rsp_error,count
ldap,ldap_client,tprocess_msgtype,topn_dset
ldap,ldap_client,bytes_out,count
ldap,ldap_client,error_msg_short,topn_count
ldap,ldap_client,plain,count
ldap,ldap_client,sasl,count
ldap,ldap_client,rsp,count
ldap,ldap_client_detail,tprocess,topn_sset
ldap,ldap_client_detail,req,topn_count
ldap,ldap_client_detail,msg_type,topn_tset
ldap,ldap_client_detail,bytes_in,topn_count
ldap,ldap_client_detail,rsp_error,topn_count
ldap,ldap_client_detail,bytes_out,topn_count
ldap,ldap_client_detail,error_msg_short,topn_tset
ldap,ldap_client_detail,plain,topn_count
ldap,ldap_client_detail,sasl,topn_count
ldap,ldap_client_detail,rsp,topn_count
ldap,ldap_client_detail,error_msg,topn_count
ldap,ldap_server,tprocess,dataset
ldap,ldap_server,req,count
ldap,ldap_server,msg_type,topn_count
ldap,ldap_server,bytes_in,count
ldap,ldap_server,rsp_error,count
ldap,ldap_server,tprocess_msgtype,topn_dset
ldap,ldap_server,bytes_out,count
ldap,ldap_server,error_msg_short,topn_count
ldap,ldap_server,plain,count
ldap,ldap_server,sasl,count
ldap,ldap_server,rsp,count
ldap,ldap_server_detail,tprocess,topn_sset
ldap,ldap_server_detail,req,topn_count
ldap,ldap_server_detail,msg_type,topn_tset
ldap,ldap_server_detail,bytes_in,topn_count
ldap,ldap_server_detail,rsp_error,topn_count
ldap,ldap_server_detail,bytes_out,topn_count
ldap,ldap_server_detail,error_msg_short,topn_tset
ldap,ldap_server_detail,plain,topn_count
ldap,ldap_server_detail,sasl,topn_count
ldap,ldap_server_detail,rsp,topn_count
ldap,ldap_server_detail,error_msg,topn_count
