device_type,device,metric,type
db,host_db_server,tprocess,dataset
db,host_db_server,rsp_size,dataset
db,host_db_server,req_xfer,dataset
db,host_db_server,rsp_error,count
db,host_db_server,req,count
db,host_db_server,req_size,dataset
db,host_db_server,host,topn_count
db,host_db_server,rsp_ttlb,dataset
db,host_db_server,rsp_xfer,dataset
db,host_db_server,rsp_abort,count
db,host_db_server,req_abort,count
db,host_db_server,rsp,count
db,host_db_server,method,topn_count
db,db_server,tprocess,dataset
db,db_server,rsp_size,dataset
db,db_server,req_xfer,dataset
db,db_server,rsp_error,count
db,db_server,req,count
db,db_server,req_size,dataset
db,db_server,host,topn_count
db,db_server,rsp_ttlb,dataset
db,db_server,rsp_xfer,dataset
db,db_server,rsp_abort,count
db,db_server,req_abort,count
db,db_server,rsp,count
db,db_server,method,topn_count
db,host_db_server_detail,error_msg,topn_count
db,host_db_server_detail,rsp_size,topn_sset
db,host_db_server_detail,method_info_tprocess,topn_sset
db,host_db_server_detail,rsp_error,topn_count
db,host_db_server_detail,user_info_req,topn_count
db,host_db_server_detail,req,topn_count
db,host_db_server_detail,req_size,topn_sset
db,host_db_server_detail,method_info,topn_count
db,host_db_server_detail,user_info_error,topn_count
db,host_db_server_detail,rsp_abort,topn_count
db,host_db_server_detail,req_abort,topn_count
db,host_db_server_detail,rsp,topn_count
db,host_db_server_detail,method,topn_tset
db,db_client,tprocess,dataset
db,db_client,rsp_size,dataset
db,db_client,req_xfer,dataset
db,db_client,rsp_error,count
db,db_client,req,count
db,db_client,req_size,dataset
db,db_client,host,topn_count
db,db_client,rsp_ttlb,dataset
db,db_client,rsp_xfer,dataset
db,db_client,rsp_abort,count
db,db_client,req_abort,count
db,db_client,rsp,count
db,db_client,method,topn_count
db,db_server_detail,error_msg,topn_count
db,db_server_detail,rsp_size,topn_sset
db,db_server_detail,method_info_tprocess,topn_sset
db,db_server_detail,rsp_error,topn_count
db,db_server_detail,user_info_req,topn_count
db,db_server_detail,req,topn_count
db,db_server_detail,req_size,topn_sset
db,db_server_detail,method_info,topn_count
db,db_server_detail,user_info_error,topn_count
db,db_server_detail,rsp_abort,topn_count
db,db_server_detail,req_abort,topn_count
db,db_server_detail,rsp,topn_count
db,db_server_detail,method,topn_tset
db,db_client_detail,error_msg,topn_count
db,db_client_detail,rsp_size,topn_sset
db,db_client_detail,method_info_tprocess,topn_sset
db,db_client_detail,rsp_error,topn_count
db,db_client_detail,user_info_req,topn_count
db,db_client_detail,req,topn_count
db,db_client_detail,req_size,topn_sset
db,db_client_detail,method_info,topn_count
db,db_client_detail,user_info_error,topn_count
db,db_client_detail,rsp_abort,topn_count
db,db_client_detail,req_abort,topn_count
db,db_client_detail,rsp,topn_count
db,db_client_detail,method,topn_tset
db,host_db_client_detail,error_msg,topn_count
db,host_db_client_detail,rsp_size,topn_sset
db,host_db_client_detail,method_info_tprocess,topn_sset
db,host_db_client_detail,rsp_error,topn_count
db,host_db_client_detail,user_info_req,topn_count
db,host_db_client_detail,req,topn_count
db,host_db_client_detail,req_size,topn_sset
db,host_db_client_detail,method_info,topn_count
db,host_db_client_detail,user_info_error,topn_count
db,host_db_client_detail,rsp_abort,topn_count
db,host_db_client_detail,req_abort,topn_count
db,host_db_client_detail,rsp,topn_count
db,host_db_client_detail,method,topn_tset
db,host_db_client,tprocess,dataset
db,host_db_client,rsp_size,dataset
db,host_db_client,req_xfer,dataset
db,host_db_client,rsp_error,count
db,host_db_client,req,count
db,host_db_client,req_size,dataset
db,host_db_client,host,topn_count
db,host_db_client,rsp_ttlb,dataset
db,host_db_client,rsp_xfer,dataset
db,host_db_client,rsp_abort,count
db,host_db_client,req_abort,count
db,host_db_client,rsp,count
db,host_db_client,method,topn_count
