index,host,source,sourcetype,"_raw","_time"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28095"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28096"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28097"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28098"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28099"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28100"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28101"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28102"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28103"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
pgsql,db.example.com,"pg_stat_activity","pg_stat","src_time=""2014-02-25 11:16:34.375159+01:00"" datid=""11564"" datname=""postgres"" procpid=""28104"" usesysid=""10"" usename=""postgres"" current_query=""<insufficient privilege>"" waiting="""" xact_start="""" query_start="""" backend_start="""" client_addr="""" client_port=""""","2014-02-25T11:16:34.375+0100"
