master_technique_id,technique_id,technique_name,tactic_name
T0800,T800,Activate Firmware Update Mode,Inhibit Response Function
T0801,T801,Monitor Process State,Collection
T0802,T802,Automated Collection,Collection
T0803,T803,Block Command Message,Inhibit Response Function
T0804,T804,Block Reporting Message,Inhibit Response Function
T0805,T805,Block Serial COM,Inhibit Response Function
T0806,T806,Brute Force I/O,Impair Process Control
T0807,T807,Command-Line Interface,Execution
T0809,T809,Data Destruction,Inhibit Response Function
T0811,T811,Data from Information Repositories,Collection
T0812,T812,Default Credentials,Lateral Movement
T0813,T813,Denial of Control,Impact
T0814,T814,Denial of Service,Inhibit Response Function
T0815,T815,Denial of View,Impact
T0816,T816,Device Restart/Shutdown,Inhibit Response Function
T0817,T817,Drive-by Compromise,Initial Access
T0819,T819,Exploit Public-Facing Application,Initial Access
T0820,T820,Exploitation for Evasion,Evasion
T0821,T821,Modify Controller Tasking,Execution
T0822,T822,External Remote Services,Initial Access
T0823,T823,Graphical User Interface,Execution
T0826,T826,Loss of Availability,Impact
T0827,T827,Loss of Control,Impact
T0828,T828,Loss of Productivity and Revenue,Impact
T0829,T829,Loss of View,Impact
T0830,T830,Adversary-in-the-Middle,Collection
T0831,T831,Manipulation of Control,Impact
T0832,T832,Manipulation of View,Impact
T0834,T834,Native API,Execution
T0835,T835,Manipulate I/O Image,Inhibit Response Function
T0836,T836,Modify Parameter,Impair Process Control
T0837,T837,Loss of Protection,Impact
T0838,T838,Modify Alarm Settings,Inhibit Response Function
T0839,T839,Module Firmware,Impair Process Control
T0840,T840,Network Connection Enumeration,Discovery
T0842,T842,Network Sniffing,Discovery
T0843,T843,Program Download,Lateral Movement
T0844,T844,Program Organizational Units - Deprecated,Impair Process Control
T0845,T845,Program Upload,Collection
T0846,T846,Remote System Discovery,Discovery
T0847,T847,Replication Through Removable Media,Initial Access
T0848,T848,Rogue Master,Initial Access
T0849,T849,Masquerading,Evasion
T0851,T851,Rootkit,Evasion
T0852,T852,Screen Capture,Collection
T0853,T853,Scripting,Execution
T0855,T855,Unauthorized Command Message,Impair Process Control
T0856,T856,Spoof Reporting Message,Evasion
T0856,T856,Spoof Reporting Message,Impair Process Control
T0857,T857,System Firmware,Inhibit Response Function
T0857,T857,System Firmware,Persistence
T0858,T858,Change Operating Mode,Execution
T0859,T859,Valid Accounts,Lateral Movement
T0859,T859,Valid Accounts,Persistence
T0860,T860,Wireless Compromise,Initial Access
T0861,T861,Point & Tag Identification,Collection
T0862,T862,Supply Chain Compromise,Initial Access
T0863,T863,User Execution,Execution
T0864,T864,Transient Cyber Asset,Initial Access
T0865,T865,Spearphishing Attachment,Initial Access
T0866,T866,Exploitation of Remote Services,Initial Access
T0867,T867,Lateral Tool Transfer,Lateral Movement
T0868,T868,Detect Operating Mode,Collection
T0869,T869,Standard Application Layer Protocol,Command and Control
T0871,T871,Execution through API,Execution
T0872,T872,Indicator Removal on Host,Evasion
T0873,T873,Project File Infection,Persistence
T0874,T874,Hooking,Execution
T0877,T877,I/O Image,Collection
T0878,T878,Alarm Suppression,Inhibit Response Function
T0879,T879,Damage to Property,Impact
T0880,T880,Loss of Safety,Impact
T0881,T881,Service Stop,Inhibit Response Function
T0882,T882,Theft of Operational Information,Impact
T0883,T883,Internet Accessible Device,Initial Access
T0884,T884,Connection Proxy,Command and Control
T0885,T885,Commonly Used Port,Command and Control
T0886,T886,Remote Services,Initial Access
T0887,T887,Wireless Sniffing,"Collection, Discovery"
T0888,T888,Remote System Information Discovery,Discovery
T0889,T889,Modify Program,Persistence
T0890,T890,Exploitation for Privilege Escalation,Privilege Escalation
T0891,T891,Hardcoded Credentials,Lateral Movement
