"mitre_tactic_id","mitre_tactic","mitre_tactic_label","mitre_tactic_url","mitre_tactic_index","mitre_techniques","mitre_record_type","mitre_platform","mitre_description","mitre_url","mitre_detection","mitre_technique_id","mitre_technique","mitre_technique_deprecated","mitre_technique_has_parent","mitre_technique_parent","mitre_sub_techniques","mitre_sub_technique_count","mitre_threat_group_name","mitre_threat_group_aliases","mitre_threat_group_url","mitre_threat_group_id","mitre_software_name","mitre_software_type","mitre_software_platform","mitre_software_url"
TA0107,"inhibit-response-function","Inhibit Response Function","https://attack.mitre.org/tactics/TA0107",9,"T0803
T0881
T0800
T0814
T0805
T0816
T0878
T0835
T0851
T0804
T0809
T0857
T0838
T0892","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0111,"privilege-escalation","Privilege Escalation","https://attack.mitre.org/tactics/TA0111",3,"T0874
T0890","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0109,"lateral-movement","Lateral Movement","https://attack.mitre.org/tactics/TA0109",6,"T0866
T0812
T0843
T0891
T0859
T0886
T0867","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0102,discovery,Discovery,"https://attack.mitre.org/tactics/TA0102",5,"T0887
T0888
T0842
T0846
T0840","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0108,"initial-access","Initial Access","https://attack.mitre.org/tactics/TA0108",0,"T0860
T0819
T0864
T0862
T0865
T0817
T0866
T0822
T0848
T0847
T0886
T0883","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0105,impact,Impact,"https://attack.mitre.org/tactics/TA0105",11,"T0829
T0831
T0837
T0832
T0815
T0880
T0828
T0879
T0827
T0826
T0882
T0813","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0110,persistence,Persistence,"https://attack.mitre.org/tactics/TA0110",2,"T0857
T0891
T0859
T0873
T0839
T0889","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0104,execution,Execution,"https://attack.mitre.org/tactics/TA0104",1,"T0821
T0807
T0863
T0858
T0853
T0871
T0895
T0874
T0823
T0834","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0101,"command-and-control","Command and Control","https://attack.mitre.org/tactics/TA0101",8,"T0884
T0869
T0885","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0100,collection,Collection,"https://attack.mitre.org/tactics/TA0100",7,"T0887
T0861
T0868
T0801
T0845
T0811
T0802
T0877
T0830
T0852
T0893","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0103,evasion,Evasion,"https://attack.mitre.org/tactics/TA0103",4,"T0894
T0858
T0851
T0872
T0856
T0820
T0849","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0106,"impair-process-control","Impair Process Control","https://attack.mitre.org/tactics/TA0106",10,"T0836
T0855
T0856
T0806
T0839","mitre_tactic",,,,,,,,,,,,,,,,,,,
TA0107,"inhibit-response-function",,,,,"mitre_technique",None,"Adversaries may block a command message from reaching its intended target to prevent command execution. In OT networks, command messages are sent to provide instructions to control system devices. A blocked command message can inhibit response functions from correcting a disruption or unsafe condition. (Citation: Bonnie Zhu, Anthony Joseph, Shankar Sastry 2011)  (Citation: Electricity Information Sharing and Analysis Center; SANS Industrial Control Systems March 2016)","https://attack.mitre.org/techniques/T0803",,T0803,"Block Command Message",False,False,,,0,,,,,Industroyer,malware,Windows,"https://attack.mitre.org/software/S0604"
TA0107,"inhibit-response-function",,,,,"mitre_technique",None,"Adversaries may stop or disable services on a system to render those services unavailable to legitimate users. Stopping critical services can inhibit or stop response to an incident or aid in the adversary's overall objectives to cause damage to the environment. (Citation: Enterprise ATT&CK)  Services may not allow for modification of their data stores while running. Adversaries may stop services in order to conduct Data Destruction. (Citation: Enterprise ATT&CK)","https://attack.mitre.org/techniques/T0881",,T0881,"Service Stop",False,False,,,0,,,,,"EKANS
REvil
Industroyer2
Industroyer
KillDisk","malware
malware
malware
malware
malware","Windows
Windows
Field Controller/RTU/PLC/IED,Engineering Workstation
Windows
Linux,Windows","https://attack.mitre.org/software/S0605
https://attack.mitre.org/software/S0496
https://attack.mitre.org/software/S1072
https://attack.mitre.org/software/S0604
https://attack.mitre.org/software/S0607"
TA0106,"impair-process-control",,,,,"mitre_technique",None,"Adversaries may modify parameters used to instruct industrial control system devices. These devices operate via programs that dictate how and when to perform actions based on such parameters. Such parameters can determine the extent to which an action is performed and may specify additional options. For example, a program on a control system device dictating motor processes may take a parameter defining the total number of seconds to run that motor.      

An adversary can potentially modify these parameters to produce an outcome outside of what was intended by the operators. By modifying system and process critical parameters, the adversary may cause [Impact](https://attack.mitre.org/tactics/TA0105) to equipment and/or control processes. Modified parameters may be turned into dangerous, out-of-bounds, or unexpected values from typical operations. For example, specifying that a process run for more or less time than it should, or dictating an unusually high, low, or invalid value as a parameter.","https://attack.mitre.org/techniques/T0836",,T0836,"Modify Parameter",False,False,,,0,,,,,"INCONTROLLER
Stuxnet
Industroyer2","malware
malware
malware","Field Controller/RTU/PLC/IED,Safety Instrumented System/Protection Relay,Engineering Workstation,Windows
Windows
Field Controller/RTU/PLC/IED,Engineering Workstation","https://attack.mitre.org/software/S1045
https://attack.mitre.org/software/S0603
https://attack.mitre.org/software/S1072"
TA0104,execution,,,,,"mitre_technique",None,"Adversaries may modify the tasking of a controller to allow for the execution of their own programs. This can allow an adversary to manipulate the execution flow and behavior of a controller. 

According to 61131-3, the association of a Task with a Program Organization Unit (POU) defines a task association. (Citation: IEC February 2013) An adversary may modify these associations or create new ones to manipulate the execution flow of a controller. Modification of controller tasking can be accomplished using a Program Download in addition to other types of program modification such as online edit and program append.

Tasks have properties, such as interval, frequency and priority to meet the requirements of program execution. Some controller vendors implement tasks with implicit, pre-defined properties whereas others allow for these properties to be formulated explicitly. An adversary may associate their program with tasks that have a higher priority or execute associated programs more frequently. For instance, to ensure cyclic execution of their program on a Siemens controller, an adversary may add their program to the task, Organization Block 1 (OB1).","https://attack.mitre.org/techniques/T0821",,T0821,"Modify Controller Tasking",False,False,,,0,,,,,"PLC-Blaster
Triton
Stuxnet","malware
malware
malware","none
none
Windows","https://attack.mitre.org/software/S1006
https://attack.mitre.org/software/S1009
https://attack.mitre.org/software/S0603"
"TA0102
TA0100","discovery
collection",,,,,"mitre_technique",None,"Adversaries may seek to capture radio frequency (RF) communication used for remote control and reporting in distributed environments. RF communication frequencies vary between 3 kHz to 300 GHz, although are commonly between 300 MHz to 6 GHz. (Citation: Candell, R., Hany, M., Lee, K. B., Liu,Y., Quimby, J., Remley, K. April 2018)  The wavelength and frequency of the signal affect how the signal propagates through open air, obstacles (e.g. walls and trees) and the type of radio required to capture them. These characteristics are often standardized in the protocol and hardware and may have an effect on how the signal is captured. Some examples of wireless protocols that may be found in cyber-physical environments are: WirelessHART, Zigbee, WIA-FA, and 700 MHz Public Safety Spectrum. 

Adversaries may capture RF communications by using specialized hardware, such as software defined radio (SDR), handheld radio, or a computer with radio demodulator tuned to the communication frequency. (Citation: Bastille April 2017) Information transmitted over a wireless medium may be captured in-transit whether the sniffing device is the intended destination or not. This technique may be particularly useful to an adversary when the communications are not encrypted. (Citation: Gallagher, S. April 2017) 

In the 2017 Dallas Siren incident, it is suspected that adversaries likely captured wireless command message broadcasts on a 700 MHz frequency during a regular test of the system. These messages were later replayed to trigger the alarm systems. (Citation: Gallagher, S. April 2017)","https://attack.mitre.org/techniques/T0887",,T0887,"Wireless Sniffing",False,False,,,0,,,,,,,,
TA0105,impact,,,,,"mitre_technique",None,"Adversaries may cause a sustained or permanent loss of view where the ICS equipment will require local, hands-on operator intervention; for instance, a restart or manual operation. By causing a sustained reporting or visibility loss, the adversary can effectively hide the present state of operations. This loss of view can occur without affecting the physical processes themselves. (Citation: Corero) (Citation: Michael J. Assante and Robert M. Lee) (Citation: Tyson Macaulay)","https://attack.mitre.org/techniques/T0829",,T0829,"Loss of View",False,False,,,0,,,,,"KillDisk
Fuxnet
LockerGoga
Industroyer","malware
malware
malware
malware","Linux,Windows
Input/Output Server,Control Server
Windows
Windows","https://attack.mitre.org/software/S0607
https://attack.mitre.org/software/S1157
https://attack.mitre.org/software/S0372
https://attack.mitre.org/software/S0604"
TA0107,"inhibit-response-function",,,,,"mitre_technique",None,"Adversaries may activate firmware update mode on devices to prevent expected response functions from engaging in reaction to an emergency or process malfunction. For example, devices such as protection relays may have an operation mode designed for firmware installation. This mode may halt process monitoring and related functions to allow new firmware to be loaded. A device left in update mode may be placed in an inactive holding state if no firmware is provided to it. By entering and leaving a device in this mode, the adversary may deny its usual functionalities.","https://attack.mitre.org/techniques/T0800",,T0800,"Activate Firmware Update Mode",False,False,,,0,,,,,Industroyer,malware,Windows,"https://attack.mitre.org/software/S0604"
