old_asset_type,asset_type,icon,color
bms,BMS,building,green
broadcast,Broadcast,question,red
ip_camera,Camera,video,orange
Diode,Data-Diode,expeditedssl,red
dcs,DCS,sitemap,green
DHCP Server,DHCP,map,orange
dns_server,DNS,atlas,orange
root_dns_server,DNS,atlas,orange
windows_pdc,Domain Controller,id-card,orange
domain controller,Domain Controller,id-card,orange
ews,Engineering Workstation,desktop,blue
eng_ws,Engineering Workstation,desktop,blue
eng workstation,Engineering Workstation,desktop,blue
ABB,Engineering Workstation,desktop,blue
Engineering Workstation,Engineering Workstation,desktop,blue
file_server,File Server,file-import,orange
File Server,File Server,file-import,orange
firewall,Firewall,expeditedssl,red
universal_gateway,Gateway,archway,black
iccp_server,Gateway,archway,black
ghost,Ghost,question,red
historian,Historian,database,green
hmi,HMI,chalkboard-teacher,blue
ids,IDS,expeditedssl,red
nids,IDS,expeditedssl,red
ASA,IDS,expeditedssl,red
ASM,IDS,expeditedssl,red
IDS/IPS,IDS/IPS,expeditedssl,red
ied,IED,microchip,green
iot_device,IOT device,microchip,green
ips,IPS,expeditedssl,red
laptop,Laptop,laptop-code,blue
General Use Laptop,Laptop,laptop-code,blue
master,Master,server,black
mes,MES,sitemap,green
time_server,NTP,clock,orange
plc,PLC,microchip,green
RTAC,PLC,microchip,green
Motor Control Device,PLC,microchip,green
remote access,Remote Access,door-open,red
removable media,Removable Media,usb,red
bacnet_router,Router,code-branch,black
switch,Switch,code-branch,black
network-sw,Router,code-branch,black
nework-rtr,Router,code-branch,black
router,Router,code-branch,black
Relay,Router,code-branch,black
Gateway,Router,code-branch,black
rtu,RTU,microchip,green
scada,SCADA,sitemap,green
security appliance,Security Appliance,shield-alt,red
sensor,Sensor,microchip,green
io_module,Sensor,microchip,green
Remote I/O,Sensor,microchip,green
server,Server,server,blue
VM,Server,server,blue
Process Supervisor,Server,server,green
slave,Slave,arrow-alt-circle-up,black
snmp_manager,SNMP,project-diagram,black
network-sw,Switch,code-branch,black
nework-sw,Switch,code-branch,black
network_switch,Switch,code-branch,black
switch,Switch,code-branch,black
syslog,Syslog,boxes,black
terminal_client,Terminal Client,bezier-curve,blue
terminal_server,Terminal Server,bezier-curve,blue
network_video_recorder,Video Recorder,video,orange
web_server,Web Server,globe,blue
windows_ws,Workstation,desktop,blue
desktop,Workstation,desktop,blue
nework-desktop,Workstation,desktop,blue
Windows,Workstation,desktop,blue
General Use Desktop,Workstation,desktop,blue
WebServer,Web Server,globe,blue
Virtual Machine,Server,server,blue
Process Supervisor,Workstation,desktop,blue
Tablet,Tablet,tablet,green
Windows Server,Server,server,blue
IP Phone,phone,phone,green
Development,Dev Server,code,green
Email,Server,inbox,blue
*,Unknown,question,red
