match_string,vendor
Server Technology,Server Technology
ShoreTel,ShoreTel
Siemens Healthcare,Siemens Healthcare
Sierra Monitor,Sierra Monitor
Sigmatek,Sigmatek
Smart Systems,Smart Systems
Smiths Detection,Smiths Detection
Socomec,Socomec
Softing,Softing
Starline Power,Starline Power
Stratus Technologies,Stratus Technologies
Sungrow Power Supply,Sungrow Power Supply
Suprema,Suprema
Suzhou Keda Technology,Suzhou Keda Technology
Synology,Synology
TAC,TAC
TGW Mechanics,TGW Mechanics
Tektronix,Tektronix
Teledyne Dalsa,Teledyne Dalsa
Teltonika,Teltonika
Terasaki Electric,Terasaki Electric
Tercel Technology,Tercel Technology
Texas Instruments,Texas Instruments
Tohoku Ricoh,Tohoku Ricoh
Toshiba,Toshiba
Trane,Trane
Trend Controls,Trend Controls
TrendPoint,TrendPoint
Tridium,Tridium
Turck,Turck
Tyco,Tyco
Ultra 3eTi,Ultra 3eTi
Unitronics,Unitronics
Universal Electric,Universal Electric
Universal Global Scientific Industrial,Universal Global Scientific Industrial
Uniview,Uniview
VCS Video Communication,VCS Video Communication
VIPA,VIPA
Vamp,Vamp
Vega Grieshaber,Vega Grieshaber
Verkada,Verkada
Vertiv,Vertiv
Vivotek,Vivotek
VusionGroup,VusionGroup
Welding Technology Corporation,Welding Technology Corporation
Westermo Network Technologies,Westermo Network Technologies
Wiesemann & Theis,Wiesemann & Theis
Winsystems,Winsystems
Wurm & Elektronische Systeme,Wurm & Elektronische Systeme
Xinje,Xinje
Xylem,Xylem
Xyplex,Xyplex
Yaskawa Electric,Yaskawa Electric
Yealink Network Technology,Yealink Network Technology
Zenitel,Zenitel
Zhejiang Dahua Technology,Zhejiang Dahua Technology
Zyxel Communications,Zyxel Communications
eDevice,eDevice
egnite,egnite
u-blox,u-blox
