old_asset_type,color,icon,asset_type
plc ,,,PLC
hmi , ,,HMI
endpoint ,,,Endpoint
networking ,,,Networking
broadcast ,,,Broadcast
domaincontroller ,,,Domain Controller
printer ,,,Printer
scadaclient ,,,SCADA Client
scadaserver ,,,SCADA Server
historian ,,,Historian
fileserver ,,,File Server
router ,,,Router
switch ,,,Switch
remoteio ,,,Remote IO
engineeringstation ,,,Engineering Station
gateway ,,,Gateway
opcserver ,,,OPC Server
ot ,,,OT
rtu ,,,RTU
ied ,,,IED
controller ,,,Controller
ntpserver ,,,NTP Server
userconsole ,,,User Console
userworkstation ,,,User Workstation
terminalserver ,,,Terminal Server
syslogserver ,,,Syslog Server
frontendprocessor ,,,Front End Processor
modem ,,,Modem
proxyserver ,,,Proxy Server
reverseproxyserver ,,,Reverse Proxy Server
networkaccessstorage ,,,Network Access Storage
firewall ,,,Firewall
avserver ,,,AV Server
adserver ,,,AD Server
webserver ,,,Web Server
dbserver ,,,DB Server
storagearray ,,,Storage Array
gpsclock ,,,GPS Clock
scadamaster ,,,SCADA Master
voipphone ,,,Voip Phone
tvscreen ,,,TV Screen
bluetoothdevice ,,,Bluetooth Device
camera ,,,Camera
vendingmachine ,,,Vending Machine
smartphone ,,,Smart Phone
smartwatch ,,,Smart Watch
infusionpump ,,,Infusion Pump
medicaldevice ,,,Medical Device
barcodescanner ,,,Barcode Scanner
microscope ,,,Microscope
accesscontrol ,,,Access Control
smartlight ,,,Smart Light
streamer ,,,Streamer
homeassistant ,,,Home Assistant
mediaserver ,,,Media Server
cleaningdevice ,,,Cleaning Device
voipserver ,,,Voip Server
robot ,,,Robot
autonomousvehicle ,,,Autonomous Vehicle
wirelesslancontroller ,,,Wireless Lan Controller
accesspoint ,,,Access Point
aaaserver ,,,AAA Server
gpsdevice ,,,GPS Device
ups ,,,UPS
videorecorder ,,,Video Recorder
virtualizationserver ,,,Virtualization Server
datalogger ,,,Data Logger
sensor ,,,Sensor
electricaldrive ,,,Electrical Drive
motorstarter ,,,Motor Starter
rtls ,,,RTLS
cnc ,,,CNC
cncmill ,,,CNC Mill
cnclathe ,,,CNC Lathe
analysisstation ,,,Analysis Station
weightsensor ,,,Weight Sensor
xraycargoscanner ,,,XRay Cargo Scanner
vulnerabilityscanner ,,,Vulnerability Scanner
voipaccesspoint ,,,VOIP Access Point
snmpserver ,,,SNMP Server
snmpscanner ,,,SNMP Scanner
biometricscanner ,,,Biometric Scanner
dnsserver ,,,DNS Server
visioncamera ,,,Vision Camera
barcodereader ,,,Barcode Reader
visioncontroller ,,,Vision Controller
visionsensor ,,,Vision Sensor
smarthomedevice ,,,Smart Home Device
rfid ,,,RFID
backupandrecovery ,,,Backup And Recovery
battery ,,,Battery
videoencoder ,,,Video Encoder
videodecoder ,,,Video Decoder
buildingautomationdevice ,,,Building Automation Device
pdu ,,,PDU
bacnetrouter ,,,BA Cnet Router
recordingserver ,,,Recording Server
intercom ,,,Intercom
airfieldcontrol ,,,Airfield Control
networksecurityplatform ,,,Network Security Platform
physicalsecurityplatform ,,,Physical Security Platform
fireprotection ,,,Fire Protection
evcharging ,,,EV Charging
fueling ,,,Fueling
watersystem ,,,Water System
wastetreatment ,,,Waste Treatment
lockbox ,,,Lock Box
trafficcontrol ,,,Traffic Control
powergeneration ,,,Power Generation
hvac ,,,HVAC
powermeter ,,,Power Meter
audioencoder ,,,Audio Encoder
audiodecoder ,,,Audio Decoder
vc ,,,VC
clock ,,,Clock
car ,,,Car
metaldetector ,,,Metal Detector
alarmsystem ,,,Alarm System
solarpanel ,,,Solar Panel
elevator ,,,Elevator
circuitmonitor ,,,Circuit Monitor
industrialswitch ,,,Industrial Switch
industrialrouter ,,,Industrial Router
flowmeter ,,,Flow Meter
ltecell ,,,LTE Cell
mes ,,,MES
knxiprouter ,,,KNXIP Router
rdsterminal ,,,RDS Terminal
navigationsystem ,,,Navigation System
maritimegps ,,,Maritime GPS
