communication,description,from,name,to
Allowed,"",Internet,"Internet to DMZ",DMZ
Allowed,,DMZ,"DMZ to Internet",Internet
Allowed,,Internet,"Internet to Enterprise LAN","Enterprise LAN"
Allowed,,"Enterprise LAN","Enterprise LAN to Internet",Internet
Allowed,,"Enterprise LAN","Enterprise LAN to DMZ",DMZ
Allowed,,DMZ,"DMZ to Enterprise LAN","Enterprise LAN"
Allowed,,DMZ,"DMZ to Manufacturing LAN","Manufacturing LAN"
Allowed,,"Manufacturing LAN","Manufacturing LAN to DMZ",DMZ
Allowed,,"Manufacturing LAN","Manufacturing LAN to Controller LAN","Controller LAN"
Allowed,,"Controller LAN","Controller LAN to Manufacturing LAN","Manufacturing LAN"
Allowed,,"Controller LAN","Controller LAN to Controller LAN","Controller LAN"
Allowed,,"Manufacturing LAN","Manufacturing LAN to Manufacturing LAN","Manufacturing LAN"
As Needed,,"DMZ","DMZ to DMZ","DMZ"
Allowed,,"Enterprise LAN","Enterprise LAN to Enterprise LAN","Enterprise LAN"
Allowed,,"Internet","Internet to Internet","Internet"
