manufacturer,description
Allen-Bradley,"MicroLogix 1100, 1200, 1400…"
Hewlett-Packard,"HP-12, HP-14, HP-02A"
Lynxspring,"jene-pc1000, jene-pc6000"
Koyo,"DirectLogic-05, DirectLogic-06, DirectLogic-205"
Richard Hirschmann GmbH,"RS20, RS30, RS40"
Siemens,"Simatic S7-300, Simatic S7-400, Simatic S7-1200"
Sixnet,"Redlion 500A, RedLion 500N"
Cisco, "Network equipment"
C-more, "Human Machine Interfaces"
Dell, 
Emerson, 
HPE, 
Juniper, 
Lenovo, 
SonicWall, 
Ubiquiti, 
Yokogawa, 
