"device_id","device_match","device_name","firmware_version","force_installed",historian,"is_in_remote_access_mode","is_programmable","is_running","last_communication","plc_mode"
"10.128.70.224","MicroLogix_Channel.TravelBox MicroLogix_1400.*","MicroLogix_Channel.TravelBox MicroLogix_1400",16,0,kepware,1,1,1,"1532989636.012","Remote Run Mode"
"10.128.70.160","Simatic_S7_Channel.S71200.*","Simatic_S7_Channel.S71200",0,,kepware,,,,"1535298802.789","Run Mode
Run Mode"
"10.128.70.145","MicroLogix_Channel.MicroLogix_1400.*","MicroLogix_Channel.MicroLogix_1400",15,0,kepware,1,1,1,"1535298834.664","Remote Run Mode"
"10.128.70.144","MicroLogix_Channel.MicroLogix_1100.*","MicroLogix_Channel.MicroLogix_1100","15.2",0,kepware,1,1,1,"1535298717.194","Remote Run Mode"
"10.128.70.165","MicroLogix_Channel.MicroLogix_1100_2.*","MicroLogix_Channel.MicroLogix_1100_2",10,0,kepware,1,1,0,"1533563181.231","Remote Program Mode"
