device_type,description, _key
Desktop,PCs with an expected physical location, 5bc767ce510ec610eb7d9711
Firewall,Firewall Application, 5bc768cd510ec616dd438c91
HMI,Human Machine Interface, 5bc768d8510ec616dd438c92
Workstation,PCs that are mobile and expected to travel and connect from different locations, 5bc768e5510ec61764510d81
RTU,Microprocessor-controller electronic device that interfaces objects in the physical world to a distributed control system or SCADA, 5bc76908510ec617ea311881
Server,Enterprise units expected to connect from designated locations, 5bc76914510ec61850518ef1
Switch,Network Device, 5bc7691f510ec61943794981
PLC,Controllers in production environments, 5bc768f4510ec61764510d82
Unknown,Unknown Device, 5bc7692b510ec619eb453441
