manufacturer,status_code,plc_mode, common_mode, is_programmable, is_running, is_in_remote_access_mode
Allen-Bradley,30,Run Mode, Running, 0, 1, 0
Allen-Bradley,27,Suspend Mode, Stopped, 0, 0, 0
Allen-Bradley,17,Program Mode, Stopped, 1, 0, 1
Allen-Bradley,16,Download in Progress, Stopped, 0, 0, 0
Allen-Bradley,8,Remote Test Single Scan Mode, Stopped, 0, 0, 1
Allen-Bradley,7,Remote Test Continuous Mode, Running, 0, 0, 1
Allen-Bradley,6,Remote Run Mode, Running, 1, 1, 1
Allen-Bradley,3,Remote Suspend Mode, Stopped, 0, 0, 1
Allen-Bradley,1,Remote Program Mode, Stopped, 1, 0, 1
Allen-Bradley,0,Remote Download in Progress, Stopped, 1, 0, 1
Siemens,2,Run Mode, Running, 1, 1, 1
Siemens,3,Stop Mode, Stopped, 1, 0, 1
Siemens,6,CPU Loading, Stopped, 1, 0, 1
