alert_name,parent_alert_id,alert_id,alert_category,alert_importance,alert_importance_severity
[AL-9001] Device Has Not Communicated in Over 7 Days,[AL-9001],[AL-9001],Network Data,Low,25
[AL-9002] Device Has Not Communicated in Over 30 Days,[AL-9002],[AL-9002],Network Data,Medium,50
"[AL-9003] PLC Status Mode Changed to ""Remote""",[AL-9003],[AL-9003],ICS Device,Low,25
[AL-9004-DEMO] A Force Changed,[AL-9004],[AL-9004-DEMO],Demo,Low,25
[AL-9004-Installed] A Force Installed,[AL-9004],[AL-9004-Installed],ICS Device,Low,25
[AL-9004-Removed] A Force Removed,[AL-9004],[AL-9004-Removed],ICS Device,Low,25
[AL-9005] PLC Logic Updates Made,[AL-9005],[AL-9005],ICS Device,Info,1
[AL-9006-DEMO] PLC Fault,[AL-9006],[AL-9006-DEMO],ICS Device,Critical,100
[AL-9006] PLC Fault,[AL-9006],[AL-9006],ICS Device,Critical,100
[AL-9007] PLC firmware was changed to a newer version,[AL-9007],[AL-9007],ICS Device,Medium,50
[AL-9008] PLC firmware was reverted to an older version,[AL-9008],[AL-9008],ICS Device,High,75
"[AL-9009] PLC status mode changed to ""Program""",[AL-9009],[AL-9009],ICS Device,Low,25
[AL-9010] Detected cross zone communication violation,[AL-9010],[AL-9010],OT Network,Medium,50
[AL-9011] OT Device successfully communicated with external IP address,[AL-9011],[AL-9011-Outbound],OT Network,High,75
[AL-9011] OT Device successfully communicated with external IP address,[AL-9011],[AL-9011-Inbound],OT Network,High,75
[AL-9012] Device Made Connection to New Destination IP,[AL-9012],[AL-9012],Network Connections,Low,25
[AL-9013] Device Made Connection using New Protocol,[AL-9013],[AL-9013],Network Connections,Critical,100
[AL-9014] Asset shows unusual increase/decrease in volume of network connections,[AL-9014],[AL-9014],Network Connections,High,75
[AL-9015] OT Device failed to communicate with external address,[AL-9015],[AL-9015],OT Network,Medium,50
[AL-9016] Detected an Internal network IP scanning an Internal network IP,[AL-9016],[AL-9016],Network Data,Critical,100
[AL-9017] Detected an External network IP scanning an External network IP,[AL-9017],[AL-9017],Network Data,Info,1
[AL-9018] Detected an External network IP scanning an Internal network IP,[AL-9018],[AL-9018],Network Data,High,75
[AL-9019] A vulnerability has been added to the NVD that potentially affects site(s),[AL-9019],[AL-9019-CRITICAL],Vulnerability,Critical,100
[AL-9019] A vulnerability has been added to the NVD that potentially affects site(s),[AL-9019],[AL-9019-HIGH],Vulnerability,High,75
[AL-9019] A vulnerability has been added to the NVD that potentially affects site(s),[AL-9019],[AL-9019-MEDIUM],Vulnerability,Medium,50
[AL-9019] A vulnerability has been added to the NVD that potentially affects site(s),[AL-9019],[AL-9019-LOW],Vulnerability,Low,25
[AL-9019] A vulnerability has been added to the NVD that potentially affects site(s),[AL-9019],[AL-9019-UNKNOWN_SEVERITY],Vulnerability,Medium,50
[AL-9020] External Device Attempted Inbound TCP Connection to ICS Port and/or Device,[AL-9020],[AL-9020-Denied-IP&Port],Network Connections,Medium,50
[AL-9020] External Device Attempted Inbound TCP Connection to ICS Port and/or Device,[AL-9020],[AL-9020-Denied-IP],Network Connections,Low,25
[AL-9020] External Device Attempted Inbound TCP Connection to ICS Port and/or Device,[AL-9020],[AL-9020-Denied-Port],Network Connections,Low,25
[AL-9020] External Device Attempted Inbound TCP Connection to ICS Port and/or Device,[AL-9020],[AL-9020-Built-IP&Port],Network Connections,Critical,100
[AL-9020] External Device Attempted Inbound TCP Connection to ICS Port and/or Device,[AL-9020],[AL-9020-Built-IP],Network Connections,Critical,100
[AL-9020] External Device Attempted Inbound TCP Connection to ICS Port and/or Device,[AL-9020],[AL-9020-Built-Port],Network Connections,Critical,100
[AL-9021] Firewall has been Modified,[AL-9021],[AL-9021],Firewall,Info,1
[AL-9022] External Device Denied Inbound UDP Connection to ICS Port and/or Device,[AL-9022],[AL-9022-IP&Port],Network Connections,Medium,50
[AL-9022] External Device Denied Inbound UDP Connection to ICS Port and/or Device,[AL-9022],[AL-9022-IP/or/Port],Network Connections,Low,25
[AL-9023] Spoofed Device Attempting UDP Connection,[AL-9023],[AL-9023-Internal],Network Data,High,75
[AL-9023] Spoofed Device Attempting UDP Connection,[AL-9023],[AL-9023-External],Network Data,Info,1
[AL-9024] External Device Denied Inbound ICS Protocol/Device Connection,[AL-9024],[AL-9024-ICSProtocol&Device],Network Connections,Medium,50
[AL-9024] External Device Denied Inbound ICS Protocol/Device Connection,[AL-9024],[AL-9024-ICSProtocol],Network Connections,Low,25
[AL-9025] Land Attack DOS,[AL-9025],[AL-9025],Network Data,Low,25
[AL-9026] Internal Device Attempting to Identify Outbound Route,[AL-9026],[AL-9026],Network Data,Info,1
[AL-9027] Internal Device Attempting to Circumvent Existing Routes,[AL-9027],[AL-9027],Network Data,Medium,50
[AL-9028] Firewall is Low on Flash Memory,[AL-9028],[AL-9028],Firewall,Info,1
[AL-9030] High Volume of Denied Connections From One Asset,[AL-9030],[AL-9030-Internal>Internal],Network Data,High,75
[AL-9030] High Volume of Denied Connections From One Asset,[AL-9030],[AL-9030-Internal>External],Network Data,High,75
[AL-9030] High Volume of Denied Connections From One Asset,[AL-9030],[AL-9030-External>Internal],Network Data,High,75
[AL-9031] Teardrop Attack DOS,[AL-9031],[AL-9031],Network Data,Low,25
[AL-9033] High Volume of Denied Firewall Traffic,[AL-9033],[AL-9033-Internal>Internal],Network Data,Info,1
[AL-9033] High Volume of Denied Firewall Traffic,[AL-9033],[AL-9033-Internal>External],Network Data,Info,1
[AL-9033] High Volume of Denied Firewall Traffic,[AL-9033],[AL-9033-External>Internal],Network Data,Info,1
[AL-9040] ICS Device Battery Low,[AL-9040],[AL-9040],ICS Device,Info,1
