vendor_action,dataset_name,action,body,description,change_type,type,reason
anomaly,ids,allowed,An anomalous user behavior was detected.,An anomalous user behavior was detected.,,,
app_allowlist_rule_matched,alert,,,,,event,
app_approved,alert,,"On workspaces that have admin approved apps enabled, an app has been approved but not yet installed.","On workspaces that have admin approved apps enabled, an app has been approved but not yet installed.",,alert,
app_collaborator_added,change,modified,,,app,,
app_installed,change,created,"An app has been installed. If a custom integration had been disabled, this event will also be triggered if it is re-enabled.","An app has been installed. If a custom integration had been disabled, this event will also be triggered if it is re-enabled.",app,event,
app_manifest_created,change,created,An app manifest was created. This occurs prior to the app being installed and made available to users.,An app manifest was created. This occurs prior to the app being installed and made available to users.,app,,
app_removed_from_whitelist,change,deleted,An app was removed from the allowed list.,An app was removed from the allowed list.,app,,
app_resources_added,change,modified,"Workspace apps have the ability to request access to a specific resource on a workspace, such as a channel or a DM, including wildcard resources (such as all public channels). This event is triggered when access has been granted.","Workspace apps have the ability to request access to a specific resource on a workspace, such as a channel or a DM, including wildcard resources (such as all public channels). This event is triggered when access has been granted.",app,,
app_resources_granted,change,modified,An app resource was granted.,An app resource was granted.,app,,
app_restricted,alert,,"On workspaces that have admin approved apps enabled, an app has been restricted and cannot be installed.","On workspaces that have admin approved apps enabled, an app has been restricted and cannot be installed.",,event,
app_scopes_expanded,alert,,"An app has been granted additional access to resources on a workspace, via OAuth scopes. For most apps, this requires a re-install. For workspace apps, this may also happen via the permissions API.","An app has been granted additional access to resources on a workspace, via OAuth scopes. For most apps, this requires a re-install. For workspace apps, this may also happen via the permissions API.",,event,
app_token_preserved,alert,,"An app's token was preserved instead of revoked, usually due to an app owner or installer being removed from an organization.","An app's token was preserved instead of revoked, usually due to an app owner or installer being removed from an organization.",,event,
app_uninstalled,change,deleted,A Slack app was uninstalled.,A Slack app was uninstalled.,app,,
approved_orgs_added,change,modified,An organization was added to the approved organizations list.,An organization was added to the approved organizations list.,organization,,
approved_orgs_removed,change,deleted,An organization was removed from the approved organizations list.,An organization was removed from the approved organizations list.,organization,,
audit_logs_export_csv_started,change,started,A user started the export of audit logs from the Audit Logs screen on organization dashboard.,A user started the export of audit logs from the Audit Logs screen on organization dashboard.,logs,,
audit_logs_records_searched,alert,,A user searched for audit logs from the Audit Logs screen on organization dashboard.,A user searched for audit logs from the Audit Logs screen on organization dashboard.,,event,
auth_policy_created,change,created,Auth policy created.,Auth policy created.,policy,,
auth_policy_entity_assigned,change,modified,Entity has been assigned to auth policy.,Entity has been assigned to auth policy.,policy,,
auth_policy_entity_removed,change,deleted,Entity has been removed from auth policy.,Entity has been removed from auth policy.,policy,,
bad_endpoint,alert,,The endpoint URL does not exist.,The endpoint URL does not exist.,,alert,
barrier_created,change,created,An information barrier was created.,An information barrier was created.,barrier,,
barrier_deleted,change,deleted,An information barrier was deleted.,An information barrier was deleted.,barrier,,
barrier_updated,change,updated,An information barrier was updated.,An information barrier was updated.,barrier,,
billing_address_added,change,modified,A billing address was added. Includes a details parameter noting the timestamp the TOS was accepted.,A billing address was added. Includes a details parameter noting the timestamp the TOS was accepted.,billing,,
bot_token_downgraded,change,modified,A bot app's token was downgraded to non-granular permissions.,A bot app's token was downgraded to non-granular permissions.,token,,
bot_token_upgraded,change,modified,A bot app's token was upgraded with granular permissions.,A bot app's token was upgraded with granular permissions.,token,,
bulk_session_reset_by_admin,change,restarted,Admin has bulk reset user sessions.,Admin has bulk reset user sessions.,session,,
canvas_created,change,created,A canvas was created.,A canvas was created.,canvas,,
canvas_deleted,change,deleted,A canvas was deleted.,A canvas was deleted.,canvas,,
canvas_edited,change,modified,A canvas was edited.,A canvas was edited.,canvas,,
canvas_opened,change,read,A canvas was opened.,A canvas was opened.,canvas,,
canvas_restored,change,modified,A canvas was restored.,A canvas was restored.,canvas,,
canvas_shared,data_access,shared,A canvas was shared in a channel or DM/MPDM.,A canvas was shared in a channel or DM/MPDM.,,,
canvas_template_used,alert,,A canvas template was used.,A canvas template was used.,,event,
