src,factor_description
social_engineering,"Measuring company awareness to a social engineering or phishing attack"
patching_cadence,"Out of date company assets which may contain vulnerabilities or risks"
network_security,"Detecting insecure network settings"
leaked_information,"Potentially confidential company information which may have been inadvertently leaked"
ip_reputation,"Detecting suspicious activity, such as malware or spam, within your company network"
hacker_chatter,"Monitoring hacker sites for chatter about your company"
endpoint_security,"Detecting unprotected endpoints or entry points of user tools, such as desktops, laptops, mobile devices, and virtual desktops"
dns_health,"Detecting DNS insecure configurations and vulnerabilities"
cubit_score,"Proprietary algorithms checking for implementation of common security best practices"
application_security,"Detecting common website application vulnerabilities"
