index_name,type,app_name,default_retention,biz_desc,biz_owner
itsi_summary_metrics,metric summary,SA-IndexCreation,2184,"A metrics index that stores the results of scheduled KPI searches. Every KPI is summarized in both the itsi_summary events index and the metrics index. This index improves the performance of the searches dispatched by ITSI, particularly for very large environments.",NOC
appmsadsec,event,org_all_indexes,30,AD Security Logs,SOC
_telemetry,event,system,730,"After license usage reporting is enabled, the first time product instrumentation runs, it creates a new file in $SPLUNK_HOME/var/log/splunk. The file is called license_usage_summary.log and is limited in size to 25 MB.  The file is indexed to a new internal index _telemetry.  The _telemetry index is retained for two years by default and is limited in size to 256 MB.",Splunk Admins
itsi_summary,event summary,SA-IndexCreation,2184,An events index that stores the results of scheduled KPI searches. Summary indexing lets you run fast searches over large data sets by spreading out the cost of a computationally expensive report over time.,NOC
lastChanceIndex,event,system,90,"An index that receives events that are otherwise not associated with a valid index.* If you do not specify a valid index with this setting, such events are dropped entirely.* Routes the following kinds of events to the specified index:  * events with a non-existent index specified at an input layer, like an invalid ""index"" setting in inputs.conf  * events with a non-existent index computed at index-time, like an invalid _MetaData:Index value set from a ""FORMAT"" setting in transforms.conf* You must set 'lastChanceIndex' to an existing, enabled index. Splunk software cannot start otherwise.* If set to ""default"", then the default index specified by the 'defaultDatabase' setting is used as a last chance index. # NOTE: It is recommended that the “Selected” on the token configuration page be left blank so that the token has access to all, including the lastChanceIndex. If this list is populated, extreme care must be taken to keep it up to date, as an attempt to send data to an index not in this list will result in a 400 error from the HEC endpoint. Furthermore, the lastChanceIndex will not be consulted in the event the index specified in the event is not configured on Splunk. Keep in mind just one bad message will “taint” the whole batch (by default 1000 events) and prevent the entire batch from being sent to Splunk.",Splunk Admins
anomaly_detection,event,SA-IndexCreation,30,An internal index used to support trending and cohesive anomaly detection in ITSI.,NOC
apps,event,org_all_indexes,400,Analysis Of SplunkBase Apps for Splunk,Splunk Admins
appext,event,org_all_indexes,30,App Servers for external-facing apps.  External app server logs external means subject to attack from the internet,SOC
appint,event,org_all_indexes,30,App Servers for internal-facing apps.  Internal app server logs internal means not acessible from the internet,SOC
audit_summary,event summary,SA-AuditAndDataProtection,30,Audit and Data Protection summary index.,SOC
aws_topology_history,event,splunk_app_aws,7,AWS  Topology History Appender,NOC
aws_topology_monthly_snapshot,event,splunk_app_aws,365,AWS  Topology Monthly Snapshot Generator,NOC
aws-cloudtrail,event,org_all_indexes,30,AWS CloudTrail data,NOC
aws-config,event,org_all_indexes,30,AWS Config data,NOC
aws-data,event,org_all_indexes,30,AWS Indexes,NOC
aws_topology_daily_snapshot,event,splunk_app_aws,180,AWS Topology Daily Snapshot Generator,NOC
aws_topology_playback,event,splunk_app_aws,180,AWS Topology Playback Appender,NOC
aws_anomaly_detection,event,splunk_app_aws,2184,AWS Used for anomaly detection.,NOC
aws_vpc_flow_logs,event,splunk_app_aws,7,"AWS VPC Flow Logs Summary Generator (Dest Port, Dest IP, Src IP)",NOC
appcasso,event,org_all_indexes,30,CA Single Sign-On  formally CA SiteMiner,SOC
appcassoweb,event,org_all_indexes,90,CA Single Sign-On  formally CA SiteMiner web log component,SOC
appwebcdn,event,org_all_indexes,90,CDN logs for your website.  Content distribution logs like Akami,SOC
epnet,event,org_all_indexes,30,client firewall logs rarely used,SOC
epweb,event,org_all_indexes,90,client webproxy logs rarely used,SOC
scma,event,org_all_indexes,30,Cloud Migration Assessment App for Splunk (SCMA),Splunk Admins
notable_summary,event summary,SA-ThreatIntelligence,365,Contains a stats summary of notable events used on select dashboards.,SOC
_audit,event,system,2184,"Contains events related to the file system change monitor, auditing, and all user search history.",Splunk Admins
threat_activity,event,DA-ESS-ThreatIntelligence,30,Contains events that result from a threat list match.,SOC
hydra,event,VMWare,30,Contains Hydra Framework Status,NOC
appmsadmon,event,org_all_indexes,400,Contains information generally generated when active directory objects change this may contain sensitive data when products integrate with active directory and store additional protected values in the schema. This information is useful for audit as well as assets and identities in both ES and ITSI.  Active Directory Monitoring for Assets & Identities.  Deployed on 1 Directory Controller per domain to load the baseline can be removed when complete.  Deployed on 2 Directory Controllers per domain per data center and then,SOC
msad,event,org_all_indexes,400,Contains information generally generated when active directory objects change this may contain sensitive data when products integrate with active directory and store additional protected values in the schema. This information is useful for audit as well as assets and identities in both ES and ITSI.  Active Directory Monitoring for Assets & Identities.  Deployed on 1 Directory Controller per domain to load the baseline can be removed when complete.  Deployed on 2 Directory Controllers per domain per data center and then,SOC
osnixscript,event,org_all_indexes,30,Contains information generally useful for nix operations and in some cases with security relevance. Generally not required to retain for long term records retention compliance. The information is generated by scripts developed by Splunk,SOC
osnixsec,event,org_all_indexes,30,Contains information generally useful for nix security and in some cases with operations relevance. Generally required to retain for long term records retention compliance,SOC
osnix,event,org_all_indexes,30,Contains information generally useful for nixoperations and in some cases with security relevance. Generally not required to retain for long term records retention compliance,SOC
appmsad,event,org_all_indexes,30,Contains information generally useful for windows active directory operations and in some cases with security relevance. Generally not required to retain for long term records retention compliance,SOC
oswin,event,org_all_indexes,30,Contains information generally useful for windows operations and in some cases with security relevance. Generally not required to retain for long term records retention compliance,SOC
oswinscript,event,org_all_indexes,30,Contains information generally useful for windows operations and in some cases with security relevance. Generally not required to retain for long term records retention compliance. The information is generated by scripts developed by Splunk,SOC
oswinsec,event,org_all_indexes,30,Contains information generally useful for windows security and in some cases with operations relevance. Generally required to retain for long term records retention compliance,SOC
epintel,event,org_all_indexes,30,Contains information generated by multiple change detection technologies for endpoints.,SOC
epav,event,org_all_indexes,30,Contains information generated by signature detection type antivirus that can provide a detection category and signature for each detection event. This index is used regardless of the antivirus product.,SOC
netdns,event,org_all_indexes,90,Contains information network dns query and operational logs.  dns query logs usualy stream based. Can also contain DNS operational logs,NOC
netflow,event,org_all_indexes,30,Contains information network flow sampled or full generated by flow collecting systems in the organization. In special cases where syslog over netflow is in use transform routing or some other mechanism should be used to ensure the non flow events are placed in the appropriate indexes typically netfw or netops,NOC
appmssql,event,org_all_indexes,30,Contains Microsoft SQL Data,SOC
osnixperf,event,org_all_indexes,14,Contains performance counter information useful for ITSI and other IT operations use cases. Some security detection value where abnormally high cpu memory disk or network can be detected the data is rarely sensitive,NOC
oswinperf,event,org_all_indexes,14,Contains performance counter information useful for ITSI and other IT operations use cases. Some security detection value where abnormally high cpu memory disk or network can be detected the data is rarely sensitive,NOC
sequenced_events,event,SplunkEnterpriseSecuritySuite,30,"Contains sequenced event data, after the successful termination of a sequence template.",SOC
osnixetc,event,org_all_indexes,30,"Contains the following files: *release, cron.d/*, cron*, dnsmasq.conf, dnsmasq.d/*, hosts, issue, logrotate.conf, logrotate.d/*, profile, profile.d/*, resolve.conf, rsyslog.conf, rsyslog.d/*, ssh/*.pub, ssh/sshd_config, sudo.conf, sudoers, sudoers.d/*, tuned.d/*, yum.conf, yum.repos.d/*",SOC
notable,event,SA-ThreatIntelligence,365,Contains the notable events.,SOC
risk,event,SA-ThreatIntelligence,30,Contains the risk modifier events.,SOC
ueba,event,Splunk_TA_ueba,30,Contains UBA events.,SOC
oswinreg,event,org_all_indexes,30,Contains Windows Registry data other than what is used by Splunk Enterprise Security epintel index,SOC
access_summary,event summary,SA-AccessProtection,30,Created/used by ES,SOC
appdbserver,event,org_all_indexes,30,Database Servers.  SQL/Oracle etc,SOC
splunklogger,event,system,2184,Deprecated,Splunk Admins
ubaroute,event,Splunk_TA_ueba,30,Does not contain event data. Used behind the scenes for routing to your UBA target.,SOC
endpoint_summary,event summary,SA-EndpointProtection,30,Endpoint protection summary index.,SOC
appwebext,event,org_all_indexes,90,External WebApp Access Logs.  Web server logs for external apps,SOC
appwebextrp,event,org_all_indexes,90,External-facing Web App Load Balancers.  Reverse proxy (load balancer logs ) for external apps,SOC
netids,event,org_all_indexes,30,for dedicated Intrusion Detection (IDS) environments,NOC
netips,event,org_all_indexes,30,for dedicated Intrusion Prevention (IPS) environments,NOC
netipam,event,org_all_indexes,30,"For IPAM systems, contains information network ip address management logs, typically dhcp servers, software defined networking and VPN",NOC
netauth,event,org_all_indexes,30,For network authentication sources.  Network authentication nac like cisco ISE and microsoft NPS,NOC
netvuln,event,org_all_indexes,30,"For Network Vulnerability Data.  Rapid7, Qualys, etc…",NOC
netnlb,event,org_all_indexes,90,"For non-web server load balancer data (e.g., DNS, SMTP, SIP, etc.).  General network load balancer logs when not dedicated to a single application.  example: Citrix Netscaler with AppFlow is a reverse proxy and should use this index",NOC
pci_posture_summary,event summary,Splunk_DA-ESS_PCICompliance,30,"If PCI is installed, contains the PCI compliance status history.",SOC
pci,event,Splunk_DA-ESS_PCICompliance,30,"If PCI is installed, contains the PCI event data",SOC
