auth_event,auth_action
AUTHREQID_TO_TOKEN,success
AUTHREQID_TO_TOKEN_ERROR,failure
CLIENT_LOGIN,success
CLIENT_LOGIN_ERROR,failure
CODE_TO_TOKEN,success
CODE_TO_TOKEN_ERROR,failure
FEDERATED_IDENTITY_LINK,success
FEDERATED_IDENTITY_LINK_ERROR,failure
IDENTITY_PROVIDER_FIRST_LOGIN,success
IDENTITY_PROVIDER_FIRST_LOGIN_ERROR,failure
IDENTITY_PROVIDER_LINK_ACCOUNT,success
IDENTITY_PROVIDER_LINK_ACCOUNT_ERROR,failure
IDENTITY_PROVIDER_LOGIN,success
IDENTITY_PROVIDER_LOGIN_ERROR,failure
IDENTITY_PROVIDER_POST_LOGIN,success
IDENTITY_PROVIDER_POST_LOGIN_ERROR,failure
IDENTITY_PROVIDER_RESPONSE,success
IDENTITY_PROVIDER_RESPONSE_ERROR,failure
IDENTITY_PROVIDER_RETRIEVE_TOKEN,success
IDENTITY_PROVIDER_RETRIEVE_TOKEN_ERROR,failure
IMPERSONATE,success
IMPERSONATE_ERROR,failure
INTROSPECT_TOKEN,success
INTROSPECT_TOKEN_ERROR,failure
INVALID_SIGNATURE,success
INVALID_SIGNATURE_ERROR,failure
LOGIN,success
LOGIN_ERROR,failure
LOGOUT,success
LOGOUT_ERROR,failure
OAUTH2_DEVICE_AUTH,success
OAUTH2_DEVICE_AUTH_ERROR,failure
OAUTH2_DEVICE_CODE_TO_TOKEN,success
OAUTH2_DEVICE_CODE_TO_TOKEN_ERROR,failure
OAUTH2_DEVICE_VERIFY_USER_CODE,success
OAUTH2_DEVICE_VERIFY_USER_CODE_ERROR,failure
PERMISSION_TOKEN,success
PERMISSION_TOKEN_ERROR,failure
PUSHED_AUTHORIZATION_REQUEST,success
PUSHED_AUTHORIZATION_REQUEST_ERROR,failure
RESTART_AUTHENTICATION,success
RESTART_AUTHENTICATION_ERROR,failure
