change_event,change_status,change_action,type_of_change
CLIENT_DELETE,success,deleted,AAA
CLIENT_DELETE_ERROR,failure,deleted,AAA
CLIENT_INFO,success,read,AAA
CLIENT_INFO_ERROR,failure,read,AAA
CLIENT_INITIATED_ACCOUNT_LINKING,success,updated,AAA
CLIENT_INITIATED_ACCOUNT_LINKING_ERROR,failure,updated,AAA
CLIENT_REGISTER,success,updated,AAA
CLIENT_REGISTER_ERROR,failure,updated,AAA
CLIENT_UPDATE,success,updated,AAA
CLIENT_UPDATE_ERROR,failure,updated,AAA
CUSTOM_REQUIRED_ACTION,success,updated,AAA
CUSTOM_REQUIRED_ACTION_ERROR,failure,updated,AAA
DELETE_ACCOUNT,success,deleted,AAA
DELETE_ACCOUNT_ERROR,failure,deleted,AAA
EXECUTE_ACTION_TOKEN,success,acl_modified,AAA
EXECUTE_ACTION_TOKEN_ERROR,failure,acl_modified,AAA
EXECUTE_ACTIONS,success,updated,AAA
EXECUTE_ACTIONS_ERROR,failure,updated,AAA
GRANT_CONSENT,success,acl_modified,AAA
GRANT_CONSENT_ERROR,failure,acl_modified,AAA
REFRESH_TOKEN,success,acl_modified,AAA
REFRESH_TOKEN_ERROR,failure,acl_modified,AAA
REGISTER,success,updated,AAA
REGISTER_ERROR,failure,updated,AAA
REGISTER_NODE,success,updated,AAA
REGISTER_NODE_ERROR,failure,updated,AAA
REMOVE_FEDERATED_IDENTITY,success,deleted,AAA
REMOVE_FEDERATED_IDENTITY_ERROR,failure,deleted,AAA
REMOVE_TOTP,success,deleted,AAA
REMOVE_TOTP_ERROR,failure,deleted,AAA
RESET_PASSWORD,success,updated,AAA
RESET_PASSWORD_ERROR,failure,updated,AAA
REVOKE_GRANT,success,acl_modified,AAA
REVOKE_GRANT_ERROR,failure,acl_modified,AAA
SEND_IDENTITY_PROVIDER_LINK,success,acl_modified,AAA
SEND_IDENTITY_PROVIDER_LINK_ERROR,failure,acl_modified,AAA
SEND_RESET_PASSWORD,success,updated,AAA
SEND_RESET_PASSWORD_ERROR,failure,updated,AAA
SEND_VERIFY_EMAIL,success,updated,AAA
SEND_VERIFY_EMAIL_ERROR,failure,updated,AAA
TOKEN_EXCHANGE,success,acl_modified,AAA
TOKEN_EXCHANGE_ERROR,failure,acl_modified,AAA
UNREGISTER_NODE,success,updated,AAA
UNREGISTER_NODE_ERROR,failure,updated,AAA
UPDATE_CONSENT,success,updated,AAA
UPDATE_CONSENT_ERROR,failure,updated,AAA
UPDATE_EMAIL,success,updated,AAA
UPDATE_EMAIL_ERROR,failure,updated,AAA
UPDATE_PASSWORD,success,updated,AAA
UPDATE_PASSWORD_ERROR,failure,updated,AAA
UPDATE_PROFILE,success,updated,AAA
UPDATE_PROFILE_ERROR,failure,updated,AAA
UPDATE_TOTP,success,updated,AAA
UPDATE_TOTP_ERROR,failure,updated,AAA
USER_INFO_REQUEST,success,read,AAA
USER_INFO_REQUEST_ERROR,failure,read,AAA
VALIDATE_ACCESS_TOKEN,success,acl_modified,AAA
VALIDATE_ACCESS_TOKEN_ERROR,failure,acl_modified,AAA
VERIFY_EMAIL,success,updated,AAA
VERIFY_EMAIL_ERROR,failure,updated,AAA
VERIFY_PROFILE,success,updated,AAA
VERIFY_PROFILE_ERROR,failure,updated,AAA
