Category,Name,Formula,Formula_Subscript,Lifetime (years),Radiative efficiency (W m-2 ppb-1),AGWP 20 (pW m-2 yr kg-1 ),GWP 20,AGWP 100 (pW m-2 yr kg-1),GWP 100,AGWP 500 (pW m-2 yr kg-1),GWP 500,AGTP 50 (pW m2 yr kg-1),GTP 50,AGTP 100 (pW m-2 yr kg-1),GTP 100,CGTP 50 (yr),CGTP 100 (yr)
Major Greenhouse Gases,Carbon dioxide,CO2,CO₂,,1.33×10–5,0.0243,1,0.0895,1,0.314,1,0.000428,1,0.000395,1,,
Major Greenhouse Gases,Methane,CH4,CH₄,11.8,0.000388,1.98,81.2,2.49,27.9,2.5,7.95,0.00473,11,0.00212,5.38,2730,3320
Major Greenhouse Gases,Nitrous oxide,N2O,N₂O,109,0.0032,6.65,273,24.5,273,40.7,130,0.124,290,0.0919,233,,
Chlorofluorocarbons,CFC-11,CCl3F,CCl₃F,52,0.259,181,7430,497,5560,586,1870,2.43,5670,1.25,3160,,
Chlorofluorocarbons,CFC-12,CCl2F2,CCl₂F₂,102,0.32,277,11400,998,11200,1600,5100,5.06,11800,3.66,9270,,
Chlorofluorocarbons,CFC-13,CClF3,CClF₃,640,0.278,301,12400,1450,16200,5500,17500,7.26,17000,7.4,18800,,
Chlorofluorocarbons,CFC-112,CCl2FCCl2F,CCl₂FCCl₂F,63.6,0.282,137,5620,413,4620,525,1670,2.06,4810,1.19,3020,,
Chlorofluorocarbons,CFC-112a,CCl3CClF2,CCl₃CClF₂,52,0.246,115,4740,317,3550,374,1190,1.55,3620,0.795,2010,,
Chlorofluorocarbons,CFC-113,CCl2FCClF2,CCl₂FCClF₂,93,0.301,167,6860,583,6520,890,2830,2.96,6910,2.06,5210,,
Chlorofluorocarbons,CFC-113a,CCl3CF3,CCl₃CF₃,55,0.241,124,5110,351,3930,422,1350,1.73,4030,0.917,2320,,
Chlorofluorocarbons,CFC-114,CClF2CClF2,CClF₂CClF₂,189,0.314,201,8260,844,9430,1930,6150,4.28,9990,3.71,9410,,
Chlorofluorocarbons,CFC-114a,CCl2FCF3,CCl₂FCF₃,105,0.297,183,7510,664,7420,1080,3450,3.37,7880,2.46,6240,,
Chlorofluorocarbons,CFC-115,CClF2CF3,CClF₂CF₃,540,0.246,180,7410,859,9600,3100,9880,4.3,10100,4.33,11000,,
Chlorofluorocarbons,E-R316c,trans cyc (-CClFCF2CF2CClF-),trans cyc (-CClFCF₂CF₂CClF-),75,0.27,117,4810,379,4230,518,1650,1.91,4450,1.2,3040,,
Chlorofluorocarbons,Z-R316c,cis cyc (-CClFCF2CF2CClF-),cis cyc (-CClFCF₂CF₂CClF-),114,0.3,136,5590,507,5660,865,2760,2.57,6020,1.94,4910,,
Chlorofluorocarbons,CFC 1112,CClF=CClF,CClF=CClF,0.019,0.013,0.0111,0.454,0.0113,0.126,0.0113,0.036,1.18×10–5,0.028,8.96×10–6,0.023,12.3,14.5
Chlorofluorocarbons,CFC 1112a,CCl2=CF2,CCl₂=CF₂,0.006,0.007,0.00184,0.076,0.00188,0.021,0.00188,0.006,1.97×10–6,0.005,1.49×10–6,0.004,2.06,2.42
Hydrofluorochlorocarbons,HCFC-21,CHCl2F,CHCl₂F,1.7,0.145,14,575,14.3,160,14.3,45.6,0.0152,35.5,0.0114,29,15600,18300
Hydrofluorochlorocarbons,HCFC-22,CHClF2,CHClF₂,11.9,0.214,139,5690,175,1960,176,560,0.336,785,0.15,379,184000,222000
Hydrofluorochlorocarbons,HCFC-31,CH2ClF,CH₂ClF,1.2,0.068,6.96,286,7.11,79.4,7.11,22.6,0.00752,17.6,0.00567,14.4,7750,9130
Hydrofluorochlorocarbons,HCFC-121,CHCl2CCl2F,CHCl₂CCl₂F,1.11,0.146,5.11,210,5.22,58.3,5.22,16.6,0.00552,12.9,0.00416,10.5,5690,6700
Hydrofluorochlorocarbons,HCFC-122,CHCl2CClF2,CHCl₂CClF₂,0.9,0.159,4.94,203,5.05,56.4,5.05,16.1,0.00533,12.5,0.00403,10.2,5510,6490
Hydrofluorochlorocarbons,HCFC-122a,CHClFCCl2F,CHClFCCl₂F,3.1,0.201,21.4,879,21.9,245,21.9,69.9,0.0236,55.3,0.0177,44.7,23800,28100
Hydrofluorochlorocarbons,HCFC-123,CHCl2CF3,CHCl₂CF₃,1.3,0.16,7.92,325,8.09,90.4,8.09,25.8,0.00857,20,0.00646,16.4,8830,10400
Hydrofluorochlorocarbons,HCFC-123a,CHClFCClF2,CHClFCClF₂,4,0.227,34.3,1410,35.3,395,35.3,113,0.0385,90,0.0285,72.3,38400,45200
Hydrofluorochlorocarbons,HCFC-124,CHClFCF3,CHClFCF₃,5.9,0.207,50.3,2070,53.4,597,53.4,170,0.0612,143,0.0435,110,57700,68100
Hydrofluorochlorocarbons,HCFC-124a,CHF2CClF2,CHF₂CClF₂,17,0.25,124,5110,185,2070,186,592,0.521,1220,0.177,448,185000,232000
Hydrofluorochlorocarbons,HCFC-132,CHClFCHClF,CHClFCHClF,1.73,0.143,10.7,440,11,122,11,34.9,0.0116,27.2,0.00876,22.2,11900,14000
Hydrofluorochlorocarbons,HCFC-132a,CHCl2CHF2,CHCl₂CHF₂,1.12,0.127,6.17,253,6.3,70.4,6.3,20.1,0.00666,15.6,0.00503,12.7,6870,8090
Hydrofluorochlorocarbons,HCFC-132c,CH2FCCl2F,CH₂FCCl₂F,4.1,0.169,29.6,1220,30.6,342,30.6,97.6,0.0334,78.1,0.0247,62.7,33200,39100
Hydrofluorochlorocarbons,HCFC-133a,CH2ClCF3,CH₂ClCF₃,4.6,0.15,33.4,1370,34.7,388,34.7,111,0.0382,89.3,0.0281,71.3,37600,44400
Hydrofluorochlorocarbons,HCFC-141,CH2ClCHClF,CH₂ClCHClF,1.14,0.072,4.08,168,4.17,46.6,4.17,13.3,0.00441,10.3,0.00333,8.43,4550,5350
Hydrofluorochlorocarbons,HCFC-141b,CH3CCl2F,CH₃CCl₂F,9.4,0.161,65.9,2710,77,860,77,246,0.115,269,0.064,162,82100,97700
Hydrofluorochlorocarbons,HCFC-142b,CH3CClF2,CH₃CClF₂,18,0.193,134,5510,205,2300,207,658,0.611,1430,0.203,514,203000,257000
Hydrofluorochlorocarbons,HCFC-225ca,CHCl2CF2CF3,CHCl₂CF₂CF₃,1.9,0.219,12,491,12.2,137,12.2,39,0.013,30.4,0.00979,24.8,13300,15700
Hydrofluorochlorocarbons,HCFC-225cb,CHClFCF2CClF2,CHClFCF₂CClF₂,5.9,0.293,47.8,1960,50.8,568,50.8,162,0.0582,136,0.0414,105,54900,64800
Hydrofluorochlorocarbons,HCFO-1233zd(E),(E)-CF3CH=CHCl,(E)-CF₃CH=CHCl,0.116,0.065,0.34,14,0.347,3.88,0.347,1.11,0.000364,0.851,0.000276,0.7,380,447
Hydrofluorochlorocarbons,HCFO-1233zd(Z),(Z)-CF3CH=CHCl,(Z)-CF₃CH=CHCl,0.036,0.025,0.0398,1.64,0.0406,0.454,0.0406,0.129,4.25×10–5,0.099,3.23×10–5,0.082,44.4,52.3
Hydrofluorochlorocarbons,(e)-1-chloro-2-fluoroethene,(E/Z)-CHCl=CHF,(E/Z)-CHCl=CHF,0.005,0.001,0.00032,0.013,0.000327,0.004,0.000327,0.001,3.42×10–7,0.001,2.6×10–6,0.001,0.357,0.42
Hydrofluorocarbons,HFC-23,CHF3,CHF₃,228,0.191,301,12400,1310,14600,3300,10500,6.6,15400,5.95,15100,,
Hydrofluorocarbons,HFC-32,CH2F2,CH₂F₂,5.4,0.111,65.5,2690,69,771,69,220,0.0775,181,0.0561,142,74600,88000
Hydrofluorocarbons,HFC-41,CH3F,CH₃F,2.8,0.025,11.8,485,12.1,135,12.1,38.6,0.013,30.4,0.00972,24.6,13200,15500
Hydrofluorocarbons,HFC-125,CHF2CF3,CHF₂CF₃,30,0.234,164,6740,335,3740,349,1110,1.41,3300,0.512,1300,,
Hydrofluorocarbons,HFC-134,CHF2CHF2,CHF₂CHF₂,10,0.194,95,3900,113,1260,113,361,0.18,420,0.0944,239,120000,143000
Hydrofluorocarbons,HFC-134a,CH2FCF3,CH₂FCF₃,14,0.167,101,4140,137,1530,137,436,0.314,733,0.121,306,141000,172000
Hydrofluorocarbons,HFC-143,CH2FCHF2,CH₂FCHF₂,3.6,0.128,31.7,1300,32.6,364,32.6,104,0.0353,82.6,0.0263,66.6,35400,41700
Hydrofluorocarbons,HFC-143a,CH3CF3,CH₃CF₃,51,0.168,191,7840,520,5810,609,1940,2.53,5910,1.28,3250,,
Hydrofluorocarbons,HFC-152,CH2FCH2F,CH₂FCH₂F,0.471,0.045,1.89,77.6,1.93,21.5,1.93,6.14,0.00203,4.74,0.00153,3.89,2110,2480
Hydrofluorocarbons,HFC-152a,CH3CHF2,CH₃CHF₂,1.6,0.102,14.4,591,14.7,164,14.7,46.8,0.0156,36.5,0.0118,29.8,16000,18900
Hydrofluorocarbons,HFC-161,CH3CH2F,CH₃CH₂F,0.219,0.016,0.424,17.4,0.433,4.84,0.433,1.38,0.000454,1.06,0.000344,0.872,473,557
Hydrofluorocarbons,HFC-227ca,CF3CF2CHF2,CF₃CF₂CHF₂,30,0.264,131,5370,267,2980,278,885,1.12,2620,0.407,1030,,
Hydrofluorocarbons,HFC-227ea,CF3CHFCF3,CF₃CHFCF₃,36,0.273,142,5850,322,3600,345,1100,1.45,3400,0.588,1490,,
Hydrofluorocarbons,HFC-236cb,CH2FCF2CF3,CH₂FCF₂CF₃,13.4,0.231,91.2,3750,121,1350,121,387,0.265,620,0.106,268,125000,153000
Hydrofluorocarbons,HFC-236ea,CHF2CHFCF3,CHF₂CHFCF₃,11.4,0.3,108,4420,134,1500,134,428,0.245,572,0.114,288,141000,170000
Hydrofluorocarbons,HFC-236fa,CF3CH2CF3,CF₃CH₂CF₃,213,0.251,181,7450,777,8690,1900,6040,3.93,9200,3.5,8870,,
Hydrofluorocarbons,HFC-245ca,CH2FCF2CHF2,CH₂FCF₂CHF₂,6.6,0.24,65.3,2680,70.5,787,70.5,225,0.0836,196,0.0576,146,76000,89800
