Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18416
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00026
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18381
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20463
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00029
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CO2,0.20423
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CO2e,0.49245
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CH4,0.00069
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CO2,0.4915
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg N2O,0.00026
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CO2e,2814.00779
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CH4,3.96296
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CO2,2808.56953
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg N2O,1.47531
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18416
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00026
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18381
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20463
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00029
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CO2,0.20423
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CO2e,1.27331
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CH4,0.00179
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CO2,1.27085
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg N2O,0.00067
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CO2e,2814.00779
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CH4,3.96296
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CO2,2808.56953
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg N2O,1.47531
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.21451
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00015
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.21419
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00016
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.23033
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00017
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CO2,0.22999
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg N2O,0.00018
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,kg CO2e,1.50807
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,kg CH4,0.00109
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,kg CO2,1.50583
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,kg N2O,0.00115
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,kg CO2e,2940.43753
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,kg CH4,2.12188
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,kg CO2,2936.07535
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,kg N2O,2.2403
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18416
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00026
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18381
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20463
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg CH4,0.00029
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg CO2,0.20423
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CO2e,2.09672
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CH4,0.00295
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CO2,2.09267
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg N2O,0.0011
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CO2e,2814.00779
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CH4,3.96296
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CO2,2808.56953
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg N2O,1.47531
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18646
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00008
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18628
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20267
