Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg CO2,LPG litres,1.51703
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg N2O,LPG litres,0.00099
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CO2e,LPG tonnes,2937.32000
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CH4,LPG tonnes,2.00000
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CO2,LPG tonnes,2933.41000
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg N2O,LPG tonnes,1.91000
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Natural gas kWh (Gross CV),0.18396
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Natural gas kWh (Gross CV),0.00024
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Natural gas kWh (Gross CV),0.18362
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Natural gas kWh (Gross CV),0.00010
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Natural gas kWh (Net CV),0.20437
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Natural gas kWh (Net CV),0.00027
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Natural gas kWh (Net CV),0.20399
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Natural gas kWh (Net CV),0.00011
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CO2e,Natural gas cubic metres,2.04652
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CH4,Natural gas cubic metres,0.00270
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CO2,Natural gas cubic metres,2.04275
