Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg CH4,0.00028
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg CO2,0.20405
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CO2e,2.02838
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CH4,0.00281
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CO2,2.02451
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg N2O,0.00106
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CO2e,"2,715.82599"
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CH4,3.76372
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CO2,"2,710.63714"
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg N2O,1.42512
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18847
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00008
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18829
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00010
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20486
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh (Net CV),kg CH4,0.00009
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh (Net CV),kg CO2,0.20466
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh (Net CV),kg N2O,0.00010
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,kg CO2e,0.97137
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,kg CH4,0.00042
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,kg CO2,0.97046
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,kg N2O,0.00050
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,kg CO2e,"2,651.84942"
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,kg CH4,1.13972
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,kg CO2,"2,649.35115"
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,kg N2O,1.35855
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24116
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00136
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.23753
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00226
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh (Net CV),kg CO2e,0.25385
