Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor,Comments
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,All Gases (CO2e),2726.05077,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,CH4,4.138217487,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,CO2,2720.434618,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,N2O,1.477934817,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,All Gases (CO2e),0.18445,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,CH4,0.00028,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,CO2,0.18407,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,N2O,0.0001,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,All Gases (CO2e),0.20494,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,CH4,0.00031,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,CO2,0.20452,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,N2O,0.00011,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,kWh,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,kWh,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,kWh,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,kWh,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,All Gases (CO2e),1.233507136,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,CH4,0.00187,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,CO2,1.23097,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,N2O,0.00067,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,kWh,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,kWh,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,kWh,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,kWh,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,All Gases (CO2e),2726.05077,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,CH4,4.138217487,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,CO2,2720.434618,
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,N2O,1.477934817,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,All Gases (CO2e),0.21468,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,CH4,0.00024,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,CO2,0.21419,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,N2O,0.00025,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,All Gases (CO2e),0.23052,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,CH4,0.00026,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,CO2,0.22999,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,N2O,0.00027,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,kWh,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,kWh,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,kWh,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,kWh,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,All Gases (CO2e),1.50938,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,CH4,0.00171,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,CO2,1.50588,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,N2O,0.00179,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,kWh,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,kWh,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,kWh,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,kWh,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,All Gases (CO2e),2942.640519,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,CH4,3.289704325,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,CO2,2935.924039,
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,N2O,3.426775339,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,All Gases (CO2e),0.18445,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,CH4,0.00028,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,CO2,0.18407,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,N2O,0.0001,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,litres,CH4,N/A,
