Splunk_Lookup_File_Name,Original_File_Source,Original_File_Name,Reference,Notes
GHG_GWP_IPCC_AR4.csv,https://www.ipcc.ch/site/assets/uploads/2018/02/ar4-wg1-chapter2-1.pdf or https://archive.ipcc.ch/publications_and_data/ar4/wg1/en/ch2s2-10-2.html,ar4-wg1-chapter2-1.pdf,Table 2.14.,All records are included
GHG_GWP_IPCC_AR6.csv,https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter_07_Supplementary_Material.pdf,IPCC_AR6_WGI_Chapter_07_Supplementary_Material.pdf,Table 7.SM.7,All records are included
GHG_GWP_WSC_Rev1.csv,https://ghgprotocol.org/calculation-tools,pfc.xls,,Figures extracted from the Semiconductor worksheet which is based on values agreed by World Semiconductor Council(WSC)
