category,from,to,"pre_addition",multiplication,division,"post_addition","is_approx","is_inverse"
Area,"Square killometer","Square meter",0,1000000,1,0,0,
Area,"Square killometer","Square mile",0,1,"2.589988110336",0,0,
Area,"Square killometer","Square yard",0,"1195990.04630108",1,0,0,
Area,"Square killometer","Square foot",0,"10763910.4167097",1,0,0,
Area,"Square killometer","Square inch",0,"1550003100.0062",1,0,0,
Area,"Square killometer",Hectare,0,100,1,0,0,
Area,"Square killometer",Acre,0,1,"0.0040468564224",0,0,
Area,"Square killometer",Tsubo,0,121000000,400,0,0,
Area,"Square killometer","Tatami mats",0,242000000,441,0,0,
Area,"Square meter","Square killometer",0,1,1000000,0,0,
Area,"Square meter","Square mile",0,1,"2589988.110336",0,0,
Area,"Square meter","Square yard",0,"1.19599004630108",1,0,0,
Area,"Square meter","Square foot",0,"10.7639104167097",1,0,0,
Area,"Square meter","Square inch",0,"1550.0031000062",1,0,0,
Area,"Square meter",Hectare,0,1,10000,0,0,
Area,"Square meter",Acre,0,1,"4046.8564224",0,0,
Area,"Square meter",Tsubo,0,121,400,0,0,
Area,"Square meter","Tatami mats",0,242,441,0,0,
Area,"Square mile","Square killometer",0,"2.589988110336",1,0,0,
Area,"Square mile","Square meter",0,"2589988.110336",1,0,0,
Area,"Square mile","Square yard",0,3097600,1,0,0,
Area,"Square mile","Square foot",0,27878400,1,0,0,
Area,"Square mile","Square inch",0,4014489600,1,0,0,
Area,"Square mile",Hectare,0,"258.9988110336",1,0,0,
Area,"Square mile",Acre,0,640,1,0,0,
Area,"Square mile",Tsubo,0,"313388561.350656",400,0,0,
Area,"Square mile","Tatami mats",0,"626777122.701312",441,0,0,
Area,"Square yard","Square killometer",0,"0.83612736",1000000,0,0,
Area,"Square yard","Square meter",0,"0.83612736",1,0,0,
Area,"Square yard","Square mile",0,1,3097600,0,0,
Area,"Square yard","Square foot",0,9,1,0,0,
Area,"Square yard","Square inch",0,1296,1,0,0,
Area,"Square yard",Hectare,0,"0.83612736",10000,0,0,
Area,"Square yard",Acre,0,1,4840,0,0,
Area,"Square yard",Tsubo,0,121,"478.396018520432",0,0,
Area,"Square yard","Tatami mats",0,242,"527.43161041877628",0,0,
Area,"Square foot","Square killometer",0,"0.09290304",1000000,0,0,
Area,"Square foot","Square meter",0,"0.09290304",1,0,0,
Area,"Square foot","Square mile",0,1,27878400,0,0,
Area,"Square foot","Square yard",0,1,9,0,0,
Area,"Square foot","Square inch",0,144,1,0,0,
Area,"Square foot",Hectare,0,"0.09290304",10000,0,0,
Area,"Square foot",Acre,0,1,43560,0,0,
Area,"Square foot",Tsubo,0,121,"4305.56416668388",0,0,
Area,"Square foot","Tatami mats",0,242,"4746.8844937689777",0,0,
Area,"Square inch","Square killometer",0,"0.00064516",1000000,0,0,
Area,"Square inch","Square meter",0,"0.00064516",1,0,0,
Area,"Square inch","Square mile",0,1,4014489600,0,0,
Area,"Square inch","Square yard",0,1,1296,0,0,
Area,"Square inch","Square foot",0,1,144,0,0,
Area,"Square inch",Hectare,0,"0.00064516",10000,0,0,
Area,"Square inch",Acre,0,1,6272640,0,0,
Area,"Square inch",Tsubo,0,121,"620001.24000248",0,0,
Area,"Square inch","Tatami mats",0,242,"683551.3671027342",0,0,
Area,Hectare,"Square killometer",0,1,100,0,0,
Area,Hectare,"Square meter",0,10000,1,0,0,
Area,Hectare,"Square mile",0,1,"258.9988110336",0,0,
Area,Hectare,"Square yard",0,"11959.9004630108",1,0,0,
Area,Hectare,"Square foot",0,"107639.104167097",1,0,0,
Area,Hectare,"Square inch",0,"15500031.000062",1,0,0,
Area,Hectare,Acre,0,1,"0.40468564224",0,0,
Area,Hectare,Tsubo,0,12100,4,0,0,
Area,Hectare,"Tatami mats",0,2420000,441,0,0,
Area,Acre,"Square killometer",0,"4046.8564224",1000000,0,0,
Area,Acre,"Square meter",0,"4046.8564224",1,0,0,
Area,Acre,"Square mile",0,1,640,0,0,
Area,Acre,"Square yard",0,4840,1,0,0,
Area,Acre,"Square foot",0,43560,1,0,0,
Area,Acre,"Square inch",0,6272640,1,0,0,
Area,Acre,Hectare,0,"0.40468564224",1,0,0,
Area,Acre,Tsubo,0,"1224.174067776",1,0,0,
Area,Acre,"Tatami mats",0,"979339.2542208",441,0,0,
Area,Tsubo,"Square killometer",0,400,121000000,0,0,
Area,Tsubo,"Square meter",0,400,121,0,0,
Area,Tsubo,"Square mile",0,400,"313388561.350656",0,0,
Area,Tsubo,"Square yard",0,"478.396018520432",121,0,0,
Area,Tsubo,"Square foot",0,"4305.56416668388",121,0,0,
Area,Tsubo,"Square inch",0,"620001.24000248",121,0,0,
Area,Tsubo,Hectare,0,4,12100,0,0,
Area,Tsubo,Acre,0,1,"1224.174067776",0,0,
Area,Tsubo,"Tatami mats",0,96800,53361,0,0,
Area,"Tatami mats","Square killometer",0,441,242000000,0,0,
Area,"Tatami mats","Square meter",0,441,242,0,0,
Area,"Tatami mats","Square mile",0,441,"626777122.701312",0,0,
Area,"Tatami mats","Square yard",0,"527.43161041877628",242,0,0,
Area,"Tatami mats","Square foot",0,"4746.8844937689777",242,0,0,
Area,"Tatami mats","Square inch",0,"683551.3671027342",242,0,0,
Area,"Tatami mats",Hectare,0,441,2420000,0,0,
Area,"Tatami mats",Acre,0,441,"979339.2542208",0,0,
Area,"Tatami mats",Tsubo,0,53361,96800,0,0,
"Data Transfer Rate","Bit per second","Byte per second",0,1,8,0,0,
"Data Transfer Rate","Bit per second","Kilobit per second",0,1,1000,0,0,
"Data Transfer Rate","Bit per second","Kilobyte per second",0,1,8000,0,0,
"Data Transfer Rate","Bit per second","Kibibit per second",0,1,1024,0,0,
"Data Transfer Rate","Bit per second","Kibibyte per second",0,1,8192,0,0,
"Data Transfer Rate","Bit per second","Megabit per second",0,1,1000000,0,0,
