source,metric_name,type,description
DSNDQDST,QDSTNQMX             ,OTHR,Relative to QDSTNQR2 - the Maximum queued duration for this statistics period.**Note: Only statistics records written due to an expired statistics timer will cause the value to be reset. Statistics records written for IFI READS checkpoints or commands will not result in a value reset. STCK format
DSNDQDST,QDSTNQAV             ,OTHR,Relative to QDSTNQR2 - the average queued duration for this statistics period.**Note: Only statistics records written due to an expired statistics timer will cause the value to be reset. Statistics records written for IFI READS checkpoints or commands will not result in a value reset. STCK format
DSNDQDST,QDSTNCCW             ,OTHR,Number of queued client Connections which have had their TCP/IP sockets closed because the Maximum time waiting for a DBAT(FACMCONQW) was exceeded. The socket close will only be attempted in a member of a data sharing group
DSNDQIFA,QIFAAIET             ,OTHR,Accumulated elapsed time spent processing IFI calls - only if Accounting class 5 active
DSNDQIFA,QIFAAITT             ,OTHR,Accumulated TCB CPU time spent processing IFI calls - only if Accounting class 5 active
DSNDQIFA,QIFAAMBT             ,OTHR,Accumulated elapsed time spent processing Data Capture describes. This is a subset of the time provided in QIFAAMLT
DSNDQIFA,QIFAAMLT             ,OTHR,Accumulated elapsed time spent extracting log records for tables defined with 'Data Capture Changes'. This is a subset of the time provided in QIFAAIET
DSNDQIFA,QIFAANIF             ,OTHR,Number of ENTRY/EXIT to IFI events only if Accounting class 5 active
DSNDQIFA,QIFAANLR             ,OTHR,Number of Data Capture LOG READS performed
DSNDQIFA,QIFAANRC             ,OTHR,Number of log records captured for which Data Capture processing was invoked
DSNDQIFA,QIFAANRR             ,OTHR,Number of Data Capture log records returned to caller as a result of IFI READS requests for IFCID 185
DSNDQIFA,QIFAANDR             ,OTHR,Number of Data Capture data rows returned. Two rows are returned for each row altered by an SQL UPDATE statement. Data Capture data rows are returned in IFCID 185 and are mapped by QW0185DR
DSNDQIFA,QIFAANDD             ,OTHR,Number of Data Capture data descriptions returned. Data Capture data descriptionsare mapped in IFCID 185 beginning with field QW0185DD
DSNDQIFA,QIFAANMB             ,OTHR,Number of Data Capture describes performed
DSNDQIFA,QIFAANTB             ,OTHR,Number of Data Capture tables for which Data Capture descriptions were returned
DSNDQISE,QISEFAIL             ,OTHR,Number of fail due to pool full
DSNDQISE,QISECTG              ,OTHR,Number of req for CT sections
DSNDQISE,QISECTL              ,OTHR,Number of load CT sect from dasd
DSNDQISE,QISESTMT             ,OTHR,Number of stmts in EDM pool
DSNDQISE,QISEDBDG             ,OTHR,Number of requests for DBD 
DSNDQISE,QISEDBDL             ,OTHR,Number of loading DBD from dasd
DSNDQISE,QISEKTG              ,OTHR,Number of req for pt sections
DSNDQISE,QISEKTL              ,OTHR,Number of load pt sect from dasd
DSNDQISE,QISEDSI              ,OTHR,Number of inserts for dyn cache
DSNDQISE,QISEDSG              ,OTHR,Number of requests for dyn cache
DSNDQISE,QISEDBD              ,OTHR,Number of pages used for DBD 
DSNDQISE,QISEDFAL             ,OTHR,Number of fail due to DBD pool full  
DSNDQISE,QISEDPGE             ,OTHR,Number of pages in DBD pool
DSNDQISE,QISEDFRE             ,OTHR,Number of free pg in DBD free chain  
DSNDQISE,QISEDYNP             ,OTHR,Number of pgs used in stmt pool
DSNDQISE,QISECFAL             ,OTHR,Number of fail due to stmt pool full 
DSNDQISE,QISECPGE             ,OTHR,Number of pgs in stmt pool 
DSNDQISE,QISECFRE             ,OTHR,Number of free pg in stmt free chain 
DSNDQISE,QISESKCT             ,OTHR,Number of pages used for SKCT
DSNDQISE,QISESKPT             ,OTHR,Number of pages used for SKPT
DSNDQISE,QISEKFAL             ,OTHR,Number of fail due to stmt skel pool full
DSNDQISE,QISEKPGE             ,OTHR,Number of pages in skel EDM pool
DSNDQISE,QISEKFRE             ,OTHR,Number of free pg in skel EDM pool fre ch
DSNDQISE,QISECTA              ,OTHR,Number of pages used in CT above bar 
DSNDQISE,QISEKTA              ,OTHR,Number of pages used in pt above bar 
DSNDQISE,QISESFAL             ,OTHR,Number of fail due to stmt abv  pool full
DSNDQISE,QISESPGE             ,OTHR,Number of pages in stmt abv EDM pool 
DSNDQISE,QISESFRE             ,OTHR,Number of free pg in stmt abv EDM pol fre
DSNDQISE,QISEKNFM             ,OTHR,Number of cached not-found record located
DSNDQISE,QISEKNFA             ,OTHR,Number of not-found record added to cache
DSNDQISE,QISEKNFR             ,OTHR,Number of nt-found rcrd removed frm cache
DSNDQISE,QISEKSPG             ,OTHR,Number of shareable static sql statement requests 
DSNDQISE,QISEKSPA             ,OTHR,Reserved
DSNDQISE,QISEKLRU             ,OTHR,Total stealable skel pages
DSNDQISE,QISEDLRU             ,OTHR,Total stealable DBD pages 
DSNDQISE,QISESQCB             ,OTHR,Storage allocated to plan btb 
DSNDQISE,QISESQKB             ,OTHR,Storage allocated to package btb
DSNDQISE,QISESQCA             ,OTHR,Storage allocated to plan atb
DSNDQISE,QISESQKA             ,OTHR,Storage allocated to package atb
DSNDQISE,QISEKSPA8            ,OTHR,Total storage allocated to shareable static sql statements 
DSNDQISJ,QISJTRY              ,OTHR,Number of allocation requests in star join pool
DSNDQISJ,QISJFAIL             ,OTHR,Number of failures caused by full star join pool
DSNDQISJ,QISJSIZE             ,OTHR,Current size of star join pool in MB
DSNDQISJ,QISJMAX              ,OTHR,Maximum size of star join pool in MB
DSNDQIST,QISTRLLM             ,RID, Number of times RID list processing terminated because the number of RID entries was greater than the RDS limit. the RDS limit is the max(25% of table size number of rids that can fit into the guaranteed number of RID blocks.
DSNDQIST,QISTRPLM             ,RID, Number of times RID list processing terminated because the number of RID entries was greater than the DM limit. the DM limit is approximately 26 million rids.
DSNDQIST,QISTRHIG             ,RID, Highest number of RID blocks in use at any one time since db2 startup time
DSNDQIST,QISTRCUR             ,RID, Number of RID blocks currently in use.
DSNDQIST,QISTRSTG             ,RID, Number of times RID list processing exhausted virtual storage
DSNDQIST,QISTRMAX             ,RID, Number of times the maximum RID pool storage was exceeded.  the default maximum RID pool size is the min(install value 10gb).
DSNDQIST,QISTCOLS             ,OTHR,Total number of columns for which a select procedure was bypassed because the select procedure was invalidated by applying service to db2.                      
DSNDQIST,QISTWFNE             ,WSTG,Number of times the maximum allowable storage usage limit was exceeded
DSNDQIST,QISTWFP1             ,OTHR,How many times a 32kb page TS was used when a 4kb page TS was preferable (but was not available)    
DSNDQIST,QISTWFP2             ,OTHR,How many times a 4kb page TS was used when a 32kb page TS was preferable (but was not available)
DSNDQIST,QISTRCCI             ,OTHR,Read currently committed insert **how many rows skipped by read transaction due to uncommitted insert when using currently committed semantic for fetch.
DSNDQIST,QISTRCCD             ,OTHR,Read currently committed delete **how many rows accessed by read transaction due to uncommitted delete when using currently committed semantic for fetch.
DSNDQIST,QISTRCCU             ,OTHR,Read currently committed update **how many rows accessed by read transaction due to uncommitted update when using currently committed semantic for fetch.
DSNDQIST,QISTWMXA             ,WSTG,Maximum allowable storage usage limit per agent (kb) (maxtemps zparm value) equivalent in v9 was qistwfmx
DSNDQIST,QISTWMXU             ,WSTG,Maximum total storage (kbs) ever used in the WFDB at system level for both DGTTs & workfiles together since db2 came up. (starts as 0 on restart)
DSNDQIST,QISTWCTO             ,WSTG,Current total storage (kbs) used in the WFDB at system level for both DGTTs & workfiles together.
DSNDQIST,QISTW4K              ,OTHR,Current 4kb table space storage used(kb) **equivalent in v9 was qistwf04/qistw04k pair
DSNDQIST,QISTW32K             ,OTHR,Current 32kb table space storage used(kb)  equivalent in v9 was qistwf32/qistw32k pair
DSNDQIST,QISTIMAC             ,WRKF,How many sort-related DM in-memory workfiles are active currently.
DSNDQIST,QISTIMSC             ,WRKF,Total space used for the currently-active DM in-mem workfiles in kbs.
DSNDQIST,QISTIMAH             ,WRKF,High watermark count (maximum number) of sort-related DM in-mem workfiles active at any point in time since db2 came up.
DSNDQIST,QISTIMSH             ,WRKF,High watermark count of maximum space used for the active DM in-mem workfiles at any point in time since db2 came up in kbs.
DSNDQIST,QISTSIAC             ,WRKF,How many sort-inmem work-files are active currently.
DSNDQIST,QISTSISC             ,WRKF,Total space used for the currently-active sort-inmem workfiles in bytes.
DSNDQIST,QISTSIAH             ,WRKF,High watermark count of maximum number sort-inmem workfiles active at any point in time since db2 came up.
DSNDQIST,QISTSISH             ,WRKF,High watermark count of maximum space used for the active sort-inmem workfiles at any point in time since db2 came up in bytes
DSNDQIST,QISTWFRHIG           ,RID, Highest number of RID blocks overflown(stored) to a work file at any time since db2 startup. this is a high-water mark.
DSNDQIST,QISTWFRCUR           ,RID, Number of RID blocks currently residing in work file storage. this is a snapshot value.
DSNDQIST,QISTI2AC             ,WRKF,How many non-sort related DM in-memory workfiles are active currently.
DSNDQIST,QISTI2AH             ,WRKF,High watermark count of (maximum number) non-sort-related DM in-mem workfiles active at any point in time since db2 came up.
DSNDQIST,QISTI2OF             ,OTHR,How many times the type-2 inmem wfs overflowed into a physical tablespace since db2 came up.
DSNDQIST,QISTIMNC             ,WRKF,How many times a wf was not created as any type of DM in-memory workfile because of critical storage conditions since db2 came up.
DSNDQIST,QISTASTH             ,OTHR,Agent-level WFDB space usage alert threshold % value (0 to 100) from sprmwfsat (derived from wfstguse_agent_threshold zparm).
DSNDQIST,QISTSSTH             ,OTHR,System-level WFDB space usage alert threshold % value (0 to 100) from sprmwfsst (derived from wfstguse_system_threshold zparm).
DSNDQIST,QISTAMXU             ,WSTG,Highest amount of WFDB storage (kb) ever used by any thread on the system since db2 came up.
DSNDQIST,QISTWSTG             ,WSTG,Current total storage(kb) configured for all table spaces in the WFDB.
DSNDQIST,QISTDGTTSTG          ,WSTG,Total preferred storage(kb) configured for DGTTs in the WFDB.
DSNDQIST,QISTDGTTCTO          ,WSTG,Current total storage(kb) used for DGTTs by all agents on the system since db2 came up.
DSNDQIST,QISTDGTTMXU          ,WSTG,Highest total storage(kb) ever used for DGTTs by all agents on the system since db2 came up.
DSNDQIST,QISTWFSTG            ,WSTG,Total preferred storage(kb) configured for workfiles in the wfdb.
DSNDQIST,QISTWFCTO            ,WSTG,Current total storage(kb) used for workfiles by all agents on the system since db2 came up.
DSNDQIST,QISTWFMXU            ,WSTG,Highest total storage(kb) ever used for workfiles by all agents on the system since db2 came up.
DSNDQJST,QJSTWRW              ,OTHR,WRITE Request Count - WAIT 
DSNDQJST,QJSTWRNW             ,OTHR,WRITE Request Count - NOWAIT 
DSNDQJST,QJSTWRF              ,OTHR,WRITE Request Count - FORCE 
DSNDQJST,QJSTWTB              ,OTHR,WAIT Count due to Unavailable Active Buffer
DSNDQJST,QJSTRBUF             ,OTHR,LOG READS satisfied from Output Buffers
DSNDQJST,QJSTRACT             ,OTHR,READS satisfied from active Log Data Set
DSNDQJST,QJSTRARH             ,OTHR,READS satisfied from Archive Log Data Set
DSNDQJST,QJSTTVC              ,OTHR,Number of Read accesses dalayed due to Tape volume contention
DSNDQJST,QJSTBSDS             ,OTHR,Total BSDS Access Requests
DSNDQJST,QJSTBFFL             ,OTHR,Active LOG Output Control Intervals Created
DSNDQJST,QJSTBFWR             ,OTHR,Count of Calls to Write Active Log Buffers
DSNDQJST,QJSTALR              ,OTHR,Archive LOG READ Allocations
DSNDQJST,QJSTALW              ,OTHR,Archive LOG WRITE Allocations
DSNDQJST,QJSTCIOF             ,OTHR,Count of Control Intervals Offloaded
DSNDQJST,QJSTWUR              ,OTHR,Number of READ ACCESSES delayed due to Unavailable Resource
DSNDQJST,QJSTLAMA             ,OTHR,Number of LOOK-AHEAD Tape volume mounts attempted. This field along with field QJSTLAMS will show how many times LOOK-AHEAD mounting failed  thus negating potential significant performance gains.
DSNDQJST,QJSTLAMS             ,OTHR,Number of LOOK-AHEAD Tape volume mounts performed
DSNDQJST,QJSTLOGW             ,OTHR,Total Number of LOG WRITE I/O Reuests
DSNDQJST,QJSTCIWR             ,OTHR,Total Number of LOG CI-S Written
DSNDQJST,QJSTSERW             ,OTHR,Number of Serial LOG WRITE Requests for CI RE-WRITES when Dual Logging
DSNDQJST,QJSTTHRW             ,OTHR,Number of Times a LOG WRITE Request was scheduled because the Log Write threshold was reached
DSNDQJST,QJSTBPAG             ,OTHR,Number of Times a LOG-WRITE Buffer had to be paged-in before it could be used
DSNDQLAC,QLACCNVS             ,OTHR,Number of conversations that was initiated from this site to the remote site (meaningful at AR site only)
DSNDQLAC,QLACCNVT             ,OTHR,Number of conversations that were terminated from this site to the remote site (meaningful at AR site only)
DSNDQLAC,QLACCNVR             ,OTHR,Number of conversations that was initiated from the remote site to this site (meaningful at AS site only)
DSNDQLAC,QLACMSGS             ,OTHR,Number of messages sent to the remote site
DSNDQLAC,QLACMSGR             ,OTHR,Number of messages received from the remote site
DSNDQLAC,QLACSQLS             ,OTHR,Number of SQL statements sent to the remote site
DSNDQLAC,QLACSQLR             ,OTHR,Number of SQL statements received from the remote site
DSNDQLAC,QLACBYTS             ,OTHR,Number of bytes of data sent to the remote site
DSNDQLAC,QLACBYTR             ,OTHR,Number of bytes of data received from the site
DSNDQLAC,QLACROWS             ,OTHR,Number of rows of data sent to the requester (includes the SQLDA)
DSNDQLAC,QLACROWR             ,OTHR,Number of rows of data retrieved from the server (this count does not include either the SQLDA or SQLCA if they are transmitted)
DSNDQLAC,QLACBTBF             ,OTHR,Number of blocks transmitted using Block Fetch (server SITE ONLY).
DSNDQLAC,QLACBRBF             ,OTHR,Number of blocks received using Block Fetch (requester site only)
DSNDQLAC,QLACCOMS             ,OTHR,Number of COMMIT requests sent to the server (Single-phase Commit protocol) and committed requests sent to the participant (Two-phase Commit protocol).
DSNDQLAC,QLACCOMR             ,OTHR,Number of COMMIT requests received from the requester (Single-phase Commit protocol) and committed requests received from the Coordinator(Two-phase Commit protocol)
DSNDQLAC,QLACABRS             ,OTHR,Number of ABORT requests sent to the server (Single-phase Commit protocol) and number of BACKOUT requests sent to the participant (Two-phase Commit protocol)
DSNDQLAC,QLACABRR             ,OTHR,Number of ABORT requests received from the requester (Single-phase Commit protocol) and number of BACKOUT requests received from the Coordinator (Two-phse Commit protocol)
DSNDQLAC,QLACINDT             ,OTHR,Number of threads that went INDOUBT with the remote location as the Coordinator
DSNDQLAC,QLACCNVQ             ,OTHR,Number of conversations requests queued by DDF waiting for Allocations (meaningful at AR only)
DSNDQLAC,QLACCPUL             ,OTHR,Elapsed time at the local site spent processing for the remote site. Accounting only (meaningful at AR only)
DSNDQLAC,QLACMDWT             ,OTHR,Total elapsed time spent waiting for an available Database Access Agent(DBAT)
DSNDQLAC,QLACPRLV             ,OTHR,Product Level, if known
DSNDQLES,QLECREAT             ,OTHR,Total number of LE tokens that were created since the last subsystem startup
DSNDQLES,QLETRMST             ,OTHR,Total number of LE tokens that were terminated since the last subsystem start up due to storage shortage conditions
DSNDQLES,QLETRMER             ,OTHR,QLETRMER Reserved
DSNDQLES,QLETRMDL             ,OTHR,QLETRMDL Reserved
DSNDQLES,QLENUMEC             ,OTHR,Current number of LE tokens
DSNDQLES,QLENUMEM             ,OTHR,Maximum number of LE tokens since startup
DSNDQLES,QLENUMIC             ,OTHR,QLENUMIC Reserved
DSNDQLES,QLENUMIM             ,OTHR,QLENUMIM Reserved
DSNDQLES,QLESTGEC             ,OTHR,Total storage above the line that is committed to LE tokens
DSNDQLES,QLESTGEM             ,OTHR,Maximum amount of storage above the line since startup
DSNDQLES,QLESTGIC             ,OTHR,Amount of storage above the line that is committed to idle LE tokens
DSNDQLES,QLESTGIM             ,OTHR,Maximum amount of storage above the line that is committed to idle LE tokens
DSNDQLES,QLELOWEC             ,OTHR,Total storage below the line that is committed to LE tokens
DSNDQLES,QLELOWEM             ,OTHR,Maximum amount of storage below the line since startup
DSNDQLES,QLELOWIC             ,OTHR,Amount of storage below the line that is committed to idle LE tokens
DSNDQLES,QLELOWIM             ,OTHR,Maximum amount of storage below the line that is committed to idle LE tokens
DSNDQLES,QLESTG1M             ,OTHR,Maximum amount of storage above the line that is committed to a single LE token
DSNDQLES,QLELOW1M             ,OTHR,Maximum amount of storage below the line that is committed to a single LE token
DSNDQLES,QLEUSED              ,OTHR,Number of times since startup that an LE token was acquired for use
DSNDQLES,QLETIME              ,OTHR,Amount of time since startup that was used for acquiring an LE token
DSNDQLES,QLENTRDY             ,OTHR,Number of times that an LE token is not available. A delay can occur in an application because an LE token was not available. If this number is large it can indicate that the value of maximum LE tokens on installation panel DSNTIP7 is too small
DSNDQLES,QLETIMEW             ,OTHR,Total time spent waiting for LE tokens. If this number is large it can indicate that the value of maximum LE tokens on installation panel DSNTIP7 is too small
DSNDQLES,QLETIMEI             ,OTHR,Total time used for creating LE tokens. To get the average amount of time used for creating an LE token divide this value by QLECREAT
DSNDQLES,QLETIMET             ,OTHR,Total time used for terminating LE tokens. To get the average amount of time used for terminating an LE token divide this value by QLETRMST
DSNDQLES,QLETIMEM             ,OTHR,Maximum amount of time since startup that any single LE token was acquired for use
DSNDQLST,QLSTCNVS             ,OTHR,Number of Conversations that were initiated from this site to the remote site.(Meaningful at AR only)
DSNDQLST,QLSTCNVT             ,OTHR,Number of Conversations that were deallocated from this site to the remote site (Meaningful at AR only)
DSNDQLST,QLSTCNVR             ,OTHR,Number of Conversations that were initiated from the remote site to this site. (Meaningful at AS only)
DSNDQLST,QLSTMSGS             ,OTHR,Number of messages sent to the remote site
DSNDQLST,QLSTMSGR             ,OTHR,Number of messages received from the remote site
DSNDQLST,QLSTSQLS             ,OTHR,Number of SQL statements sent to the remote site
DSNDQLST,QLSTSQLR             ,OTHR,Number of SQL statements received from the remote site
DSNDQLST,QLSTBYTS             ,OTHR,Number of bytes of data sent to the remote site
DSNDQLST,QLSTBYTR             ,OTHR,Number of bytes of data received from the remote site
DSNDQLST,QLSTROWS             ,OTHR,Number of rows of data sent to the remote site (includes the SQLDA) </dd>
DSNDQLST,QLSTROWR             ,OTHR,Number of rows of data retrieved from the remote site (this count does not include either the SQLDA or SQLCA if they are transmitted)
DSNDQLST,QLSTBTBF             ,OTHR,Number of blocks transmitted using BLOCK FETCH (server site only)
DSNDQLST,QLSTBRBF             ,OTHR,Number of blocks received using BLOCK FETCH (requester site only)
DSNDQLST,QLSTCOMS             ,OTHR,Number of COMMIT requests sent to the server (Single-phase Commit Protocol) and commited requests sent to the participant (Two-phase Commit Protocol)
DSNDQLST,QLSTCOMR             ,OTHR,Number of COMMIT requests received from the requester (Single-phase Commit Protocol) AND commited requests received from the Coordinator (Two-phase Commit Protocol)
DSNDQLST,QLSTABRS             ,OTHR,Number of ABORT requests sent to the server (Single-phase Commit Protocol) AND Number of  BACKOUT requests sent to the participant (Two-phase Commit Protocol)
DSNDQLST,QLSTABRR             ,OTHR,Number of ABORT requests received from the requester (Single-phase Commit Protocol) and Number of BACKOUT requests received from the Coordinator (Two-phase Commit Protocol) </dd>
DSNDQLST,QLSTINDT             ,OTHR,Number of threads that became INDOUBT with the remote Location as the Coordinator
DSNDQLST,QLSTCNVQ             ,OTHR,Number of Conversation requests queued by DDF waiting for Allocation
DSNDQPAC,QPACSQLC             ,OTHR,SQL request count - The Number of SQL statements issued.   
DSNDQPAC,class2Elapsed        ,OTHR,Total in Db2 elapsed time of the  most recent execution of this package
DSNDQPAC,class2CPU            ,OTHR,Total in Db2 CPU time of the  most recent execution of this package
DSNDQPAC,QPACSCT              ,OTHR,Total elapsed time spent processing all executions of this package             
DSNDQPAC,QPACTJST             ,OTHR,Total CPU time for all executions of this package.  This time does not include CPU consumed on an IBM specialty engine.     
DSNDQPAC,QPACARNA             ,OTHR,Number of Db2 entry or exit events processed while executing this package    
DSNDQPAC,QPACARNE             ,OTHR,Number of wait trace events processed for waits for I/O under this thread while executing this package  
DSNDQPAC,QPACAWTI             ,OTHR,Accumulated I/O elapsed wait time for I/O done under this thread while executing this package 
DSNDQPAC,QPACAWTL             ,OTHR,Accumulated LOCK elapsed wait time that occurred while executing this package  
DSNDQPAC,QPACAWTR             ,OTHR,Accumulated wait time for READ I/O that is done under a thread other than this one while executing this package       
DSNDQPAC,QPACAWTW             ,OTHR,Accumulated wait time for WRITE I/O that is done under a thread other than this one while executing this package       
DSNDQPAC,QPACAWTE             ,OTHR,Accumulated wait time due to synchronous execution unit switch to Db2 services from this thread while executing this package. 
DSNDQPAC,QPACALOG             ,OTHR,Accumulated wait time due TO processing of ARCHIVE LOG MODE(QUIESCE) commands while executing this package. 
DSNDQPAC,QPACARNL             ,OTHR,Number of wait trace events processed for waits on locks while executing this package.  
DSNDQPAC,QPACARNR             ,OTHR,Number of wait trace events processed for waits for READ I/O under another thread while executing this package 
DSNDQPAC,QPACARNW             ,OTHR,Number of wait trace events processed for waits for WRITE I/O under another thread while executing this package 
DSNDQPAC,QPACARNS             ,OTHR,Number of wait trace events processed for waits for synchronous execution unit switching to Db2 service task while executing this package 
DSNDQPAC,QPACALCT             ,OTHR,Number of suspension due to processing of ARCHIVE LOG MODE(QUIESCE) commands while executing this package 
DSNDQPAC,QPACARND             ,OTHR,Number of wait trace events processed for waits  for a drain lock while executing this package 
DSNDQPAC,QPACAWDR             ,OTHR,Accumulated wait time for a drain lock  while executing this package 
DSNDQPAC,QPACAWCL             ,OTHR,Accumulated wait time for a drain when waiting for claims to be released while executing this package 
DSNDQPAC,QPACARNC             ,OTHR,Number of wait trace events processed for suspensions to wait for claims to be released while executing this package 
DSNDQPAC,QPACAWAR             ,OTHR,Accumulated wait time for:- archive reads - active reads - active log prefetch reads while executing this package
DSNDQPAC,QPACANAR             ,OTHR,Number of wait trace events processed for: - archive reads - active reads - active log prefetch reads while executing this package 
DSNDQPAC,QPACAWTP             ,OTHR,Accumulated wait time due to page latch contention while executing this package 
DSNDQPAC,QPACARNH             ,OTHR,Number of wait trace events processed for page latch contention while executing this package 
DSNDQPAC,QPACAWTG             ,OTHR,Accumulated wait time due to sending of messages within the DB2 data sharing group 
DSNDQPAC,QPACAWTJ             ,OTHR,Accumulated wait time due to global contention for parent L-locks. Global contention occurs when inter-system communication is required to resolve an IRLM Lock or Change request.  QPACAWTL contains the wait time due to local contention.  Local contention does not require inter-system communciation - it can be resolved by the local subsystem. 
DSNDQPAC,QPACARNG             ,OTHR,Number of Wait trace events processed for sending of messages to other members in the data sharing group. 
DSNDQPAC,QPACARNJ             ,OTHR,Number of wait trace events processed for waits  for global lock contention for parent L-locks.  
DSNDQPAC,QPACSPNS             ,OTHR,Number of stored procedures executed 
DSNDQPAC,QPACUDNU             ,OTHR,Number of user-defined functions scheduled
DSNDQPAC,QPACAWTK             ,OTHR,Accumulated wait time due to global contention for child L-locks.            
DSNDQPAC,QPACAWTM             ,OTHR,Accumulated wait time due to global contention for other L-locks             
DSNDQPAC,QPACAWTN             ,OTHR,Accumulated wait time due to global contention for pageset/partition P-locks 
DSNDQPAC,QPACAWTO             ,OTHR,Accumulated wait time due to global contention for page P-locks              
DSNDQPAC,QPACAWTQ             ,OTHR,Accumulated wait time due to global contention for other P-locks             
DSNDQPAC,QPACARNK             ,OTHR,Number of wait trace events processed for waits  for global contention for child L-locks                            
DSNDQPAC,QPACARNM             ,OTHR,Number of wait trace events processed for waits  for global contention for other L-locks                            
DSNDQPAC,QPACARNN             ,OTHR,Number of wait trace events processed for waits  for global contention for pageset/partition P-locks                
DSNDQPAC,QPACARNO             ,OTHR,Number of wait trace events processed for waits  for global contention for page P-locks                             
DSNDQPAC,QPACARNQ             ,OTHR,Number of wait trace events processed for waits  for global contention for other P-locks                            
DSNDQPAC,QPACSWITCH           ,OTHR,Number of times package was invoked from a different package. For the first package run by an application  the initial call counts as a package switch. If this package called a nested package(i.e. a trigger/UDF/stored procedure) a switch will NOT be counted upon return from such a package.  
DSNDQPAC,QPACCLS7_zIIP        ,OTHR,Total CPU time for all executions of this package consumed on an IBM specialty engine          
DSNDQPAC,QPACALBC             ,OTHR,Number of wait trace events processed for waits  for TCP/IP LOB or XML materialization while executing this package                                  
DSNDQPAC,QPACALBW             ,OTHR,Accumulated wait time for TCP/IP LOB or XML materialization while executing this package                             
DSNDQPAC,QPACAWLH             ,OTHR,Accumulated latch elapsed wait time for latch suspensions that occurred while executing this package                   
DSNDQPAC,QPACANLH             ,OTHR,Number of wait trace events processed for waits  on latches while executing this package                             
DSNDQPAC,QPACRLNU             ,OTHR,Number of threads to roll data into this QPAC data section. Non-rollup QPACs will have a value of 1 and rollup QPACs will have a value of 1 or more.               
DSNDQPAC,QPACAACC             ,OTHR,Number of wait trace event processed for requests to an accelerator while executing this package                   
DSNDQPAC,QPACAACW             ,OTHR,Accumulated wait time for requests to an accelerator while executing this package 
DSNDQPAC,QPAC_PQS_WAIT        ,OTHR,Accumulated time waiting for parallel query processing to synchronize between parent and child tasks  
DSNDQPAC,QPAC_PQS_COUNT       ,OTHR,Number of times a parallel query processing suspended waiting for parent/child to synchronize   
DSNDQPAC,QPAC_PIPE_WAIT       ,OTHR,Accumulated wait time for a pipe while executing this package  
DSNDQPAC,QPAC_PIPE_COUNT      ,OTHR,Number of wait trace events processed for waits for a pipe while executing this package   
DSNDQPAC,QPAC_COPYID          ,OTHR,Package copy ID    
DSNDQSST,QSSTABND             ,OTHR,Abends due to local storage shortage
DSNDQSST,QSSTCONF             ,SG31,Contracted segments in 31-bit fixed pools
DSNDQSST,QSSTCONT             ,OTHR,Full system contractions
DSNDQSST,QSSTCONV             ,SG31,Contracted segments in 31-bit variable pools
DSNDQSST,QSSTCRIT             ,OTHR,Critical storage shortage after contraction
DSNDQSST,QSSTEXPF             ,OTHR,Extensions getmained in fixed pools
DSNDQSST,QSSTEXPV             ,SG31,Extensions getmained in 31-bit variable pools
DSNDQSST,QSSTFPLF             ,OTHR,Free fixed pool
DSNDQSST,QSSTFPLV             ,OTHR,Free variable pool
DSNDQSST,QSSTFREF             ,SG31,Freemained segments in 31-bit fixed pools
DSNDQSST,QSSTFREM             ,SG31,31-bit freemain request
DSNDQSST,QSSTFREV             ,SG31,Freemained segments in 31-bit variable pools
DSNDQSST,QSSTGETM             ,SG31,31-bit getmain request
DSNDQSST,QSSTGPLF             ,OTHR,Get fixed pool	
DSNDQSST,QSSTGPLV             ,OTHR,Get variable pool
DSNDQSST,QSSTRCNZ             ,SG31,Conditional 31-bit get request failure due to local storage shortage
DSNDQSST,QSSTSGETM            ,SG31,31-bit stack request required a GETMAIN
DSNDQSST,QSSTSGETR            ,SG31,Number of out of line 31-bit stack get requests
DSNDQSST,QSSTSGETEXT          ,SG31,31-bit stack request satisfied via an available extension
DSNDQSST,QSSTSFREEM           ,SG31,31-bit free request required a FREEMAIN
DSNDQSST,QSSTSFREER           ,SG31,Number of out of line 31-bit stack free requests
DSNDQSST,QSSTD64POST          ,SG64,Number of out of line 64-bit stack deallocation requests
DSNDQSST,QSSTA64POST          ,SG64,Number of out of line 64-bit stack allocation requests
DSNDQSST,QSSTA64WAIT          ,SG64,Number of out of line 64-bit stack allocation requests that resulted in a wait
DSNDQSST,QSSTM64DISNUM        ,SG64,Number of 64-bit stack segment that required a discard
DSNDQSST,QSSTM64DISPGS        ,SG64,Number of 64-bit stack pages discarded
DSNDQSST,QSSTSGETR64          ,SG64,Number of out of line 64-bit stack get requests
DSNDQSST,QSSTSGETEXT64        ,SG64,64-bit stack request satisfied via an available extension
DSNDQSST,QSSTSGETDEXT64       ,SG64,64-bit stack request required an extension deallocation
DSNDQSST,QSSTSFREER64         ,SG64,Number of out of line 64-bit stack free requests
DSNDQSST,QSSTSFREEDEXT64      ,SG64,64-bit stack free required an extension deallocation
DSNDQSST,QSSTDISCARDMODE64    ,SG64,Real frame discard mode
DSNDQSST,QSSTRSMAXWARN        ,OTHR,Number of times REALSTORAGE_MAX warning level was reached
DSNDQSST,QSSTP64DISNUM        ,SG64,Number of 64-bit pools contracted
DSNDQSST,QSSTP64DISBLK        ,SG64,Number of 64-bit pool blocks that required a discard
DSNDQSST,QSSTP64DISPGS        ,SG64,Number of 64-bit pool pages discarded
