source,metric_name,type,description
DSNDQ9ST,Q9STCTRA             ,OTHR,-STOP SUBSYSTEM   
DSNDQ9ST,Q9STCTRB             ,OTHR,-TERM UTILITY   
DSNDQ9ST,Q9STCTRC             ,OTHR,-DIS TRACE   
DSNDQ9ST,Q9STCTRD             ,OTHR,-RESET GENERICLU   
DSNDQ9ST,Q9STEROR             ,OTHR,UNRECOGNIZED COMMAND   
DSNDQ9ST,Q9STCTRE             ,OTHR,-START RLIMIT   
DSNDQ9ST,Q9STCTRF             ,OTHR,-STOP RLIMIT   
DSNDQ9ST,Q9STCTRG             ,OTHR,-DISPLAY RLIMIT   
DSNDQ9ST,Q9STCTRH             ,OTHR,-MODIFY TRACE   
DSNDQ9ST,Q9STCTRI             ,OTHR,-START DDF   
DSNDQ9ST,Q9STCTRJ             ,OTHR,-STOP DDF   
DSNDQ9ST,Q9STCTRK             ,OTHR,-CANCEL(DDF)THREAD   
DSNDQ9ST,Q9STCTRL             ,OTHR,-DISPLAY LOCATION   
DSNDQ9ST,Q9STCTRM             ,OTHR,-ARCHIVE LOG   
DSNDQ9ST,Q9STCTRN             ,OTHR,-ALTER BUFFERPOOL   
DSNDQ9ST,Q9STCTRO             ,OTHR,-DISPLAY BUFFERPOOL   
DSNDQ9ST,Q9STCTRP             ,OTHR,-SET ARCHIVE   
DSNDQ9ST,Q9STCTRQ             ,OTHR,-DISPLAY ARCHIVE   
DSNDQ9ST,Q9STCTRR             ,OTHR,-RESET INDOUBT   
DSNDQ9ST,Q9STCTRS             ,OTHR,-ALTER GBPOOL   
DSNDQ9ST,Q9STCTRT             ,OTHR,-DISPLAY GBPOOL   
DSNDQ9ST,Q9STCTRU             ,OTHR,-DISPLAY PROCEDURE   
DSNDQ9ST,Q9STCTRV             ,OTHR,-START PROCEDURE   
DSNDQ9ST,Q9STCTRW             ,OTHR,-STOP PROCEDURE   
DSNDQ9ST,Q9STCTRX             ,OTHR,-DIS GROUP   
DSNDQ9ST,Q9STCTRY             ,OTHR,-ALTER UTILITY   
DSNDQ9ST,Q9STCTRZ             ,OTHR,-DISPLAY FUNCTION   
DSNDQ9ST,Q9STCTX0             ,OTHR,-START FUNCTION   
DSNDQ9ST,Q9STCTX1             ,OTHR,-STOP FUNCTION   
DSNDQ9ST,Q9STCTX2             ,OTHR,-SET LOG   
DSNDQ9ST,Q9STCTX3             ,OTHR,-DISPLAY LOG   
DSNDQ9ST,Q9STCTX4             ,OTHR,-SET SYSPARM   
DSNDQ9ST,Q9STCTX5             ,OTHR,-DISPLAY DDF   
DSNDQ9ST,Q9STCTAD             ,OTHR,-ACCESS DATABASE   
DSNDQ9ST,Q9STCTSS             ,OTHR,-START PROFILE   
DSNDQ9ST,Q9STCTST             ,OTHR,-STOP PROFILE   
DSNDQ9ST,Q9STCTSD             ,OTHR,-DISPLAY PROFILE   
DSNDQ9ST,Q9STCTDA             ,OTHR,-DISPLAY ACCEL   
DSNDQ9ST,Q9STCTSA             ,OTHR,-START ACCEL   
DSNDQ9ST,Q9STCTXA             ,OTHR,-STOP ACCEL
DSNDQBAC,QBACGET              ,OTHR,Number of GET PAGE requests issued. This includes conditional and non-conditional successful and unsuccessful requests
DSNDQBAC,QBACSWS              ,OTHR,Number of SETW issued for System pages
DSNDQBAC,QBACRIO              ,OTHR,Number of synchronous READ I/O
DSNDQBAC,QBACSEQ              ,OTHR,Number of Sequestial Prefetch requested
DSNDQBAC,QBACIMW              ,OTHR,Number of Immediate(Synchronous) WRITE I/O
DSNDQBAC,QBACLPF              ,OTHR,Number of List Prefetch requested
DSNDQBAC,QBACDPF              ,OTHR,Number of Dynamic Prefetch requested
DSNDQBAC,QBACNGT              ,OTHR,Number of unsuccessful GET PAGE operations due to conditional GET PAGE requests
DSNDQBAC,QBACSIO              ,OTHR,Number of Asynchronous pages read by Prefetch under the control of the agent
DSNDQBGA,QBGAGG               ,OTHR,GetPages for GBP Dependent pages 
DSNDQBGA,QBGAXD               ,OTHR,Number of of SES-reads necessary due to buffer cross invalidation (XI) in which data was returned 
DSNDQBGA,QBGAXR               ,OTHR,Number of of SES-reads necessary due to buffer XI in which data was not returned from SES and directory entry assignment was not suppressed (the directory entry previously existed or was constructed as a result of this SES-read request).  A DB2 optimization will request suppression of the directory entry assignment when no other DB2 in the group has R/W interest in the pageset/partition           
DSNDQBGA,QBGAEX               ,OTHR,Number of of explicit XI's 
DSNDQBGA,QBGAMD               ,OTHR,Number of of SES-reads necessary due to the requested page not being found in the buffer pool in which data was returned from SES. 
DSNDQBGA,QBGAMR               ,OTHR,Number of of SES-reads necessary due to the requested page not being found in the buffer pool in which data was not returned and directory entry assignment was not suppressed (see QBGAXR for an explanation of directory entry suppression). 
DSNDQBGA,QBGAMN               ,OTHR,Number of of pages read from GBP due to prefetch under the control of the agent 
DSNDQBGA,QBGASW               ,OTHR,Number of of changed pages written to the GBP via Write and Register (WAR) or Write and Register Multiple (WARM) 
DSNDQBGA,QBGAWC               ,OTHR,Number of of clean pages written to the GBP  
DSNDQBGA,QBGADG               ,OTHR,Number of of "unregister page" requests 
DSNDQBGA,QBGAWM               ,OTHR,Number of of Write and Register Multiple (WARM) requests 
DSNDQBGA,QBGA2S               ,OTHR,Number of completion checks for writes to the secondary GBP that were suspended beause the write had not yet completed. 
DSNDQBGA,QBGAHS               ,OTHR,Number of Asynch IXLCACHE for P GBP   
DSNDQBGA,QBGA2H               ,OTHR,Number of Asynch IXLCACHE for S GBP   
DSNDQBGA,QBGAP1               ,OTHR,Number of page P-lock lock requests for space map pages 
DSNDQBGA,QBGAP2               ,OTHR,Number of page P-lock lock requests for data pages 
DSNDQBGA,QBGAP3               ,OTHR,Number of page P-lock lock requests for index leaf pages 
DSNDQBGA,QBGAU1               ,OTHR,Number of page P-lock unlock requests  
DSNDQBGA,QBGAS1               ,OTHR,Number of page P-lock lock suspensions for space map pages 
DSNDQBGA,QBGAS2               ,OTHR,Number of page P-lock lock suspensions for data pages 
