TrxResult,Definition
Denied_Browser_RegistrionMethod_AcceptDeny_LoginRequest,Push/Accept Denied
Incorrect_Browser_RegistrationMethod_KBA,Invalid KBA
Incorrect_Browser_RegistrationMethod_OTP,Invalid OTP
Incorrect_Browser_RegistrationMethod_PIN,Invalid PIN
Incorrect_Cookie_Check_Password,Invalid Password
Incorrect_Disabled_Account,Disabled Account
Incorrect_FingerPrint_Check_Password,Invalid Password
Incorrect_Group,Failed Group Filter
incorrect_kba_answers,Invalid KBA
Incorrect_Kiosk_Check_Password,Invalid Password
Incorrect_Locked_Account,The Account is Locked
incorrect_pin,Invalid PIN
Incorrect_Profile_DataErr,Unable to retreive user data
Incorrect_Standard_Check_Password,Invalid Password
Incorrect_User,Invalid User ID
Incorrect_UserPassword,Invalid User ID or Password
Incorrect_X509_Check_Password,Invalid Password
SecurityViolation,Adaptive Auth Hard Stop
SECURITYVIOLATION_EXCEEDEDMAXCHANGEPASSWORDATTEMPTS,Exceeded Max Attempts Changing Password
SECURITYVIOLATION_EXCEEDEDMAXKBAATTEMPTS,Exceeded Max Attempts Entering KB Answers
SecurityViolation_ExceededMaxOTPAttempts,Exceeded Max Attempts Entering OTP
SECURITYVIOLATION_EXCEEDEDMAXOTPATTEMPTS,Exceeded Max Attempts Entering OTP
SecurityViolation_ExceededMaxPasswordAttempts,Exceeded Max Password Attempts
SECURITYVIOLATION_EXCEEDEDMAXPINATTEMPTS,Exceeded Max Attempts Entering PIN
SecurityViolation_ExceededMaxUserAttempts,Exceeded Max User ID Attempts
SecurityViolation_ExceededMaxUserPasswordAttempts,Exceeded Max User ID or Password Attempts
SECURITYVIOLATION_X509,Certificate Issuance Error
SecurityViolation_X509,Certificate issuance error
SECURITYVIOLATION_X509_CONTINUE,Certificate Error
The current windowsIdentity is different from logon user Id,User ID Changed Since Last Logon
Incorrect_ZombieCookie_Check_Password,Invalid Password
