ID No.,IdP Component
1xxxx,Web Admin Page UI:
11xxx,Workflow
12xxx,Data
13xxx,RegCode
14xxx,IPsec
15xxx,Access
16xxx,Password
17xxx,License
18xxx,Postauth
19xxx,Other
2xxxx,State Process
3xxxx,Pre Auth
4xxxx,Post Auth
5xxxx,Provider:
51xxx,Membership Provider
52xxx,Profile Provider
53xxx,OTP Provider
54xxx,Certificate Issuer
55xxx,Link-to-Accept Provider
60000,API Layer: Filter
60xxx,DfpController
9xxxx,System
