serviceTree,EVENT_TYPE
ABAP,SM04
ABAP,SM21_LOG
ABAP,SM37
ABAP,ST22
ABAP,STMS
ABAP,BSP_LOG
ABAP,DEVACCESS
ABAP,ROLE_AUTH
ABAP,SU01
ABAP,RSUSR003
ABAP,RSUSR200
ABAP,RZ10
ABAP,SM20
ABAP,SNOTE
ABAP,ST01_STATE
ABAP,STRUST
ABAP,SUIM
ABAP,SM51
ABAP,SCC4
ABAP,SE06
ABAP,SM59_RFCDES
ABAP,SM12
ABAP,SM12_STATS
ABAP,SM13_STATE
ABAP,SM51_STATE
ABAP,ASE_DBCC_CCSTAT
ABAP,ASE_DBCC_DBSIZE
ABAP,ASE_DBCC_DEVCIO
ABAP,ASE_DBCC_LKWAIT
ABAP,ASE_DBCC_PROCES
ABAP,ASE_DBCC_RESOUR
ABAP,ASE_DBCC_SYSACT
ABAP,DB6_DB02_DBPF
ABAP,DB6_DB02_LOCKS
ABAP,DB6_DB02_OVVW
ABAP,DB6_DB02_STMT
ABAP,DB6_DB02_TRLOG
ABAP,HDB_DBCC_ACTSTM
ABAP,HDB_DBCC_ALERT
ABAP,HDB_DBCC_BTRAN
ABAP,HDB_DBCC_CONLST
ABAP,HDB_DBCC_EXPSTM
ABAP,HDB_DB02_OVVW
ABAP,HDBSCRIPTS
ABAP,HDB_DBCC_SRVCS
ABAP,HDB_DBCC_THREAD
ABAP,HDB_DBCC_AULOG
ABAP,MSS_DB02_DDLK
ABAP,MSS_DB02_DDLKXE
ABAP,MSS_DB02_IOPF
ABAP,MSS_DB02_OVVW
ABAP,MSS_DB02_PERF
ABAP,MSS_DB02_STMT
ABAP,ORA_DB02_BFFR
ABAP,ORA_DB02_CACH
ABAP,ORA_DB02_SMTR
ABAP,ORA_DB02_TSOV
ABAP,ORA_DB02_FILE
ABAP,ORA_DB02_SESS
ABAP,SM13
ABAP,SM58
ABAP,SM59
ABAP,SMQ2
ABAP,CCMS
ABAP,ST03_TIME_AGG
ABAP,SMGW
ABAP,SMQ1
ABAP,WE02
ABAP,LOGS
ABAP,ST06
ABAP,ST06_SN_DISK
ABAP,SM51_QUEUE
ABAP,SMICM
ABAP,NRIV
ABAP,SM51_CBLCK
ABAP,ST02_MEM
ABAP,ST06_FSYS
CLOUD,cpi_message
JAVA,component
JAVA,jmx
JAVA,portal_activity
JAVA,channel_status
JAVA,pi_message
JAVA,web_session
JAVA,process
JAVA,application_trace_log
JAVA,default_trace_log
JAVA,disk
JAVA,network
