EventID,"orig_description"
1044,"Specified media not found"
1045,"Specified scan item is invalid"
1046,"File I/O errors"
1047,"Disk I/O errors"
1048,"Scan reports general system error"
1049,"Scan reported an internal application error"
1050,"Unable to repair password protected"
1051,"Unable to scan password protected"
1052,"Infected Binder Object"
1053,"Infected file found"
1054,"Infected file deleted"
1055,"Unable to delete infected file"
1056,"File moved to quarantine"
1057,"Unable to move infected file to quarantine"
1059,"Scan Timed Out"
1060,"Boot sector virus was cleaned"
1061,"Error while cleaning boot sector virus"
1062,"Error sending alert"
1063,"Invalid options specified"
1064,"Service was started"
1065,"Service ended"
1066,"Task started OK"
1067,"Unable to start scheduled task"
1068,"Scheduled task was stopped"
1069,"Error stopping scheduled task"
1070,"Task was successful"
1071,"Task was cancelled"
1076,"Error logging information"
1077,"Memory allocation error"
1086,"Scan Process Error"
1087,"On-access Scan started"
1088,"On-access scan stopped"
1089,"Scan Settings"
1090,"OAS stopped"
1091,"JavaScript security violation detected and blocked"
1092,"Access Protection rule violation detected and blocked"
1093,"Buffer Overflow detected; Blocked successfully"
1094,"Port blocking rule violation detected"
1095,"Access Protection rule violation detected and NOT blocked"
1099,"Buffer Overflow detected and NOT blocked"
1100,"Macro Detected in file"
1101,"Macro Deleted from file"
1118,"The update was successful"
1119,"The update failed; see event log"
1120,"The update is running"
1121,"The update was cancelled"
1122,"The upgrade is running"
1123,"The upgrade failed; see event log"
1124,"The upgrade was cancelled"
1125,"The DAT version was not new enough"
1126,"Scan was cancelled by AutoUpdate of DAT files"
1127,"OAS Scanning Engine Disabled"
1128,"Scan time exceeded"
1129,"Scan shut down by Windows"
1200,"Process started"
1201,"Process Ended"
1202,"On-demand scan started"
1203,"On Demand scan complete"
1204,"Report OS & Serial"
1270,"File infected. No cleaner available, quarantined successfully"
1271,"File infected. No cleaner available, heuristic detection, quarantined successfully"
1272,"File infected. Undetermined clean error, quarantined successfully"
1273,"File infected. Clean error, Encrypted file, quarantined successfully"
1274,"File infected. No cleaner available, quarantine failed"
1275,"File infected. No cleaner available, heuristic detection, quarantine failed"
1276,"File infected. Undetermined clean error, quarantine failed"
1277,"File infected. Clean error, Encrypted file, quarantine failed"
1278,"File infected. No cleaner available, file deleted successfully"
1279,"File infected. No cleaner available, heuristic detection, deleted successfully"
1280,"File infected. Undetermined clean error, deleted successfully"
1281,"File infected. Clean error, Encrypted file, deleted successfully"
1282,"File infected. No cleaner available, delete failed"
1283,"File infected. Clean error, heuristic detection, delete failed"
1284,"File infected. Undetermined clean error, delete failed"
1285,"File infected. Clean error, Encrypted file, delete failed"
1286,"File infected. No cleaner available, continued scanning (ODS)"
1287,"File infected. Clean error, heuristic detection, continued scanning (ODS)"
1288,"File infected. Undetermined clean error, continued scanning (ODS)"
1289,"File infected. Clean error, Encrypted file, continued scanning (ODS)"
1290,"File infected. No cleaner available, OAS denied access and continued"
1291,"File infected. Clean error, heuristic detection, OAS denied access and continued"
1292,"File infected. Undetermined clean error, OAS denied access and continued"
1293,"File infected. Quarantine failed, deleted successfully"
1294,"File infected. Quarantine failed, delete failed"
1295,"File infected. Move failed, continued scanning (ODS)"
1296,"File infected. Move failed, denied access and continued (OAS)"
1297,"File infected. Delete failed, quarantined"
1298,"File infected. Delete failed, quarantine failed"
1299,"File infected. Delete failed, continued scanning (ODS)"
1300,"File infected. Delete failed, denied access and continued (OAS)"
1500,"Infected email cleaned"
1501,"Infected email quarantined"
1502,"Unable to clean infected mail"
1503,"Infected email detected"
1504,"Infected mail item deleted"
1505,"Email content filtered"
1506,"Email content blocked"
1507,"Inbound email suspend for low disk"
1508,"Inbound Mail Resumed"
1509,"Startup request successfully processed"
1510,"Shutdown request successfully processed"
1511,"low - abnormal termination!"
1512,"A maximum load condition is occurring!"
1513,"Mail virus quarantined and cleaned"
1514,"Mail virus quarantined (not cleaned)"
1515,"Infected email has had virus replaced"
1800,"Security for Domino: Task started successfully"
1801,"Security for Domino: Error starting task"
1802,"Security for Domino: Task has completed"
1803,"Security for Domino: Error while stopping task"
1804,"Security for Domino: File virus found and cleaned"
1805,"Security for Domino: Infected file successfully quarantined"
1806,"Security for Domino: Infected file deleted"
1807,"Security for Domino Infected file ignored"
1808,"Security for Domino Quarantined a Lotus Script Exception"
1809,"Security for Domino Lotus Script Exception found and ignored"
1810,"Security for Domino Quarantined a Formula Exception"
1811,"Security for Domino Formula Exception found and ignored"
1812,"Security for Domino Quarantined a Content Exception"
1813,"Security for Domino Content Exception found and ignored"
1814,"Security for Domino Unable to read configuration database"
1815,"Security for Domino Unable to write to configuration database"
1816,"Security for Domino AutoGO update unable to restart task"
1817,"Security for Domino AutoGO update failed"
1818,"Security for Domino: Attachments Blocked"
1850,"Security for Domino - Packer detected"
1851,"Security for Domino - Phish detection"
1852,"Security for Domino - Scanner control filtering"
1853,"Security for Domino - Signed mail (digital signature)"
1854,"Security for Domino - Encrypted content is found in the mail"
1855,"Security for Domino - Content is found to be corrupted"
1856,"Security for Domino - DOS attack - Multiple Nesting Level, Max Expanded File Size & Max Scan Time"
1857,"Security for Domino - A password set on an attachment"
1858,"Security for Domino - The attachment is an archive or zip file that is password protected"
1859,"Security for Domino - There is partial mime content or some external content"
1860,"Security for Domino - Statistical event"
1900,"New MIB File Available"
2000,"Infected file found"
2001,"Infected file successfully cleaned"
2002,"Unable to clean infected file"
2003,"Infected file deleted"
2004,"Unable to delete infected file"
2005,"File to be excluded from scans"
2006,"Unable to exclude item from scans"
2007,"Infected file access denied"
2008,"Infected file was moved to quarantine area"
2009,"Unable to move infected file to quarantine"
2010,"Centralized Alerting - Infected file found"
2011,"Centralized Alerting - Infected file successfully cleaned"
2012,"Centralized Alerting - Unable to clean infected file"
2013,"Centralized Alerting - Infected file deleted"
2014,"Centralized Alerting - Unable to delete infected file"
2015,"Centralized Alerting - File to be excluded from scans"
2016,"Centralized Alerting - Unable to exclude item from scans"
2017,"Centralized Alerting -"
2018,"Centralized Alerting - Infected file was moved to quarantine area"
2019,"Centralized Alerting - Unable to move infected file to quarantine"
2020,"Boot record infection found"
2021,"Boot record infection cleaned"
2022,"Boot record infection clean error"
2023,"New File Virus Found"
2024,"New File Virus Found And Deleted"
2025,"New File Virus Found But Move Failed"
2026,"New File Virus Found And Moved"
2027,"New File Virus Found But Move Failed"
2028,"MBR Virus Found"
2100,"Outbreak Rule Name"
2201,"ePolicy Orchestrator Agent: Failed to install software package"
2202,"ePolicy Orchestrator Agent: Install retry limit reached for software package"
2204,"ePolicy Orchestrator Agent: Insufficient disk space to install software"
2208,"ePolicy Orchestrator Agent: Insufficient disk space to download software"
2216,"ePolicy Orchestrator Agent: Cannot install software due to OS version mismatch"
2232,"ePolicy Orchestrator Agent: Enforce Policy Failed"
2264,"ePolicy Orchestrator Agent: Property Collection Failed"
2328,"ePolicy Orchestrator Agent: Enforce Task Failed"
2401,"Update Successful"
2402,"Update Failed"
2411,"Deployment Successful"
2412,"Deployment Failed"
2413,"Attempt to uninstall ePolicy Orchestrator Agent"
3000,"Scan task completed. No viruses found"
3001,"Task was cancelled"
3002,"Virus found in Memory"
3003,"Infected boot record found"
3004,"Task found infected files"
3005,"Task found and cleaned infected files"
3006,"Task error while accessing activity log file"
3007,"Task reports memory allocation error"
3008,"Directory length access error"
3009,"Media is write protected"
3010,"Specified media not found"
3011,"Specified scan item is invalid"
3012,"File I/O errors"
3013,"Disk I/O errors"
3014,"Task reports general system error"
3015,"Task reported an internal application error"
3016,"Error opening Service Manager"
3017,"Error starting drivers"
3018,"Error occurred starting log subsystem"
3019,"Error obtaining device driver versions"
3020,"Invalid virus signature files"
3021,"Scan engine error"
3022,"Initialization error with scan buffer"
3023,"Memory allocation error"
3024,"Unknown error reported"
3025,"Error sending new options to device driver"
3026,"Error sending exclude information to the driver"
3027,"Error sending move to folder to the driver"
3028,"Error obtaining log data from device driver"
3029,"Error occurred while enabling driver"
3030,"Error occurred while disabling driver"
3031,"Error while obtaining statistical data from driver"
3032,"Error while trying to open/create activity log file"
3033,"Activity log file maximum size reached"
3034,"Unable to write the activity log file"
3035,"Error launching a program upon virus infection"
3036,"Error during initialization of the activity log file"
3037,"Memory grant unavailable"
3038,"Error writing to log"
3039,"Centralized Alerting - Scan completed. No viruses found"
3040,"Centralized Alerting - Scan was cancelled"
3041,"Centralized Alerting - Virus found in Memory"
3042,"Centralized Alerting - Infected boot record found"
3043,"Centralized Alerting - Scan found infected files"
3044,"Centralized Alerting - Scan found and cleaned infected files"
3045,"Centralized Alerting - Error while accessing activity log file"
3046,"Centralized Alerting - Scan reports memory allocation error"
3047,"Centralized Alerting - Directory length access error"
3048,"Centralized Alerting - Media is write protected"
3049,"Centralized Alerting - Specified media not found"
3050,"Centralized Alerting - Specified scan item is invalid"
3051,"Centralized Alerting - File I/O errors"
