code,description,"call_connected","call_answerable","call_answered","call_failed"
0,"No error",1,1,1,0
1,"Unallocated (unassigned) number",0,0,0,0
2,"No route to specified transit network (national use)",0,0,0,1
3,"No route to destination",0,0,0,1
4,"Send special information tone",0,0,0,1
5,"Misdialed trunk prefix (national use)",0,0,0,1
6,"Channel unacceptable",0,0,0,1
7,"Call awarded and being delivered in an established channel",1,1,1,0
8,Preemption,0,0,0,1
9,"Preemption - circuit reserved for reuse",0,0,0,1
16,"Normal call clearing",1,1,1,0
17,"User busy",0,1,0,0
18,"No user responding",0,1,0,1
19,"No answer from user (user alerted)",0,1,0,1
20,"Subscriber absent",0,0,0,1
21,"Call rejected",0,0,0,1
22,"Number changed",0,0,0,1
25,"Natural Exchange Routing Error",0,0,0,1
26,"Nonselected user clearing",0,0,0,1
27,"Destination out of order",0,0,0,1
28,"Invalid number format (address incomplete)",0,0,0,1
29,"Facility rejected",0,0,0,1
30,"Response to STATUS ENQUIRY",1,0,0,0
31,"Normal, unspecified",1,1,1,0
34,"No circuit/channel available",0,0,0,1
38,"Network out of order",0,0,0,1
39,"Permanent frame mode connection out of service",0,0,0,1
40,"Permanent frame mode connection operational",1,0,0,0
41,"Temporary failure",0,0,0,1
42,"Switching equipment congestion",0,0,0,1
43,"Access information discarded",0,0,0,1
44,"Requested circuit/channel not available",0,0,0,1
46,"Precedence call blocked",0,0,0,1
47,"Resource unavailable, unspecified",0,0,0,1
49,"Quality of Service not available",0,0,0,1
50,"Requested facility not subscribed",0,0,0,1
53,"Service operation violated",0,0,0,1
54,"Incoming calls barred",0,0,0,1
55,"Incoming calls barred within Closed User Group (CUG)",0,0,0,1
57,"Bearer capability not authorized",0,0,0,1
58,"Bearer capability not presently available",0,0,0,1
62,"Inconsistency in designated outgoing access information and subscriber class",0,0,0,1
63,"Service or option not available, unspecified",0,0,0,1
65,"Bearer capability not implemented",0,0,0,1
66,"Channel type not implemented",0,0,0,1
69,"Requested facility not implemented",0,0,0,1
70,"Only restricted digital information bearer capability available (national use)",0,0,0,1
79,"Service or option not implemented, unspecified",0,0,0,1
81,"Invalid call reference value",0,0,0,1
82,"Identified channel does not exist.",0,0,0,1
83,"A suspended call exists, but this call identity does not.",0,0,0,1
84,"Call identity in use",0,0,0,1
85,"No call suspended",0,0,0,1
86,"Call having the requested call identity has been cleared.",0,0,0,1
87,"User not member of (CUG)",0,0,0,1
88,"Incompatible destination",0,0,0,1
90,"Destination number missing and DC not subscribed",0,0,0,1
91,"Invalid transit network selection (national use)",0,0,0,1
95,"Invalid message, unspecified",0,0,0,1
96,"Mandatory information element is missing.",0,0,0,1
97,"Message type nonexistent or not implemented",0,0,0,1
98,"Message not compatible with call state, or the message type nonexistent or not implemented",0,0,0,1
99,"An information element or parameter non-existent or not implemented",0,0,0,1
100,"Invalid information element contents",0,0,0,1
101,"Message not compatible with the call state",0,0,0,1
102,"Call terminated when timer expired; a recovery routine executed to recover from the error.",0,0,0,1
103,"Parameter nonexistent or not implemented - passed on (national use)",0,0,0,1
110,"Message with unrecognized parameter discarded",0,0,0,1
111,"Protocol error, unspecified",0,0,0,1
122,"Precedence Level Exceeded",0,0,0,1
123,"Device Not Preemptable",0,0,0,1
125,"Out of Bandwidth",0,0,0,1
126,"Call Split (Cisco specific)",1,1,1,0
127,"Interworking, unspecified",0,0,0,1
129,"Precedence out of bandwidth",0,0,0,1
130,"Natural Isolated Code",0,0,0,1
131,"Call Control Discovery PSTN Failover (Cisco specific)",0,0,0,1
132,"IME QOS Fallback (Cisco specific)",0,0,0,1
133,"PSTN Fallback locate Call Error (Cisco specific)",0,0,0,1
134,"PSTN Fallback wait for DTMF Timeout (Cisco specific)",0,0,0,1
135,"IME Failed Connection Timed out (Cisco specific)",0,0,0,1
136,"IME Failed not enrolled (Cisco specific)",0,0,0,1
137,"IME Failed socket error (Cisco specific)",0,0,0,1
138,"IME Failed domain blacklisted (Cisco specific)",0,0,0,1
139,"IME Failed prefix blacklisted (Cisco specific)",0,0,0,1
140,"IME Failed expired ticket (Cisco specific)",0,0,0,1
141,"IME Failed remote no matching route (Cisco specific)",0,0,0,1
142,"IME Failed remote unregistered (Cisco specific)",0,0,0,1
143,"IME Failed remote IME disabled (Cisco specific)",0,0,0,1
144,"IME Failed remote invalid IME trunk URI (Cisco specific)",0,0,0,1
145,"IME Failed remote URI not E164 (Cisco specific)",0,0,0,1
146,"IME Failed remote called number not available (Cisco specific)",0,0,0,1
