code,description
0,Unknown
1,CctiLine
2,Unicast Shared Resource Provider
3,Call Park
4,Conference
5,Call Forward
6,Meet-Me Conference
7,Meet-Me Conference Intercepts
8,Message Waiting
9,Multicast Shared Resource Provider
10,Transfer
11,SSAPI Manager
12,Device
13,Call Control
14,Immediate Divert
15,Barge
16,Pickup
17,Refer
18,Replaces
19,Redirection
20,Callback
21,Path Replacement
22,FacCmc Manager
23,Malicious Call
24,Mobility
25,Aar
26,Directed Call Park
27,Recording
28,Monitoring
29,CCDRequestingService
30,Intercompany Media Engine
31,FallBack Manager
32,Presence Enabled Routing
33,AgentGreeting
34,NativeCallQueuing
35,MobileCallType
