field,description,type,report
origCause_value destCause_value,calls that failed due to lack of bandwidth,report,calls?mode=chart&charting.chart=line&charting.chart.nullValueMode=gaps&charting.chart.showMarkers=true&searchterms=(%20origCause_value%3D125%20OR%20destCause_value%3D125%20)&stat=dc&xField=_time&yField=call_id&latest=now&earliest=-24h%40h
MLQK origSite destSite,"5th percentile of internal call MOS scores for all combinations of sites, last 24 hours",report,calls?mode=chart&zField=destSite&xField=origSite&searchterms=MLQK>0&stat=perc5&number=&yField=MLQK&earliest=-24h%40h&latest=now&autoRun=True&type=internal&selectedTab=Table
MLQK,"min MLQK over time, last 24 hours",report,calls?mode=chart&charting.chart=line&yField=MLQK&searchterms=MLQK>0 &stat=min&charting.chart.nullValueMode=gaps&latest=now&earliest=-24h%40h&autoRun=True
MLQK,"number of calls falling into bucketed MLQK ranges, last 24 hours",report,calls?mode=chart&sortBy=MLQK  &xField=MLQK&charting.chart=line&sortBy=MLQK&yField=call_id&searchterms=MLQK>0&number=&autoRun=True&stat=dc&charting.chart.nullValueMode=gaps&selectedTab=Table&latest=now&earliest=-24h
MLQKav,MLQKav values over time bucketed into 0.5 intervals.,report,calls?mode=chart&charting.chart=area&searchterms=MLQKav>0&number=&autoRun=True&zField=MLQKav&charting.chart.stackMode=stacked&latest=now&earliest=-24h
CCR,95th percentile of CCR over time,report,calls?mode=chart&sortBy=MLQKmx  &xField=_time&yField=CCR&autoRun=True&number=&stat=perc95&charting.chart=line&earliest=-7d@d&latest=now
CCR,95th percentile of CCR for inbound calls over time split by site in the last 24 hours,report,calls?mode=chart&type=incoming&xField=_time&yField=CCR&autoRun=True&number=&stat=perc95&charting.chart=line&earliest=-24h%40h&latest=now&zField=destSite
CS,95th percentile of CS over time split by site over the last 24 hours,report,calls?mode=chart&xField=_time&yField=CS&autoRun=True&number=&stat=perc95&charting.chart=line&earliest=-24h%40h&latest=now&zField=site
CSR_overall orig_gateway,95th percentile of computed CS ratio on inbound calls over time split by destination device type gateway,report,calls?mode=chart&type=incoming&xField=_time&yField=CSR_overall&autoRun=True&number=&stat=perc95&charting.chart=line&earliest=-24h%40h&latest=now&zField=dest_device_type
SCS,calls with most seconds of severely concealed speech,advanced,search?q=search `custom_index` `cucm_sourcetypes` [search `custom_index` sourcetype=cucm_cmr SCS>0 | fields `id_fields`] | stats max(SCS) as maxSCS last(cause_description) as cause values(*) as * by call_id | sort - maxSCS&earliest=-7d@d&latest=now&display.general.type=statistics
