name,label
all,All CDR and CMR fields
audio,Audio fields
security,Security and authorization fields
call_release_codes,Call release reason fields
codecs,Codecs
conferencing,Conferencing fields
core,Core fields
cube,CUBE fields
devices,Devices
network,Network fields
on_behalf_of_codes,OnBehalfOf codes
parties,Calling and called parties
quality,Call quality
redirection,Call redirection
location,Location fields
video,Video fields
custom,Specialty custom fields
mobility,Mobility fields
reference,Reference fields
routing,Routing fields
time,Times and durations
