code,description,bandwidth,bandwidth_low,bandwidth_high
1,NonStandard,,,
2,G711Alaw 64k,64,,
3,G711Alaw 56k,56,,
4,G711mu-law 64k,64,,
5,G711mu-law 56k,56,,
6,G722 64k,64,,
7,G722 56k,56,,
8,G722 48k,48,,
9,G7231,6.3,,
10,G728,16,,
11,G729,8,,
12,G729AnnexA,8,,
13,Is11172AudioCap,,,
14,Is13818AudioCap,,,
15,G.729AnnexB,8,,
16,G.729 Annex AwAnnexB,8,,
18,GSM Full Rate,22.8,,
19,GSM Half Rate,11.4,,
20,GSM Enhanced Full Rate,22.8,,
25,Wideband 256K,256,,
32,Data 64k,64,,
33,Data 56k,56,,
40,G7221 32K,32,,
41,G7221 24K,24,,
42,AAC,264,,
43,MP4ALATM_128,128,,
44,MP4ALATM_64,64,,
45,MP4ALATM_56,56,,
46,MP4ALATM_48,48,,
47,MP4ALATM_32,32,,
48,MP4ALATM_24,24,,
49,MP4ALATM_NA,,,
80,GSM,13,,
81,ActiveVoice,,,
82,G726_32K,32,,
83,G726_24K,24,,
84,G726_16K,16,,
86,iLBC,14.25,13.3,15.2
89,iSAC,21,10,32
90,OPUS,258,6,510
100,H261,1020,40,2000
101,H263,,,
102,Vieo,,,
103,H264,,,62500
104,H264_SVC,,,
105,T120,,,
106,H224,,,
107,T38Fax, ,,
108,TOTE,,,
109,H265,,,
110,H264_UC,,,
111,XV150_MR_711U,,,
112,NSE_VBD_711U,,,
113,XV150_MR_729A,,,
114,NSE_VBD_729A,,,
115,H264_FEC,,,
120,Clear_Chan,,,
222,Universal_Xcoder,,,
257,RFC2833_DynPayload,,,
258,PassThrough,,,
259,Dynamic_Payload_PassThru,,,
260,DTMF_OOB,,,
261,Inband_DTMF_RFC2833,,,
299,NoAudio,,,
300,v150_LC_ModemRelay,,,
301,v150_LC_SPRT,,,
302,v150_LC_SSE,,,
