template_id,template_name, template_type, template_description
257,flow-extn,dynamic,"Flow Open/Close connection data - v1"
258,table-map,static,"list of tables - v1"
259,column-map,static,"names of the columns - v1"
260,user,dynamic,"Usernames for SSO Domain users - v1"
261,application,static,"Application name to app_id - v1"
262,url,dynamic,"HTTP/HTTPS URLs - v1"
263,rating,static,"URL Ratings - V1"
264,ips,static,"Intrussion prevention Threat ID - v1"
265,gav,static,"Gateway Anti Virus Threat ID - v1"
266,anti-spyware,static,"Anti Spyware Threat ID - v1"
267,location-map,static,"Location Map - v1"
268,location,dynamic,"dynamic Location - v1"
269,log,dynamic,"Syslog via IPFix - v1"
270,if-stats,dynamic,"Interface Statistics - v1"
271,core-stats,dynamic,"Core Stats - v1"
272,voip,dynamic,"Voice over IP - v1"
273,services,static,"Services - v1"
274,spam,dynamic,"Spam detection - v1"
275,memory,dynamic,"Memory Utilization - v1"
276,devices,dynamic,"Layer 2 Devices - v1"
277,vpn,dynamic,"VPN - v1"
278,url-rating,dynamic,"URLs with Ratings - v1"
279,topapps-stat,dynamic,"Top Applications - v1"
356,"IPv6 Flow IPFix",dynamic,"IPv6 Flow Data - v1"
357,"IPv6 Flow IPFix extn",dynamic,"IPFix Flow Extn - v1"
358,"IPv6 User",dynamic,"IPv6 SSO Users - v1"
359,"IPv6 URL",dynamic, "IPv6 URL - v1"
360,"IPv6 Location",dynamic, "IPv6 Location - v1"
361,"IPv6 Spam", dynamic, "IPv6 Spam - v1"
362,"IPv6 Devices",dynamic, "IPv6 Devices - v1"
363,"IPv6 VPN Tunnels",dynamic, "IPv6 VPN Tunnels - v1"
364,"IPv6 if-stat",dynamic, "IPv6 if-stats - v1"
365,"IPv6 TopApps",dynamic, "IPv6 TopApps - v1"
456,"IPv4 Flow Open",dynamic, "IPv4 Flow Open - v2"
457,"IPv6 Flow Open",dynamic, "IPv6 Flow Open - v2"
458,"Flow close",dynamic, "IPv4/IPv6 Flow Close - v2"
459,"Threat",dynamic, "Threats - v2"
460,"VPN",dynamic, "VPN - v2"
461,"User",dynamic, "SSO Users - v2"
462,"App",dynamic, "Applications - v2"
463,"Bytes",dynamic, "Totatal data - v2"
464,"Firewall Block Rule",dynamic,"Firewall block Rule - v2"
555,"IPFix Converter",dynamic,"IPFix Converter usage - v2"
