"rating_index","rating_name"
64,"Not Rated"
63,"unused now"
62,"unused now"
61,"unused now"
60,"unused now"
59,Malware
58,"Social Networking"
57,"Internet Watch Foundation CAIC"
56,Other
55,"Web Hosting"
54,Advertisement
53,"Kid Friendly"
52,"unused now"
51,"unused now"
50,"Pay to Surf Sites"
49,"Freeware/Software Downloads"
48,Multimedia
47,"Humor/Jokes"
46,Vehicles
45,Travel
44,"Sports/Recreation"
43,"Restaurants and Dining"
42,"unused now"
41,"Society and Lifestyle"
40,"Real Estate"
39,"Internet Auctions"
38,Shopping
37,Religion
36,Reference
35,"Usenet News Groups"
34,"Personals and Dating"
33,"News and Media"
32,"Job Search"
31,"Web Communications"
30,"E-Mail"
29,"Search Engines and Portals"
28,"Hacking/Proxy Avoidance Systems"
27,"Information Technology/Computer"
26,Health
25,"Political/Advocacy Groups"
24,Military
23,Government
22,Games
21,"Online Brokerage and Trading"
20,"Online Banking"
19,"Cultural Institutions"
18,"unused now"
17,Education
16,"Abortion/Advocacy Groups"
15,"Business and Economy"
14,"Arts/Entertainment"
13,"Chat/Instant Messaging (IM)"
12,"Alcohol/Tobacco"
11,Gambling
10,"Sex Education"
9,"Illegal Skills/Questionable Ski"
8,"Drugs/Illegal Drugs"
7,"Cult/Occult"
6,"Adult/Mature Content"
5,Weapons
4,Pornography
3,Nudism
2,"Intimate Apparel/Swimsuit"
1,"Violence/Hate/Racism"
