host,"interface_number","interface_name",zone,"dvc_mac","dvc_ip",hostname
"10.197.2.254",8,X7,LAN,"02-17-C5-15-01-FB","192.168.250.1",
"10.197.2.254",1,X0,LAN,"02-17-C5-15-01-F4","10.197.2.254",
"10.197.2.254",2,X1,WAN,"02-17-C5-15-01-F5","67.115.118.48",
