"signature_id","virus_name"
1707,"MalAgent.H_70 (Trojan)"
22229,"Gamarue.A_4 (Worm)"
5637,"Tofsee.F_14 (Adware)"
17076,"Gamarue.DA (Trojan)"
28364,"CouponRuc.A_6 (Trojan)"
51405,"Banload.BOJT (Trojan)"
2497,"ZAccess.CEBE (Trojan)"
10095,"MultiPlug.FK (Adware)"
22471,"MalAgent.H_2027 (Trojan)"
27189,"Wigon.A_4 (Trojan)"
8784,"Ogimant.A_16 (Trojan)"
33244,"Skypii.A_2 (Worm)"
38414,"Malformed.nfx.CR.1 (Exploit)"
21506,"Malformed.awd.CR.1 (Exploit)"
1116,"Balamid.B (Trojan)"
35295,"MalAgent.G_1732 (Trojan)"
37173,"ICLoader.A_184 (Adware)"
10839,"Keylogger.AVV (Trojan)"
27612,"Nrgbot.CER (Trojan)"
37156,"OutBrowse.CEPO_55 (Trojan)"
22144,"Malformed.swf.MP.132 (Exploit)"
29052,"Kolab.BIMJ (Worm)"
267,"Tepfer.GQPU (Trojan)"
8589,"OnLineGames.MV_8 (Trojan)"
23916,"Simda.A_44 (Trojan)"
37195,"IRCBot.GLV (Trojan)"
1111,"VBInject.A_19 (Trojan)"
14378,"Necurs.KL (Trojan)"
16849,"InstallCore.JE_2 (Trojan)"
1649,"Zbot.KCDP (Trojan)"
1763,"Banload.AXC (Trojan)"
21417,"Pdfka.QHA (Trojan)"
25541,"LoadMoney.AER (Adware)"
34446,"Onkods.AWQ (Trojan)"
19099,"Upatre.AA_15 (Trojan)"
33096,"Malformed.html.TL.145 (Exploit)"
36276,"Malformed.vsd.TL.6 (Exploit)"
37213,"OutBrowse.BUPO_424 (Trojan)"
2513,"Tepfer.JKOB (Trojan)"
15493,"DownLoader.KN_2 (Trojan)"
17319,"Blacole.gen_3 (Exploit)"
3670,"Zbot.A_104 (Trojan)"
7203,"FKM.A_4 (Trojan)"
15911,"Banker.XJU_2 (Trojan)"
1572,"Foreign.KVPH (Trojan)"
10195,"Androm.DSWR (Trojan)"
16928,"Dorkbot.B_87 (Worm)"
51695,"Malformed.tif.MP.1 (Exploit)"
35794,"Bublik.ZUR (Trojan)"
7376,"ATRAPS.A_43 (Trojan)"
27180,"EncPk.AGS (Trojan)"
