int,zone_type
0,"WAN Zone"
1,"LAN Zone"
2,"DMZ Zone"
3,"HA Zone"
4,WLAN Zone
5,VPN Zone
6,Multicast Zone
7,Other Zone
8,SSLVPN Zone
9,Unknown Zone
