event_type_id,event_type,description,dataset_name,type,action,change_type
1107296282,Suspicious Cscript*,It triggers when Internet Explorer launches Command Shell which in turn launches Microsoft Windows Script Host (aka cscript),malware_attack,,allowed,
1090519096,Update: Reboot Required,It triggers when the new connector is installed but not running,alert,alarm,,
1090519097,Update: Reboot Advised,It triggers when the new connector is installed and running but some new driver features will not be available until the system is rebooted,alert,alarm,,
2164260922,Update: Unexpected Reboot Required,It triggers when the new connector is installed but not running for some unexpected scenario,alert,alarm,,
1107296284,Potential Ransomware,The computer may be infected with ransomware.,malware_attack,,allowed,
1107296283,Possible Webshell,The computer may have been compromised granting remote access.,malware_attack,,allowed,
1090519103,Exploit Prevention,An exploit was prevented from running,malware_attack,,blocked,
2164260931,Critical Fault Raised,A critical fault has been raised,alert,alarm,,
1090519107,Major Fault Raised,A major fault has been raised,alert,alarm,,
553648195,Minor Fault Raised,A minor fault has been raised,alert,alarm,,
553648196,Fault Cleared,A fault has been cleared,change,,cleared,record
553648197,All Faults Cleared,All faults have been cleared,change,,cleared,record
1090519105,Malicious Activity*,A malicious activity is detected,malware_attack,,deferred,
1090519102,iOS Network*,It reports the conviction of a network connection,intrusion_detection,,allowed,
553648199,Malicious Activity*,A malicious activity has been blocked,malware_attack,,blocked,
1090519112,System Process*,An access to a process or registry has been blocked,malware_attack,,blocked,
553648202,Endpoint Isolation Start Success,An agent has been isolated successfully,alert,event,,
2164260939,Endpoint Isolation Start Failure,The agent isolation has been failed,alert,alert,,
553648204,Endpoint Isolation Stop Success,An agent has stopped to be isolated,alert,alert,,
2164260941,Endpoint Isolation Stop Failure,The agent failed to stop being isolated,alert,alert,,
553648206,Endpoint Isolation Update Success,An isolated agent has been updated successfully,alert,event,,
2164260943,Endpoint Isolation Update Failure,An isolated agent update has been failed,alert,alert,,
553648208,Orbital Install Success,Orbital has been installed successfully,alert,event,,
2164260945,Orbital Install Failure,Orbital installation failed,alert,alert,,
553648210,Orbital Update Success,Orbital version has been updated successfully,alert,event,,
