"_key",action,"activity_type"
5a266ab7d17d8f7970497871,"New Immune",2
5a266ab7d17d8f7970497872,"Agent Software Update Downloaded",5
5a266ab7d17d8f7970497873,"Agent Online",7
5a266ab7d17d8f7970497874,"Agent Offline",8
5a266ab7d17d8f7970497875,"Software Update Added",16
5a266ab7d17d8f7970497876,"Agent Subscribed",17
5a266ab7d17d8f7970497877,"New Threat Mitigated",18
5a266ab7d17d8f7970497878,"New Threat Not Mitigated",19
5a266ab7d17d8f7970497879,"New Threat Preemptive Block",20
5a266ab7d17d8f797049787a,"Threat Resolved",21
5a266ab7d17d8f797049787b,"Threat Benign",22
5a266ab7d17d8f797049787c,"User Added",23
5a266ab7d17d8f797049787d,"User Modified",24
5a266ab7d17d8f797049787e,"User Deleted",25
5a266ab7d17d8f797049787f,"Management Updated",26
5a266ab7d17d8f7970497880,"activity marked as resolved by cloud",28
5a266ab7d17d8f7970497881,"threat marked as unresolved by cloud",29
5a266ab7d17d8f7970497882,"Immune Settings Modified",38
5a266ab7d17d8f7970497883,"Research Settings Modified",39
5a266ab7d17d8f7970497884,"Cloud Intelligence Settings Modified",40
5a266ab7d17d8f7970497885,"Learning Mode Settings Modified",41
5a266ab7d17d8f7970497886,"Global Two Fa Modified",42
5a266ab7d17d8f7970497887,"Agent Updated",43
5a266ab7d17d8f7970497888,"Auto Decommission On",44
5a266ab7d17d8f7970497889,"Auto Decommission Off",45
5a266ab7d17d8f797049788a,"Auto Decommission Period Modified",46
5a266ab7d17d8f797049788b,"Agent Decommissioned",47
5a266ab7d17d8f797049788c,"Agent Recommissioned",48
5a266ab7d17d8f797049788d,"Agent Requested Uninstall",49
5a266ab7d17d8f797049788e,"Uninstall Added",50
5a266ab7d17d8f797049788f,"Agent Uninstalled",51
5a266ab7d17d8f7970497890,"User Approved Agent Uninstall Request",52
5a266ab7d17d8f7970497891,"User Rejected Agent Uninstall Request",53
5a266ab7d17d8f7970497892,"User Decommissioned Agent",54
5a266ab7d17d8f7970497893,"User Recommissioned Agent",55
5a266ab7d17d8f7970497894,"Auto Mitigation Actions Modified",56
5a266ab7d17d8f7970497895,"Quarantine Network Settings Modified",57
5a266ab7d17d8f7970497896,"Notification Option Level Modified",58
5a266ab7d17d8f7970497897,"Event Severity Level Modified",59
5a266ab7d17d8f7970497898,"Recipients Configuration Modified",60
5a266ab7d17d8f7970497899,"User Quarantine Agent Network",61
5a266ab7d17d8f797049789a,"User Unquarantine Agent Network",62
5a266ab7d17d8f797049789b,"User Shutdown Agent",63
5a266ab7d17d8f797049789c,"User Requested Passphrase",64
5a266ab7d17d8f797049789d,"User Requested Full Log Report",65
5a266ab7d17d8f797049789e,"Agent Uploaded Full Log Report",66
5a266ab7d17d8f797049789f,"User Two Fa Modified",67
5a266ab7d17d8f79704978a0,"Engine modified",68
5a266ab7d17d8f79704978a1,"Mitigation Policy modified",69
5a266ab7d17d8f79704978a2,"Agent notification on suspicious modified",70
5a266ab7d17d8f79704978a3,"Scan Initiated",71
5a266ab7d17d8f79704978a4,"Scan Aborted",72
5a266ab7d17d8f79704978a5,"Scan New Agents Changed",73
5a266ab7d17d8f79704978a6,"Machine Restarted",74
5a266ab7d17d8f79704978a7,"On Access Modified",75
5a266ab7d17d8f79704978a8,"Anti Tampering Modified",76
5a266ab7d17d8f79704978a9,"Agent UI Settings Modified",77
5a266ab7d17d8f79704978aa,"Snapshots Settings Modified",78
5a266ab7d17d8f79704978ab,"Agent Logging Aborted",79
5a266ab7d17d8f79704978ac,"Agent Uploaded Fetched file",80
5a266ab7d17d8f79704978ad,"User Requested Fetch files",81
5a266ab7d17d8f79704978ae,"Monitor on execute",82
5a266ab7d17d8f79704978af,"Monitor on write",83
5a266ab7d17d8f79704978b0,"Deep visibility setting",84
5a266ab7d17d8f79704978b1,"Agent started full disk scan",90
5a266ab7d17d8f79704978b2,"Agent aborted full disk scan",91
5a266ab7d17d8f79704978b3,"Agent completed full disk scan",92
5a266ab7d17d8f79704978b4,"Agent Network Quarantined",1001
5a266ab7d17d8f79704978b5,"Agent Network Unquarantined",1002
5a266ab7d17d8f79704978b6,"SSO user added",1023
5a266ab7d17d8f79704978b7,"SSO user updated",1024
5a266ab7d17d8f79704978b8,"Threat Mitigation Report Kill Success",2001
5a266ab7d17d8f79704978b9,"Threat Mitigation Report Remediate Success",2002
5a266ab7d17d8f79704978ba,"Threat Mitigation Report Rollback Success",2003
5a266ab7d17d8f79704978bb,"Threat Mitigation Report Quarantine Success",2004
5a266ab7d17d8f79704978bc,"Agent Mitigation Report Quarantine Network Success",2005
5a266ab7d17d8f79704978bd,"Threat Mitigation Report Kill Failed",2006
5a266ab7d17d8f79704978be,"Threat Mitigation Report Remediate Failed",2007
5a266ab7d17d8f79704978bf,"Threat Mitigation Report Rollback Failed",2008
5a266ab7d17d8f79704978c0,"Threat Mitigation Report Quarantine Failed",2009
5a266ab7d17d8f79704978c1,"Agent Mitigation Report Quarantine Network Failed",2010
5a266ab7d17d8f79704978c2,"User Added White Hash",3001
5a266ab7d17d8f79704978c3,"User Added Black Hash",3002
5a266ab7d17d8f79704978c4,"User Modified Hash",3003
5a266ab7d17d8f79704978c5,"User Deleted Hash",3004
5a266ab7d17d8f79704978c6,"Threat Mark As Threat",4001
5a266ab7d17d8f79704978c7,"Threat Suspicious Resolved",4002
5a266ab7d17d8f79704978c8,"New Threat Suspicious",4003
5a266ab7d17d8f79704978c9,"Show Suspicious On",4004
5a266ab7d17d8f79704978ca,"Show Suspicious Off",4005
5a266ab7d17d8f79704978cb,"Remember Me Length Modified",4006
5a266ab7d17d8f79704978cc,"Suspicious activity marked as benign",4007
5a266ab7d17d8f79704978cd,"Ad Sync Started",5000
5a266ab7d17d8f79704978ce,"Ad Sync Finished",5001
5a266ab7d17d8f79704978cf,"Dynamic Group Creation Started",5002
5a266ab7d17d8f79704978d0,"Dynamic Group Creation Finished",5003
5a266ab7d17d8f79704978d1,"Dynamic Group Update Started",5004
5a266ab7d17d8f79704978d2,"Dynamic Group Update Finished",5005
5a266ab7d17d8f79704978d3,"Group Deleted",5006
5a266ab7d17d8f79704978d4,"Group Info Changed",5007
5a266ab7d17d8f79704978d5,"Static Group Created",5008
5a266ab7d17d8f79704978d6,"Group Content Changed",5009
5a266ab7d17d8f79704978d7,"Group Ranking Changed",5010
