"_time","configuration_auto_mitigation_actions","configuration_learning_mode","configuration_mitigation_mode","configuration_mitigation_mode_suspicious","configuration_research_data",console,"cpu_cores","cpu_count","cpu_id","dest_name",domain,enabled,"external_ip","group_id","group_ip",id,interface,ip,"last_logged_in_user",mac,"machine_type",mem,os,"os_arch",serial,status,"threat_count",time,"time_created","time_last_active","time_last_logged_in_user","time_registered","time_updated",user,"user_actions_needed","user_id","vendor_product",version
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","",""
"1527150521.099000","mitigation.quarantineThreat",true,protect,detect,"researchData.collectAndSend",staging,8,8,"Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","MadlenaK-t470p",SENTINELONE,true,"31.154.17.58",572b5c1aba4079076c3c3b8e,"31.154.17.x",5adef5ec830f7864c9370598,Ethernet,"192.168.20.27 fe80::e91a:6def:af2e:6ad3",madlenak,"8c:16:45:28:36:35",laptop,16220,"Windows 10; No ServicePack Installed","64 bit",ed0e5281fcc759fad532a59f371e5fde01ee751d,connected,0,,"1524561388.717000","1527150521.099000","1525504950.071000","1524561388.717000","1527146856.881000",MadlenaK,1,"S-1-5-21-3131308042-1304971455-3268766856-4441",SentinelOne,"2.5.2.96"
"1527152228.995000","mitigation.none",true,detect,detect,"researchData.collectAndSend",pm,2,1,"Intel(R) Core(TM) i5-6360U CPU @ 2.00GHz","nirg-centos-64b2",vmlocal,true,"31.154.17.58",5a048b2f5109d805c554c4d4,"31.154.17.x",5a363cf55109d848a1a599c3,"ens33 lo","127.0.0.1 192.168.22.22 ::1 fe80::ebb1:801:e127:c574",nirg,"00:00:00:00:00:00 00:0c:29:0a:af:18",desktop,1982,"Linux; CentOS Linux release 7.5.1804 (Core)  3.10.0-862.2.3.el7.x86_64","64 bit","106E4D56-2ACF-ED2C-C9E7-DD40590AAF18",connected,0,,"1513503989.449000","1527152228.995000",,"1513503989.449000","1527151979.129000",,1,,SentinelOne,"2.6.0.1383"
"1527151056.825000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,2,1,"Intel(R) Core(TM) i7-7660U CPU @ 2.50GHz","Leos-MBP","attlocal.net",true,"108.213.70.192",5a267fab830f780ef459766f,"108.213.70.x",5ae234aa830f782ce6bd2bac,"awdl0 en0 lo0 utun0 utun1 utun2 utun3 utun4","127.0.0.1 192.168.1.169 2600:1700:a3a0:5d50:1cb6:eaf6:90d9:a6b0 2600:1700:a3a0:5d50::49 2600:1700:a3a0:5d50:e968:e308:55f1:9559 ::1 fe80::1 fe80::1ad3:2ee6:e00e:83e5 fe80::5f1b:39c:e303:34c6 fe80::6d55:a585:b57d:f9f1 fe80::8da:bb3e:5f78:f5ca fe80::c74f:c13e:d34e:b4d2 fe80::daae:7a72:ffb4:86f7 fe80::f480:43ff:fec0:5c52",lvsphoto,"00:00:00:00:00:00 8c:85:90:ba:c9:da f6:80:43:c0:5c:52",laptop,16384,"OS X; 10.13.4 (17E199)","64 bit","31E9D4FD-017A-500D-A4BA-CB1DC946A9E7",connected,0,,"1524774058.536000","1527151056.825000","1526497854.275000","1524774058.536000","1527151056.825000","leov lvsphoto",1,"S-1-5-21-24793101-2763705117-3376851431-2004 S-1-5-21-3131308042-1304971455-3268766856-4423",SentinelOne,"2.6.1.2504"
"1527153538.670000","mitigation.quarantineThreat",true,protect,detect,"researchData.collectAndSend",staging,8,8,"Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","RonK-T470p",SENTINELONE,true,"31.154.17.58",572b5c1aba4079076c3c3b8e,"31.154.17.x",5b067f35830f783c95c5b75d,Ethernet,"192.168.21.87 fe80::1c99:7839:ea8:3482",sentinel,"8c:16:45:28:38:e2",laptop,16220,"Windows 10; No ServicePack Installed","64 bit",0022b553834b6128180fe8e0066b46fe0309ad13,connected,0,,"1527152437.531000","1527153538.670000","1527153038.621000","1527152437.531000","1527153071.779000",sentinel,1,"S-1-5-21-3557104164-2860629851-2273640641-1001",SentinelOne,"2.6.1.5897"
"1527152552.407000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,2,1,"Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz","monetz-macbookpro13",local,true,"174.87.176.143",5a267fab830f780ef459766f,"174.87.176.x",5ae27938830f782cea6856d6,"awdl0 en0 lo0 utun0 utun1 utun2","127.0.0.1 192.168.1.24 2600:6c52:6300:25::560c:718f:5d5 ::1 fe80::1 fe80::10dd:c9ff:fe0d:c872 fe80::14e2:b733:7ee3:bd5a fe80::6d54:35e8:7117:1e1e fe80::7116:2b9c:2af1:3ea0 fe80::c885:78e6:81db:a76",monetz,"00:00:00:00:00:00 12:dd:c9:0d:c8:72 8c:85:90:d0:cc:50",laptop,16384,"OS X; 10.13.4 (17E202)","64 bit","58A5E391-F52F-5D89-8A91-D2AF22757452",connected,0,,"1524791608.946000","1527152552.407000","1526785951.299000","1524791608.946000","1527152554.768000",monetz,1,"S-1-5-21-3131308042-1304971455-3268766856-4440",SentinelOne,"2.6.1.2504"
"1527153741.268000","mitigation.none",true,detect,detect,"researchData.collectAndSend",pm,2,1,"Intel(R) Core(TM) i5-6360U CPU @ 2.00GHz","nirg-ubuntu-64b3",localdomain,true,"31.154.17.58",5a048b2f5109d805c554c4d4,"31.154.17.x",5afb191a5109d80b706000b2,"ens33 lo","127.0.0.1 192.168.22.23 ::1 fe80::f9f6:77a7:464d:52e4","","00:00:00:00:00:00 00:0c:29:cc:9f:6f",desktop,1970,"Linux; Ubuntu 18.04 LTS 4.15.0-22-generic","64 bit","F1E64D56-FFA6-EA61-0684-4A1B39CC9F6F",connected,0,,"1526405402.902000","1527153741.268000",,"1526405402.902000","1527153060.972000",,1,,SentinelOne,"2.6.0.1386"
"1527155925.584000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,4,1,"Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz","almogl-mbp-15","sentinelone.local",true,"31.154.17.58",5a267fab830f780ef459766f,"31.154.17.x",5b068806830f783c827898cf,"awdl0 en5 en7 lo0 utun0","127.0.0.1 192.168.20.35 ::1 fe80::1 fe80::8cc:2f94:8662:f84 fe80::aede:48ff:fe00:1122 fe80::e000:6cff:fea8:2bdb fe80::ed2f:e787:5420:a4d4",sentinel,"00:00:00:00:00:00 00:e0:4c:30:b4:9a ac:de:48:00:11:22 e2:00:6c:a8:2b:db",laptop,16384,"OS X; 10.13.4 (17E199)","64 bit","94A306AE-BDAD-539B-A90A-1F43D2B6C563",connected,2,,"1527154694.193000","1527155925.584000","1527154459.213000","1527154694.193000","1527155623.145000",sentinel,1,"S-1-5-21-3182252955-2836012867-3535193443-2002",SentinelOne,"2.6.1.2503"
"1527157313.450000","mitigation.quarantineThreat",true,protect,detect,"researchData.collectAndSend",staging,8,8,"Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz","romanr-temp",A,true,"31.154.17.58",58ea15fd830f7836d020d407,"31.154.17.x",5aeacac4830f782ce6be5fae,"Ethernet VirtualBox Host-Only Network Wi-Fi","192.168.150.61 192.168.20.72 192.168.56.1 fe80::39c7:5bfd:f9ea:ea fe80::4948:8cb6:4121:6ce6 fe80::914c:f07e:7884:191b",sentinel,"0a:00:27:00:00:06 34:f3:9a:3c:56:09 c8:5b:76:aa:b6:78",laptop,32586,"Windows 10; No ServicePack Installed","64 bit",699c8ee314a5e1b3dfad5772952481c25ccdf70e,connected,0,,"1525336772.547000","1527157313.450000","1526820207.312000","1525336772.547000","1527157268.109000",sentinel,1,"S-1-5-21-4160427519-1555031526-421896176-1001",SentinelOne,"2.5.2.96"
"1527158701.194000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,4,1,"Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz","dorw-mbp-13","sentinelone.local",false,"31.154.17.58",5a267fab830f780ef459766f,"31.154.17.x",5abb8659830f78275ef3c5f6,"en5 en8 lo0 utun0 vmnet1 vmnet8","127.0.0.1 172.16.150.1 172.16.31.1 192.168.20.33 ::1 fe80::1 fe80::1063:8e0a:e37a:1bad fe80::131f:7c05:c87c:4dec fe80::aede:48ff:fe00:1122",dorw,"00:00:00:00:00:00 00:50:56:c0:00:01 00:50:56:c0:00:08 00:e0:4c:30:b4:21 ac:de:48:00:11:22",laptop,16384,"OS X; 10.13.4 (17E202)","64 bit","9F67E45B-7D6D-561D-91F1-43E53C85CC10",connected,0,,"1522239065.833000","1527158701.194000","1525607236.485000","1522239065.833000","1527158943.839000",dorw,1,"S-1-5-21-3131308042-1304971455-3268766856-4420",SentinelOne,"2.6.1.2504"
"1527159446.822000","mitigation.none",true,detect,detect,"researchData.collectAndSend",staging,2,1,"Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz","sarahr-macbookpro13",local,true,"108.226.112.185",5a267fab830f780ef459766f,"108.226.112.x",5ade7a50830f7864c936f4f0,"awdl0 en0 lo0 utun0 utun1","127.0.0.1 192.168.1.116 2600:1700:baf0:e060:59c9:5224:f3eb:1f6 2600:1700:baf0:e060:839:db0e:d526:93da ::1 fe80::1 fe80::1034:a017:71a9:f11b fe80::2099:1bff:fe7f:521a fe80::7897:b640:cf9:5d72 fe80::eb9a:58c1:1d8:17b5",sarahr,"00:00:00:00:00:00 22:99:1b:7f:52:1a 8c:85:90:d0:cb:f6",laptop,16384,"OS X; 10.13.4 (17E199)","64 bit","F0C77BF9-B9E8-5A8C-83BD-1B9A625DCC77",connected,0,,"1524529744.458000","1527159446.822000","1527000496.871000","1524529744.458000","1527159449.647000",sarahr,1,"S-1-5-21-3131308042-1304971455-3268766856-4704",SentinelOne,"2.6.1.2504"
