action,risk
Activerequest,0
Deny,8
Inactivity,0
Timeout,0
Allow,0
Watermarked,0
Alert,2
Notify,2
Suspicioususerlocations,3
DLPScan,6
AdvMalwareScan,5
PendingAdvMalwareScan,0
PendingDLPScan,0
Blocked,8
Threat,10
default,0
Preview,1
Reauth,0
ScanTimeout,0
Activerequest,0
edit,0
DLP,8
External,5
Internal,3
Private,1
Public,6
Shared,6

