Application,"process_name",Path
"Microsoftr Windowsr Operating System",wmiprvse,"C:\Windows\system32\wbem\wmiprvse.exe"
"Microsoftr Windowsr Operating System",WmiApSrv,"C:\Windows\system32\wbem\WmiApSrv.exe"
"Microsoftr Windowsr Operating System",winlogon,"C:\Windows\system32\winlogon.exe"
"Microsoftr Windowsr Operating System",wininit,"C:\Windows\system32\wininit.exe"
"Citrix ICA Client",WFCRUN32,"C:\Program Files\Citrix\Online Plugin\WFCRUN32.EXE"
"Microsoftr Windowsr Operating System",vmicsvc,"C:\Windows\system32\vmicsvc.exe"
"Microsoftr Windowsr Operating System",taskhost,"C:\Windows\system32\taskhost.exe"
"Microsoftr Windowsr Operating System",svchost,"C:\Windows\system32\svchost.exe"
"Provisioning Services",StatusTray,"C:\Program Files\Citrix\Provisioning Services\StatusTray.exe"
"Citrix ICA Client",ssonsvr,"C:\Program Files\Citrix\Online Plugin\ssonsvr.exe"
"Microsoftr Windowsr Operating System",spoolsv,"C:\Windows\System32\spoolsv.exe"
"Microsoftr Windowsr Operating System",smss,"C:\Windows\system32\smss.exe"
"Microsoftr Windowsr Operating System",services,"C:\Windows\system32\services.exe"
"Citrix Receiver",Receiver,"C:\Program Files\Citrix\Online Plugin\Receiver\Receiver.exe"
"Citrix Offline Plug-in",RadeSvc,"C:\Program Files\Citrix\Offline Plugin\Streaming Client\RadeSvc.exe"
"Citrix Offline Plug-in",RadeHlprSvc,"C:\Program Files\Citrix\Offline Plugin\Streaming Client\RadeHlprSvc.exe"
"Citrix XenDesktop",PvsVmAgent,"C:\Program Files\Citrix\Service\PvsVmAgent.exe"
"Microsoftr Windowsr Operating System",powershell,"C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe"
"Citrix ICA Host",picaTWIHost,"C:\Program Files\Citrix\ICAService\picaTWIHost.exe"
"Citrix ICA Host",picaSvc,"C:\Program Files\Citrix\ICAService\picaSvc.exe"
"Citrix ICA Host",PicaSessionMgr,"C:\Program Files\Citrix\ICAService\PicaSessionMgr.exe"
"Citrix ICA Host",picaDispMgr,"C:\Program Files\Citrix\ICAService\picaDispMgr.exe"
"Citrix ICA Host",MMVDHOST,"C:\Program Files\Citrix\ICAService\MMVDHOST.EXE"
