eventName,event_category
AD_AuthSuccess_Computer,authentication
AD_AuthSuccess_User,authentication
AD_AuthFail_Computer,authentication
AD_AuthFail_User,authentication
AD_AttackIndicator,authentication
DNS_Malicious,malicious
DNS_Suspicious,malicious
DNS_NonExistentDomain,malicious
SMB_FileAccess_Ransom,malicious
HTTP_Malicious,malicious
HTTP_Suspicious,malicious
HTTPS_SelfSignedCert,malicious
HTTP_WebsiteVisited,malicious
HTTPS_WebsiteVisited,malicious
HTTP_FileDownload,malicious
SMB_FileAccess_Fail,change_analysis
SMB_FileAccess_Success,change_analysis
AD_Anomaly,authentication
AD_AuthFail_BruteForce__PrivUser,authentication
AD_AuthFail_BruteForce__User,authentication
AD_AuthFail__LDAP,authentication
AD_AuthFail__PrivUser,priv_authentication
AD_AuthSuccess__LDAPExposedCreds,exposed_authentication
AD_AuthSuccess__LDAPSecure,authentication
AD_AuthSuccess__NewComputer,authentication
AD_AuthSuccess__NewPrivUser,priv_authentication
AD_AuthSuccess__NewUser,authentication
AD_AuthSuccess__PrivUser,priv_authentication
DNS_Anomaly,malicious
DNS_Notable_Site,malicious
DNS_Suspicious_Site,malicious
HTTPS_SelfSignedCert_Company,malicious
HTTPS_SelfSignedCert_Other,malicious
HTTP_Abnormality,malicious
HTTP_FileAccess_Abnormality,malicious
HTTP_FileAccess_Denied,malicious
HTTP_FileAccess_NotableTool,malicious
HTTP_FileAccess_Success,malicious
HTTP_FileUpload_Success,malicious
HTTP_Notable_Site,malicious
HTTP_Suspicious_Site,malicious
LDAP_AuthFail,authentication
LDAP_AuthSuccess__ExposedCreds,exposed_authentication
LDAP_AuthSuccess__Secure,authentication
Remote_Desktop_External,authentication
Remote_Desktop_to_DC,authentication
Remote_PowerShell,malicious
SMB_Anomaly,change_analysis
SMB_Drive_Mapped,change_analysis
SMB_FileAccess_Denied,change_analysis
SMB_FileAccess_NotableTool,change_analysis
SSH_LargeDataTransfer,change_analysis
