eventName,action
AD_AuthSuccess_Computer,success
AD_AuthSuccess_User,success
AD_AuthFail_Computer,failure
AD_AuthFail_User,failure
AD_AttackIndicator,failure
AD_AuthFail_BruteForce__PrivUser,failure
AD_AuthFail_BruteForce__User,failure
AD_AuthFail__LDAP,failure
AD_AuthFail__PrivUser,failure
AD_AuthSuccess__LDAPExposedCreds,success
AD_AuthSuccess__LDAPSecure,success
AD_AuthSuccess__NewComputer,success
AD_AuthSuccess__NewPrivUser,success
AD_AuthSuccess__NewUser,success
AD_AuthSuccess__PrivUser,success
LDAP_AuthFail,failure
LDAP_AuthSuccess__ExposedCreds,success
LDAP_AuthSuccess__Secure,success
