action_type,enabled,item_description,item_icon_file,item_id,item_name,item_type,order,root_id
required,1,Splunk Overview,,vj_overview_splk_core,Overview - Splunk,Overview,0,default
recommended,1,"The Search & Reporting application (Search app) is the primary interface for using the Splunk software to run searches, save reports, and create dashboards. This Search Tutorial is for users who are new to the Splunk platform and the Search app.",,vj_tut_splk_core_search,Tutorial - Splunk Core - Search,Walkthroughs,1,default
recommended,0,"The walkthrough will guide you through the process of determining what to alert on, how you want to get the alert, and creating the alert.",,vj_tut_splk_core_alerts,Tutorial - Splunk Core - Alerts,Walkthroughs,1,default
recommended,0,"The walkthrough will help you understand how you can leverage our Splunkbase to jumpstart your Splunk environment, and leverage the intelligence already added by Splunk Dev, partners, and even other customers.",,vj_tut_splk_core_apps,Tutorial - Splunk Core - Apps,Walkthroughs,1,default
optional,1,Splunk Core- Activity Analysis,,vj_ex_core_activity_analysis,Splunk Core- Activity Analysis,Dashboards,3,default
optional,1,Splunk Core- Analyze Fields,,vj_ex_core_analyze_fields,Splunk Core- Analyze Fields,Dashboards,3,default
optional,1,Splunk Core- Internal Audit Review Dashboard that shows the capabilities of Splunk for auditing review and analysis history of Splunk created reports and dashboards.,,vj_ex_core_search_audit_report,Splunk Core- Internal Audit Review Dashboard,Dashboards,3,default
optional,1,Splunk Core- Index Compression,,vj_ex_core_index_compress,Splunk Core- Index Compression,Dashboards,3,default
optional,1,Splunk Core - SavedSearch-By-Application,,Splunk Core - SavedSearch-By-Application,Splunk Core - SavedSearch-By-Application,Reports,4,default
optional,1,Splunk Core - SavedSearch-By-Author,,Splunk Core - SavedSearch-By-Author,Splunk Core - SavedSearch-By-Author,Reports,4,default
optional,1,Splunk Core - SavedSearch-By-Author-NonDefault,,Splunk Core - SavedSearch-By-Author-NonDefault,Splunk Core - SavedSearch-By-Author-NonDefault,Reports,4,default
optional,1,Knowledge Center - Splunk Core,,vj_kc_splk_core,Knowledge Center - Splunk Core,Knowledge,5,default
recommended,1,Business Analytics - Overview,,vj_overview_uc_mn_ba,Overview - Use Case - Business Analytics,Overview,0,uc_mn_ba
recommended,1,This Walkthrough will show you how to build the a simple but powerful Business Analysis Dashboard .,,vj_wt_ba_timeshare,Walkthrough - Business Analytics - Timeshare Sales,Walkthroughs,2,uc_mn_ba
optional,1,BA- Walkthrough - Timeshare - Overview,,vj_template_wt_ba_timeshare_final,BA- Walkthrough - Timeshare - Overview,Dashboards,3,uc_mn_ba
optional,1,Basic Example of looking Overall Sales and Trends.,,vj_ex_ba_timeshare_base,BA- Walkthrough - TimeShare - Sales Basic,Dashboards,3,uc_mn_ba
optional,1,BA- Revenue - Abandoned Revenue by Web Action,,BA- Revenue - Abandoned Revenue by Web Action,BA- Revenue - Abandoned Revenue by Web Action,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Avg Amount Per Unit Purchased,,BA- Timeshare - Avg Amount Per Unit Purchased,BA- Timeshare - Avg Amount Per Unit Purchased,Reports,4,uc_mn_ba
