status,status_description,status_type,action
100,Continue,Informational,success
101,Switching Protocols,Informational,success
200,OK,Successful,success
201,Created,Successful,success
202,Accepted,Successful,success
203,Non-Authoritative Information,Successful,success
204,No Content,Successful,success
205,Reset Content,Successful,success
206,Partial Content,Successful,success
300,Multiple Choices,Redirection,success
301,Moved Permanently,Redirection,success
302,Found,Redirection,success
303,See Other,Redirection,success
304,Not Modified,Redirection,success
305,Use Proxy,Redirection,success
307,Temporary Redirect,Redirectio,success
400,Bad Request,Client Error,failure
401,Unauthorized,Client Error,failure
402,Payment Required,Client Error,failure
403,Forbidden,Client Error,failure
404,Not Found,Client Error,failure
405,Method Not Allowed,Client Error,failure
406,Not Acceptable,Client Error,failure
407,Proxy Authentication Required,Client Error,failure
408,Request Timeout,Client Error,failure
409,Conflict,Client Error,failure
410,Gone,Client Error,failure
411,Length Required,Client Error,failure
412,Precondition Failed,Client Error,failure
413,Request Entity Too Large,Client Error,failure
414,Request-URI Too Long,Client Error,failure
415,Unsupported Media Type,Client Error,failure
416,Requested Range Not Satisfiable,Client Error,failure
417,Expectation Failed,Client Error,failure
500,Internal Server Error,Server Error,failure
501,Not Implemented,Server Error,failure
502,Bad Gateway,Server Error,failure
503,Service Unavailable,Server Error,failure
504,Gateway Timeout,Server Error,failure
505,HTTP Version Not Supported,Server Error,failure
