"_time",access,audit,endpoint,network,threat
"2018-08-19T23:00:00.000+0000",1,,,,
"2018-08-19T23:30:00.000+0000",,,,36,
"2018-08-20T00:00:00.000+0000",5,,3,11,63
"2018-08-20T00:30:00.000+0000",8,,1,29,
"2018-08-20T01:00:00.000+0000",82,1,3,10,73
"2018-08-20T01:30:00.000+0000",1,1,,38,
"2018-08-20T02:00:00.000+0000",6,,5,9,64
"2018-08-20T02:30:00.000+0000",2,,1,33,
"2018-08-20T03:00:00.000+0000",9,,3,6,62
"2018-08-20T03:30:00.000+0000",3,,,41,
"2018-08-20T04:00:00.000+0000",5,1,1,5,66
"2018-08-20T04:30:00.000+0000",3,,1,35,
"2018-08-20T05:00:00.000+0000",4,,5,7,62
"2018-08-20T05:30:00.000+0000",1,,,30,
"2018-08-20T06:00:00.000+0000",4,,3,11,65
"2018-08-20T06:30:00.000+0000",3,,,35,
"2018-08-20T07:00:00.000+0000",6,1,1,9,67
"2018-08-20T07:30:00.000+0000",2,,,34,
"2018-08-20T08:00:00.000+0000",7,,82,14,53
"2018-08-20T08:30:00.000+0000",6,1,6,51,
"2018-08-20T09:00:00.000+0000",5,,35,6,75
"2018-08-20T09:30:00.000+0000",2,,49,522,
"2018-08-20T10:00:00.000+0000",11,1,6,9,59
"2018-08-20T10:30:00.000+0000",2,,3,41,
"2018-08-20T11:00:00.000+0000",2,,3,8,62
"2018-08-20T11:30:00.000+0000",5,,1,38,
"2018-08-20T12:00:00.000+0000",,,4,7,67
"2018-08-20T12:30:00.000+0000",2,,,38,
"2018-08-20T13:00:00.000+0000",6,,4,9,63
"2018-08-20T13:30:00.000+0000",1,1,,48,
"2018-08-20T14:00:00.000+0000",2,,6,6,67
"2018-08-20T14:30:00.000+0000",3,,,43,
"2018-08-20T15:00:00.000+0000",5,,3,3,58
"2018-08-20T15:30:00.000+0000",3,,,46,
"2018-08-20T16:00:00.000+0000",6,1,7,8,64
"2018-08-20T16:30:00.000+0000",5,1,,29,
"2018-08-20T17:00:00.000+0000",5,,6,8,55
"2018-08-20T17:30:00.000+0000",5,,,42,
"2018-08-20T18:00:00.000+0000",9,,10,3,60
"2018-08-20T18:30:00.000+0000",,,,35,
"2018-08-20T19:00:00.000+0000",2,,3,7,55
"2018-08-20T19:30:00.000+0000",12,,,34,
"2018-08-20T20:00:00.000+0000",14,,5,14,61
"2018-08-20T20:30:00.000+0000",17,,,35,
"2018-08-20T21:00:00.000+0000",15,,8,7,55
"2018-08-20T21:30:00.000+0000",6,,,44,
"2018-08-20T22:00:00.000+0000",11,2,3,7,56
"2018-08-20T22:30:00.000+0000",8,,,40,
"2018-08-20T23:00:00.000+0000",7,4,,7,63
