object_id,object_label,object_path,object_type,uc_id,url,video_src
hUz1pLSAcREbLoX3x5KNg5,Essential Guide To Machine Data: Lightboard-Edition,https://play.vidyard.com/hUz1pLSAcREbLoX3x5KNg5?v=3.1.1&amp;type=inline&amp;cc=en&amp;referring_url=https%253A%252F%252Fwww.splunk.com%252Fen_us%252Fresources%252Fvideos.all.html&amp;,Video,splk_core_ov,,vidyard
nqdbx3k21g4LXqP9CVCd83,Splunk: The Enterprise Machine Data Fabric,https://play.vidyard.com/nqdbx3k21g4LXqP9CVCd83?v=3.1.1&amp;type=inline&amp;cc=en&amp;referring_url=https%253A%252F%252Fwww.splunk.com%252Fen_us%252Fresources%252Fvideos.all.html&amp;,Video,splk_core,,vidyard
JCGjtxpnkmYvDii5nmdbjR,Data Retention in Splunk Cloud,https://play.vidyard.com/JCGjtxpnkmYvDii5nmdbjR?v=3.1.1&amp;type=inline&amp;cc=en&amp;,Video,splk_core,,vidyard
1gmUmaPq2nkGgd7kehxpZg,Connected Experiences from Splunk,https://play.vidyard.com/1gmUmaPq2nkGgd7kehxpZg?v=3.1.1,Video,splk_core,,vidyard
hUz1pLSAcREbLoX3x5KNg5,"Essential Guide To Machine Data: ""Lightboard"" Edition",https://play.vidyard.com/hUz1pLSAcREbLoX3x5KNg5?v=3.1.1,Video,splk_core,,vidyard
UiuTkVesSvThP74qjzNWxq,What's In a Name? Splunk If I Know,https://play.vidyard.com/UiuTkVesSvThP74qjzNWxq?v=3.1.1,Video,splk_core,,vidyard
321596241,Creating Alerts in Splunk Enterprise,https://player.vimeo.com/video/321596241,Video,splk_core,,vimeo
144835940,Splunk eLearning Demo Video,https://player.vimeo.com/video/144835940,Video,splk_core,,vimeo
kytpaGxT2AE,Splunk Helps Save $1 Billion for U.S. Rail Industry,https://www.youtube.com/embed/kytpaGxT2AE?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com,Video,splk_core,,youtube
the-essential-guide-to-machine-data.pdf,Essential Guide to Machine Data,/static/app/vj_splunk/info/uc_docs/splk_core/the-essential-guide-to-machine-data.pdf,Document,splk_core,,
Operational_Intelligence_Executive_Summary.pdf,Operational Intelligence - Executive Summary,/static/app/vj_splunk/info/uc_docs/splk_core/Operational_Intelligence_Executive_Summary.pdf,Document,splk_core,,
splunk-guide-to-operational-intelligence.pdf,Operational Intelligence - Splunk Guide,https://www.splunk.com/pdfs/solution-guides/splunk-guide-to-operational-intelligence.pdf,web,splk_core,,
2018-predictions-ebook.pdf,Splunk Predictions 2018,/static/app/vj_splunk/info/uc_docs/splk_core/2018-predictions-ebook.pdf,Document,splk_core,,
