asn,provider
AS13335,Cloudflare
AS16509,Amazon AWS
AS14618,Amazon AWS
AS15169,Google
AS8075,Microsoft Azure
AS20940,Akamai
AS54113,Fastly
AS16625,Akamai
AS32934,Facebook/Meta
AS36492,Google YouTube
AS46489,Twitch
AS14061,DigitalOcean
AS63949,Linode/Akamai
