category_id,category_value
BAC-AL-ADMUSR,"Behavior - High Risk Account - Privileged Admin Accounts"
BAC-AL-POIUSR,"Behavior - High Risk Account - Persons of Interest"
BAC-AL-UAADM,"Behavior - High Risk Account - Unauthorized Admin Account"
BAT-AL-LUPOFF,"Behavior - Abnormal Transfer - Large Uploads To Offnetwork Sites"
BDI-AL-DWNLOD,"Behavior - Data Introduction - Download"
BFR-AL-FLTRSK,"Behavior - Flight Risk"
BNG-AL-CREDMU,"Behavior - Negligence - Credential Misuse"
BNG-AL-INCTNT,"Behavior - Negligence - Inappropriate Adult Content"
BNG-AL-PRMDFL,"Behavior - Negligence - Pirated Media Files"
BNG-AL-PRMDSI,"Behavior - Negligence - Pirated Media Website"
BNG-AL-PRSWML,"Behavior - Negligence - Personal Webmail"
BNG-AL-PWDFNM,"Behavior - Negligence - Filename With Password In Title"
BNG-AL-PWMLCI,"Behavior - Negligence - Personal Webmail With Potential Company Information"
BOB-AL-ARCRNM,"Behavior - Obfuscation - Suspicious Archive Renaming"
BOB-AL-BROWSR,"Behavior - Obfuscation - Private Browsing And Clearing Browsing History"
BRR-AL-BLKWEB,"Behavior - Research - Website Blocked By External Tool"
BRR-AL-BPRSCH,"Behavior - Research - Security Bypass Research"
BRR-AL-CYBWHT,"Behavior - Research - Security Tool Research"
BRR-AL-PRVWHT,"Behavior - Research - Runas Command Research"
BSD-AL-SENSTV,"Behavior - Sensitive Data"
BUA-AL-FTPRUN,"Behavior - Unapproved Applications - FTP"
BUA-AL-PRTAPP,"Behavior Unapproved Applications - Portable Applications"
BUA-WA-APPLKR,"Behavior - Unapproved Applications - AppLocker"
CNC-AL-CNTPXY-T1090,"Command And Control - Connection Proxy [T1090]"
COL-AL-AUDCAP-T1123,"Collection - Audio Capture [T1123]"
COL-AL-CLPBRD-T1115,"Collection - Clipboard Data [T1115]"
COL-AL-INFREP-T1213,"Collection - Data From Information Repositories [T1213]"
COL-AL-INPCAP-T1056,"Collection - Input Capture [T1056]"
COL-AL-SCRCAP-T1113,"Collection - Screen Capture [T1113]"
COL-AL-VIDCAP-T1125,"Collection - Video Capture [T1125]"
COL-MW-AIRDRP-T1025,"Collection - Data from Removable Media - Mac Airdrop [T1025]"
CRA-AL-BRTFRC-T1110,"Credential Access - Brute Force [T1110]"
CRA-AL-CRDDMP-T1003,"Credential Access - Credential Dumping [T1003]"
CRA-WA-ACCMAN-T1098,"Credential Access - Account Manipulation [T1098]"
CRA-WA-CRINRG-T1214,"Credential Access - Credentials in Registry [T1214]"
DFE-AL-ANNSVC-T1306,"Defense Evasion - Anonymity Services [T1306]"
DFE-AL-FILDEL-T1107,"Defense Evasion - File Deletion [T1107]"
DFE-AL-FPRMMD-T1222,"Defense Evasion - File And Directory Permissions Modification [T1222]"
DFE-AL-HDNFIL-T1158,"Defense Evasion - Hidden Files And Directories [T1158]"
DFE-AL-INRMVL-T1070,"Defense Evasion - Indicator Removal On Host Event Logs Viewer [T1070]"
DFE-AL-IRTCRT-T1130,"Defense Evasion - Install Root Certificate - Windows [T1130]"
DFE-AL-TAMPER-T1089,"Defense Evasion - Disabling Security Tools [T1089]"
DFE-ML-CLRCMD-T1146,"Defense Evasion - Clear Command History [T1146]"
DFE-MW-GKPRBP-T1144,"Defense Evasion - Gatekeeper Bypass [T1144]"
DFE-MW-HDNUSR-T1147,"Defense Evasion - Hidden Users [T1147]"
DFE-WA-BITSJB-T1197,"Defense Evasion - BITS Jobs [T1197]"
DFE-WA-DCDINF-T1140,"Defense Evasion - Deobfuscate-Decode Files Or Information [T1140]"
DFE-WA-INDRMV-T1070,"Defense Evasion - Indicator Removal On Host [T1070]"
DFE-WA-NSHRRM-T1126,"Defense Evasion - Network Share Connection Removal [T1126]"
DIS-AL-ACTDIS-T1087,"Discovery - Account Discovery [T1087]"
DIS-AL-FILDIR-T1083,"Discovery - File and Directory Discovery [T1083]"
DIS-AL-NETCFG-T1016,"Discovery - System Network Configuration Discovery [T1016]"
DIS-AL-NETCON-T1049,"Discovery - System Network Connections Discovery [T1049]"
DIS-AL-NWKSCN-T1046,"Discovery - Network Service Scanning [T1046]"
DIS-AL-NWKSHR-T1135,"Discovery - Network Share Discovery [T1135]"
DIS-AL-PERDEV-T1120,"Discovery - Peripheral Device Discovery [T1120]"
DIS-AL-PRGRPS-T1069,"Discovery - Permission Groups Discovery [T1069]"
DIS-AL-PWDPOL-T1201,"Discovery - Password Policy Discovery [T1201]"
DIS-AL-RMTSYS-T1018,"Discovery - Remote System Discovery [T1018]"
DIS-AL-SECSFW-T1063,"Discovery - Security Software Discovery [T1063]"
DIS-AL-SYSINF-T1082,"Discovery - System Information Discovery [T1082]"
DIS-AL-SYSTIM-T1124,"Discovery - System Time Discovery [T1124]"
DIS-WA-SYSSVC-T1007,"Discovery - System Service Discovery [T1007]"
EXC-AL-ADMCLI-T1059,"Execution - Command Line Interface [T1059]"
EXC-AL-SCRIPT-T1064,"Execution - Scripting [T1064]"
EXC-ML-LCLJOB-T1168,"Execution - Local Job Scheduling [T1168]"
EXC-WA-CHTMLF-T1223,"Execution - Compiled HTML File [T1223]"
EXC-WA-CMSTPI-T1191,"Execution - CMSTP (Connection Manager Service Profile) [T1191]"
EXC-WA-INSTUT-T1118,"Execution - InstallUtil [T1118]"
EXC-WA-MSHTAE-T1170,"Execution - Mshta - HTA Executable Download [T1170]"
EXC-WA-PWRSHL-T1086,"Execution - PowerShell [T1086]"
EXC-WA-REGCOM-T1121,"Execution - Regsvcs-Regasm [T1121]"
EXC-WA-REGSVR-T1117,"Execution - Regsvr32 [T1117]"
EXC-WA-RUNDLL-T1085,"Execution - Abnormal Rundll32 Execution [T1085]"
EXC-WA-SBPEXE-T1218,"Execution - Signed Binary Proxy Execution [T1218]"
EXC-WA-SCHTSK-T1053,"Execution - Scheduled Task [T1053]"
EXC-WA-SVCEXC-T1035,"Execution - Service Execution [T1035]"
EXC-WA-TRSDEV-T1127,"Execution - Trusted Developer Utilities [T1127]"
EXC-WA-WMGMTI-T1047,"Execution - Windows Management Instrumentation [T1047]"
EXC-WA-XSLSCT-T1220,"Execution - XSL Script Processing [T1220]"
EXF-AL-BLUTFR-T1011,"Exfiltration - Over Other Network Medium - Bluetooth [T1011]"
EXF-AL-BRSRUP-T1011,"Exfiltration - Over Other Network Medium - File Upload Via Browser [T1011]"
EXF-AL-DTACPR-T1002,"Exfiltration - Data Compressed [T1002]"
EXF-AL-FTPTFR-T1048,"Exfiltration - Over Alternative Protocol - FTP [T1048]"
EXF-AL-PRNTNM-T1052,"Exfiltration - Over Physical Medium - Printing Sensitive Document Name [T1052]"
EXF-AL-PRSWML-T1011,"Exfiltration - Personal Webmail [T1011]"
