etag,eventtype,host,id,index,linecount,location,name,"properties.addressSpace.addressPrefixes{}","properties.provisioningState","properties.resourceGuid","properties.subnets{}.etag","properties.subnets{}.id","properties.subnets{}.name","properties.subnets{}.properties.addressPrefix","properties.subnets{}.properties.ipConfigurations{}.id","properties.subnets{}.properties.provisioningState","properties.subnets{}.type",punct,region,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype","tags.Owner","tags.Purpose",timestamp,"tmp_epochtime",type,"_raw","_time"
"W/""1f678a59-056e-45c4-ae4a-36d63960a94d""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/MineMeld/providers/Microsoft.Network/virtualNetworks/virtualNetwork1",main,2,southcentralus,virtualNetwork1,"10.0.0.0/16",Succeeded,"c3fb80a5-fa53-41e8-8b7c-aac732f107cf","W/""1f678a59-056e-45c4-ae4a-36d63960a94d""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/MineMeld/providers/Microsoft.Network/virtualNetworks/virtualNetwork1/subnets/Subnet-1","Subnet-1","10.0.0.0/24","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/MineMeld/providers/Microsoft.Network/networkInterfaces/networkInterface1/ipConfigurations/ipconfig1",Succeeded,,"{"""":_""/\""----\"""",_"""":_"""",_"""":_{"""":_[{"""":_""//----//",southcentralus,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,,,none,1600937470,"Microsoft.Network/virtualNetworks","{""etag"": ""W/\""1f678a59-056e-45c4-ae4a-36d63960a94d\"""", ""location"": ""southcentralus"", ""properties"": {""subnets"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/MineMeld/providers/Microsoft.Network/virtualNetworks/virtualNetwork1/subnets/Subnet-1"", ""etag"": ""W/\""1f678a59-056e-45c4-ae4a-36d63960a94d\"""", ""name"": ""Subnet-1"", ""properties"": {""addressPrefix"": ""10.0.0.0/24"", ""provisioningState"": ""Succeeded"", ""ipConfigurations"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/MineMeld/providers/Microsoft.Network/networkInterfaces/networkInterface1/ipConfigurations/ipconfig1""}]}}], ""resourceGuid"": ""c3fb80a5-fa53-41e8-8b7c-aac732f107cf"", ""provisioningState"": ""Succeeded"", ""addressSpace"": {""addressPrefixes"": [""10.0.0.0/16""]}}, ""name"": ""virtualNetwork1"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/MineMeld/providers/Microsoft.Network/virtualNetworks/virtualNetwork1"", ""type"": ""Microsoft.Network/virtualNetworks""}
","2020-09-24T08:51:10.000+0000"
"W/""daa8f54d-46d5-4a9a-92b4-6b910cc6aa1d""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/asdfasdf/providers/Microsoft.Network/virtualNetworks/asdfasdf-vnet",main,2,westus,"asdfasdf-vnet","10.1.0.0/24",Succeeded,"1f7a0005-cfc0-413c-8ac2-80e841f65c53","W/""daa8f54d-46d5-4a9a-92b4-6b910cc6aa1d""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/asdfasdf/providers/Microsoft.Network/virtualNetworks/asdfasdf-vnet/subnets/default",default,"10.1.0.0/24","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/asdfasdf/providers/Microsoft.Network/networkInterfaces/regularmachine684/ipConfigurations/ipconfig1",Succeeded,,"{"""":_""/\""----\"""",_"""":_""-"",_"""":_""//----////.//-"",_""",westus,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,,,none,1600937467,"Microsoft.Network/virtualNetworks","{""etag"": ""W/\""daa8f54d-46d5-4a9a-92b4-6b910cc6aa1d\"""", ""name"": ""asdfasdf-vnet"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/asdfasdf/providers/Microsoft.Network/virtualNetworks/asdfasdf-vnet"", ""properties"": {""subnets"": [{""properties"": {""ipConfigurations"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/asdfasdf/providers/Microsoft.Network/networkInterfaces/regularmachine684/ipConfigurations/ipconfig1""}], ""provisioningState"": ""Succeeded"", ""addressPrefix"": ""10.1.0.0/24""}, ""etag"": ""W/\""daa8f54d-46d5-4a9a-92b4-6b910cc6aa1d\"""", ""name"": ""default"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/asdfasdf/providers/Microsoft.Network/virtualNetworks/asdfasdf-vnet/subnets/default""}], ""provisioningState"": ""Succeeded"", ""addressSpace"": {""addressPrefixes"": [""10.1.0.0/24""]}, ""resourceGuid"": ""1f7a0005-cfc0-413c-8ac2-80e841f65c53""}, ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""westus""}
","2020-09-24T08:51:07.000+0000"
"W/""e241819a-8c9c-416a-a5d7-7fe6086dcb79""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/wrk-aturing/providers/Microsoft.Network/virtualNetworks/wrk-aturing-vnet",main,2,westus,"wrk-aturing-vnet","10.1.1.0/24",Succeeded,"d0da8ae9-fd38-4cfc-b31a-3500be5106b9","W/""e241819a-8c9c-416a-a5d7-7fe6086dcb79""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/wrk-aturing/providers/Microsoft.Network/virtualNetworks/wrk-aturing-vnet/subnets/default",default,"10.1.1.0/24","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/wrk-aturing/providers/Microsoft.Network/networkInterfaces/wrk-aturing571/ipConfigurations/ipconfig1",Succeeded,,"{"""":_{"""":_"""",_"""":_""----"",_"""":_[{"""":_{"""":_"""",_"""":_[",westus,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,,,none,1600937467,"Microsoft.Network/virtualNetworks","{""properties"": {""provisioningState"": ""Succeeded"", ""resourceGuid"": ""d0da8ae9-fd38-4cfc-b31a-3500be5106b9"", ""subnets"": [{""properties"": {""provisioningState"": ""Succeeded"", ""ipConfigurations"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/wrk-aturing/providers/Microsoft.Network/networkInterfaces/wrk-aturing571/ipConfigurations/ipconfig1""}], ""addressPrefix"": ""10.1.1.0/24""}, ""name"": ""default"", ""etag"": ""W/\""e241819a-8c9c-416a-a5d7-7fe6086dcb79\"""", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/wrk-aturing/providers/Microsoft.Network/virtualNetworks/wrk-aturing-vnet/subnets/default""}], ""addressSpace"": {""addressPrefixes"": [""10.1.1.0/24""]}}, ""etag"": ""W/\""e241819a-8c9c-416a-a5d7-7fe6086dcb79\"""", ""name"": ""wrk-aturing-vnet"", ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""westus"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/wrk-aturing/providers/Microsoft.Network/virtualNetworks/wrk-aturing-vnet""}
","2020-09-24T08:51:07.000+0000"
"W/""a597ba83-b3e6-4a9d-b633-cd2d02d2e293""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/virtualNetworks/bots-vnet",main,2,australiasoutheast,"bots-vnet","10.0.0.0/24",Succeeded,"bebd81d5-a819-435c-8699-7b2f207a89cc","W/""a597ba83-b3e6-4a9d-b633-cd2d02d2e293""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/virtualNetworks/bots-vnet/subnets/default",default,"10.0.0.0/24","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/networkInterfaces/splunk64/ipConfigurations/ipconfig1",Succeeded,,"{"""":_""-"",_"""":_""/\""----\"""",_"""":_{"""":_"""",_"""":_""----""",australiasoutheast,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,,,none,1600937465,"Microsoft.Network/virtualNetworks","{""name"": ""bots-vnet"", ""etag"": ""W/\""a597ba83-b3e6-4a9d-b633-cd2d02d2e293\"""", ""properties"": {""provisioningState"": ""Succeeded"", ""resourceGuid"": ""bebd81d5-a819-435c-8699-7b2f207a89cc"", ""subnets"": [{""name"": ""default"", ""etag"": ""W/\""a597ba83-b3e6-4a9d-b633-cd2d02d2e293\"""", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/virtualNetworks/bots-vnet/subnets/default"", ""properties"": {""provisioningState"": ""Succeeded"", ""ipConfigurations"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/networkInterfaces/splunk64/ipConfigurations/ipconfig1""}], ""addressPrefix"": ""10.0.0.0/24""}}], ""addressSpace"": {""addressPrefixes"": [""10.0.0.0/24""]}}, ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/virtualNetworks/bots-vnet"", ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""australiasoutheast""}
","2020-09-24T08:51:05.000+0000"
"W/""ff552328-41d7-4e8f-9501-75c6400b1efd""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/conf19/providers/Microsoft.Network/virtualNetworks/conf19-vnet",main,2,australiaeast,"conf19-vnet","10.0.4.0/24",Succeeded,"2ad25208-b437-48ab-9449-2b60868e240d","W/""ff552328-41d7-4e8f-9501-75c6400b1efd""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/conf19/providers/Microsoft.Network/virtualNetworks/conf19-vnet/subnets/default",default,"10.0.4.0/24",,Succeeded,"Microsoft.Network/virtualNetworks/subnets","{"""":_""-"",_"""":_""//----////.//-"",_"""":_""/\""----\"""",_""",australiaeast,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,"Ryan Lait",,none,1600937414,"Microsoft.Network/virtualNetworks","{""name"": ""conf19-vnet"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/conf19/providers/Microsoft.Network/virtualNetworks/conf19-vnet"", ""etag"": ""W/\""ff552328-41d7-4e8f-9501-75c6400b1efd\"""", ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""australiaeast"", ""tags"": {""Owner"": ""Ryan Lait""}, ""properties"": {""provisioningState"": ""Succeeded"", ""resourceGuid"": ""2ad25208-b437-48ab-9449-2b60868e240d"", ""addressSpace"": {""addressPrefixes"": [""10.0.4.0/24""]}, ""subnets"": [{""name"": ""default"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/conf19/providers/Microsoft.Network/virtualNetworks/conf19-vnet/subnets/default"", ""etag"": ""W/\""ff552328-41d7-4e8f-9501-75c6400b1efd\"""", ""properties"": {""provisioningState"": ""Succeeded"", ""addressPrefix"": ""10.0.4.0/24""}, ""type"": ""Microsoft.Network/virtualNetworks/subnets""}]}}
","2020-09-24T08:50:14.000+0000"
"W/""be662012-6daa-4b0c-9b74-74ae7855cc00""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothly-vnet",main,2,southcentralus,"frothly-vnet","10.0.1.0/24",Succeeded,"41f18f78-8ade-4159-98a1-155945e1ae88","W/""be662012-6daa-4b0c-9b74-74ae7855cc00""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothly-vnet/subnets/default",default,"10.0.1.0/24","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/networkInterfaces/test808/ipConfigurations/ipconfig1
/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/networkInterfaces/WVD-Win10-0-nic/ipConfigurations/ipconfig",Succeeded,"Microsoft.Network/virtualNetworks/subnets","{"""":_""-"",_"""":_""//----////.//-"",_"""":_""/\""----\"""",_""",southcentralus,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,,,none,1600937272,"Microsoft.Network/virtualNetworks","{""name"": ""frothly-vnet"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothly-vnet"", ""etag"": ""W/\""be662012-6daa-4b0c-9b74-74ae7855cc00\"""", ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""southcentralus"", ""properties"": {""provisioningState"": ""Succeeded"", ""resourceGuid"": ""41f18f78-8ade-4159-98a1-155945e1ae88"", ""addressSpace"": {""addressPrefixes"": [""10.0.1.0/24""]}, ""subnets"": [{""name"": ""default"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothly-vnet/subnets/default"", ""etag"": ""W/\""be662012-6daa-4b0c-9b74-74ae7855cc00\"""", ""properties"": {""provisioningState"": ""Succeeded"", ""addressPrefix"": ""10.0.1.0/24"", ""ipConfigurations"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/networkInterfaces/test808/ipConfigurations/ipconfig1""}, {""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/networkInterfaces/WVD-Win10-0-nic/ipConfigurations/ipconfig""}]}, ""type"": ""Microsoft.Network/virtualNetworks/subnets""}]}}
","2020-09-24T08:47:52.000+0000"
"W/""cc42e8b2-44c6-4329-ba54-eebf92bf1105""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothlyvnet",main,2,westus,frothlyvnet,"10.0.3.0/24",Succeeded,"94713bf1-afc7-4230-92b3-53b2ca1d4714","W/""cc42e8b2-44c6-4329-ba54-eebf92bf1105""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothlyvnet/subnets/default",default,"10.0.3.0/24",,Succeeded,"Microsoft.Network/virtualNetworks/subnets","{"""":_"""",_"""":_""//----////.//"",_"""":_""/\""----\"""",_"""":",westus,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,,,none,1600937260,"Microsoft.Network/virtualNetworks","{""name"": ""frothlyvnet"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothlyvnet"", ""etag"": ""W/\""cc42e8b2-44c6-4329-ba54-eebf92bf1105\"""", ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""westus"", ""properties"": {""provisioningState"": ""Succeeded"", ""resourceGuid"": ""94713bf1-afc7-4230-92b3-53b2ca1d4714"", ""addressSpace"": {""addressPrefixes"": [""10.0.3.0/24""]}, ""subnets"": [{""name"": ""default"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothlyvnet/subnets/default"", ""etag"": ""W/\""cc42e8b2-44c6-4329-ba54-eebf92bf1105\"""", ""properties"": {""provisioningState"": ""Succeeded"", ""addressPrefix"": ""10.0.3.0/24""}, ""type"": ""Microsoft.Network/virtualNetworks/subnets""}]}}
","2020-09-24T08:47:40.000+0000"
"W/""ce8b1300-9352-4977-b7bd-6e2199010b7b""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/virtualNetworks/splunk",main,2,australiasoutheast,splunk,"10.1.0.0/16",Succeeded,"7614e9ea-3c70-44e4-9ce8-576ac17ed41f","W/""ce8b1300-9352-4977-b7bd-6e2199010b7b""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/virtualNetworks/splunk/subnets/splunk",splunk,"10.1.0.0/24","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/networkInterfaces/splunkhf01402/ipConfigurations/ipconfig1",Succeeded,"Microsoft.Network/virtualNetworks/subnets","{"""":_"""",_"""":_""//----////.//"",_"""":_""/\""----\"""",_"""":",australiasoutheast,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,"Ryan Lait","Splunk Heavy Forwarder 1",none,1600937239,"Microsoft.Network/virtualNetworks","{""name"": ""splunk"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/virtualNetworks/splunk"", ""etag"": ""W/\""ce8b1300-9352-4977-b7bd-6e2199010b7b\"""", ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""australiasoutheast"", ""tags"": {""Owner"": ""Ryan Lait"", ""Purpose"": ""Splunk Heavy Forwarder 1""}, ""properties"": {""provisioningState"": ""Succeeded"", ""resourceGuid"": ""7614e9ea-3c70-44e4-9ce8-576ac17ed41f"", ""addressSpace"": {""addressPrefixes"": [""10.1.0.0/16""]}, ""subnets"": [{""name"": ""splunk"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/virtualNetworks/splunk/subnets/splunk"", ""etag"": ""W/\""ce8b1300-9352-4977-b7bd-6e2199010b7b\"""", ""properties"": {""provisioningState"": ""Succeeded"", ""addressPrefix"": ""10.1.0.0/24"", ""ipConfigurations"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/bots/providers/Microsoft.Network/networkInterfaces/splunkhf01402/ipConfigurations/ipconfig1""}]}, ""type"": ""Microsoft.Network/virtualNetworks/subnets""}]}}
","2020-09-24T08:47:19.000+0000"
"W/""48515d27-b168-4588-be49-d58783a453f7""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothlyvnet616",main,2,australiaeast,frothlyvnet616,"10.0.5.0/24",Succeeded,"5a7ea5df-9490-4754-baf7-0c7288cb75f9","W/""48515d27-b168-4588-be49-d58783a453f7""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothlyvnet616/subnets/default",default,"10.0.5.0/24","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/networkInterfaces/forum2019752/ipConfigurations/ipconfig1",Succeeded,"Microsoft.Network/virtualNetworks/subnets","{"""":_"""",_"""":_""//----////.//"",_"""":_""/\""----\"""",_"""":",australiaeast,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,sob,,none,1600937144,"Microsoft.Network/virtualNetworks","{""name"": ""frothlyvnet616"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothlyvnet616"", ""etag"": ""W/\""48515d27-b168-4588-be49-d58783a453f7\"""", ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""australiaeast"", ""tags"": {""Owner"": ""sob""}, ""properties"": {""provisioningState"": ""Succeeded"", ""resourceGuid"": ""5a7ea5df-9490-4754-baf7-0c7288cb75f9"", ""addressSpace"": {""addressPrefixes"": [""10.0.5.0/24""]}, ""subnets"": [{""name"": ""default"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/frothlyvnet616/subnets/default"", ""etag"": ""W/\""48515d27-b168-4588-be49-d58783a453f7\"""", ""properties"": {""provisioningState"": ""Succeeded"", ""addressPrefix"": ""10.0.5.0/24"", ""ipConfigurations"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/networkInterfaces/forum2019752/ipConfigurations/ipconfig1""}]}, ""type"": ""Microsoft.Network/virtualNetworks/subnets""}]}}
","2020-09-24T08:45:44.000+0000"
"W/""0c7c006c-e84f-4991-853b-328f363329e7""",,Azure,"/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/ryan",main,2,centralus,ryan,"10.0.6.0/24",Succeeded,"77a5e641-421f-4c0d-85be-a4b1df86b2f1","W/""0c7c006c-e84f-4991-853b-328f363329e7""","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/ryan/subnets/ryan",ryan,"10.0.6.0/24","/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/networkInterfaces/ryan726/ipConfigurations/ipconfig1",Succeeded,"Microsoft.Network/virtualNetworks/subnets","{"""":_"""",_"""":_""//----////.//"",_"""":_""/\""----\"""",_"""":",centralus,"mscs_resource_virtualNetwork.sample","mscs:resource:virtualNetwork",so1,,,,"Ryan Lait",TopologyMapping,none,1600937004,"Microsoft.Network/virtualNetworks","{""name"": ""ryan"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/ryan"", ""etag"": ""W/\""0c7c006c-e84f-4991-853b-328f363329e7\"""", ""type"": ""Microsoft.Network/virtualNetworks"", ""location"": ""centralus"", ""tags"": {""Owner"": ""Ryan Lait"", ""Purpose"": ""TopologyMapping""}, ""properties"": {""provisioningState"": ""Succeeded"", ""resourceGuid"": ""77a5e641-421f-4c0d-85be-a4b1df86b2f1"", ""addressSpace"": {""addressPrefixes"": [""10.0.6.0/24""]}, ""subnets"": [{""name"": ""ryan"", ""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/virtualNetworks/ryan/subnets/ryan"", ""etag"": ""W/\""0c7c006c-e84f-4991-853b-328f363329e7\"""", ""properties"": {""provisioningState"": ""Succeeded"", ""addressPrefix"": ""10.0.6.0/24"", ""ipConfigurations"": [{""id"": ""/subscriptions/1213b189-13ff-42fe-b370-df6da421bce1/resourceGroups/frothly/providers/Microsoft.Network/networkInterfaces/ryan726/ipConfigurations/ipconfig1""}]}, ""type"": ""Microsoft.Network/virtualNetworks/subnets""}]}}
","2020-09-24T08:43:24.000+0000"
