Architecture,BuildNumber,BuildType,ClassGuid,ClockSpeedMHz,CodeSet,CommandLine,ComputerName,CountryCode,Description,DeviceClass,DeviceID,DeviceName,DisplayName,DriverDate,DriverProviderName,DriverVersion,FreePhysicalMemoryKB,FreeVirtualMemoryKB,HardWareID,Host,ID,Id,InfName,InstallDate,LastBootUpTime,Locale,Manufacturer,Name,NumberOfCores,NumberOfProcessors,OS,ParentID,Path,ProcessId,"Processor_Id",SerialNumber,ServiceType,StartMode,StartTime,Started,State,Status,SystemDevice,SystemDirectory,SystemDrive,TotalPhysicalMemoryKB,TotalVirtualMemoryKB,Type,Version,"_raw","_time",componentId,componentInstance,componentValue,"cpu_architecture","cpu_cores","cpu_count","cpu_mhz",description,dest,eventtype,family,host,index,linecount,mem,"mem_free","mem_free_percent","mem_used","mem_used_percent",mount,"ms_exchange_host",os,process,"process_id",punct,serial,service,"service_exec","service_name","service_path",source,sourcetype,"splunk_server","splunk_server_group","start_mode",status,storage,"storage_free","storage_free_percent","storage_used","storage_used_percent",tag,"tag::eventtype","tmp_epochtime","vendor_product",version
,,,,,,,,,"Provides enabling services for storage settings and external storage expansion",,,,"Storage Service",,,,,,,,,,,,,,,StorSvc,,,,,"C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",3672,,,"Share Process",Manual,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""StorSvc""
DisplayName=""Storage Service""
Description=""Provides enabling services for storage settings and external storage expansion""
Path=""C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Manual""
Started=true
State=""Running""
Status=""OK""
ProcessId=3672","2021-06-29T12:56:34.000+0000","WinHostMon-StorSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,3672,"==""""=""_""=""_________""="":\\\._-__-""=""_""=""""==""""=""""=",,"Storage Service","svchost.exe","Storage Service","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624971394,,
,,,,,,,,,"Manages local user identity keys used to authenticate user to identity providers as well as TPM virtual smart cards. If this service is disabled, local user identity keys and TPM virtual smart cards will not be accessible. It is recommended that you do not reconfigure this service.",,,,"Microsoft Passport Container",,,,,,,,,,,,,,,NgcCtnrSvc,,,,,"C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",0,,,"Share Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""NgcCtnrSvc""
DisplayName=""Microsoft Passport Container""
Description=""Manages local user identity keys used to authenticate user to identity providers as well as TPM virtual smart cards. If this service is disabled, local user identity keys and TPM virtual smart cards will not be accessible. It is recommended that you do not reconfigure this service.""
Path=""C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T12:56:34.000+0000","WinHostMon-NgcCtnrSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""__""=""__________________._____,_____________.",,"Microsoft Passport Container","svchost.exe","Microsoft Passport Container","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624971394,,
,,,,,,,,,"Windows service for application access to downloaded maps. This service is started on-demand by application accessing downloaded maps. Disabling this service will prevent apps from accessing maps.",,,,"Downloaded Maps Manager",,,,,,,,,,,,,,,MapsBroker,,,,,"C:\Windows\System32\svchost.exe -k NetworkService -p",0,,,"Own Process",Disabled,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""MapsBroker""
DisplayName=""Downloaded Maps Manager""
Description=""Windows service for application access to downloaded maps. This service is started on-demand by application accessing downloaded maps. Disabling this service will prevent apps from accessing maps.""
Path=""C:\Windows\System32\svchost.exe -k NetworkService -p""
ServiceType=""Own Process""
StartMode=""Disabled""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T12:56:34.000+0000","WinHostMon-MapsBroker","C:\Windows\System32\svchost.exe -k NetworkService -p",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""__""=""_______._____-_____._________.""="":\\\._",,"Downloaded Maps Manager","svchost.exe","Downloaded Maps Manager","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",disabled,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624971394,,
,,,,,,,,,"AWS Lite Guest Agent",,,,"AWS Lite Guest Agent",,,,,,,,,,,,,,,AWSLiteAgent,,,,,"C:\Program Files\Amazon\XenTools\LiteAgent.exe",2628,,,"Own Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""AWSLiteAgent""
DisplayName=""AWS Lite Guest Agent""
Description=""AWS Lite Guest Agent""
Path=""C:\Program Files\Amazon\XenTools\LiteAgent.exe""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=2628","2021-06-29T12:56:34.000+0000","WinHostMon-AWSLiteAgent","C:\Program Files\Amazon\XenTools\LiteAgent.exe",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,2628,"==""""=""___""=""___""="":\_\\\.""=""_""=""""==""""=""""=",,"AWS Lite Guest Agent","LiteAgent.exe","AWS Lite Guest Agent","C:\Program Files\Amazon\XenTools\LiteAgent.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624971394,,
,,,,,,,,,"Provides a JIT out of process service for WARP when running with ACG enabled.",,,,WarpJITSvc,,,,,,,,,,,,,,,WarpJITSvc,,,,,"C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted",0,,,"Own Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""WarpJITSvc""
DisplayName=""WarpJITSvc""
Description=""Provides a JIT out of process service for WARP when running with ACG enabled.""
Path=""C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted""
ServiceType=""Own Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T12:51:34.000+0000","WinHostMon-WarpJITSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""""=""_____________.""="":\\\._-_""=""_""=""""==""""=""""=",,WarpJITSvc,"svchost.exe",WarpJITSvc,"C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624971094,,
,,,,,,,,,"The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state.",,,,"Offline Files",,,,,,,,,,,,,,,CscService,,,,,"C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",0,,,"Share Process",Disabled,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""CscService""
DisplayName=""Offline Files""
Description=""The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state.""
Path=""C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Disabled""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T12:51:34.000+0000","WinHostMon-CscService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""_""=""___________,_______,_______,____________",,"Offline Files","svchost.exe","Offline Files","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",disabled,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624971094,,
,,,,,,,,,"The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready, which may in turn cause those services to fail to start correctly. This service should not be disabled.",,,,"Security Accounts Manager",,,,,,,,,,,,,,,SamSs,,,,,"C:\Windows\system32\lsass.exe",784,,,"Share Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""SamSs""
DisplayName=""Security Accounts Manager""
Description=""The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready, which may in turn cause those services to fail to start correctly. This service should not be disabled.""
Path=""C:\Windows\system32\lsass.exe""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=784","2021-06-29T12:46:34.000+0000","WinHostMon-SamSs","C:\Windows\system32\lsass.exe",1,,,,,,"EC2AMAZ-3G1B1SF","err0r hostmon_windows microsoft_windows_hostmon_service nix_errors",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,784,"==""""=""__""=""_____________()_____.__________________",,"Security Accounts Manager","lsass.exe","Security Accounts Manager","C:\Windows\system32\lsass.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"error
os
report
service
windows","error
os
report
service
windows",1624970794,,
,,,,,,,,,"Manages Windows Updates. If stopped, your devices will not be able download and install latest udpates.",,,,"Update Orchestrator Service",,,,,,,,,,,,,,,UsoSvc,,,,,"C:\Windows\system32\svchost.exe -k netsvcs -p",664,,,"Share Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""UsoSvc""
DisplayName=""Update Orchestrator Service""
Description=""Manages Windows Updates. If stopped, your devices will not be able download and install latest udpates.""
Path=""C:\Windows\system32\svchost.exe -k netsvcs -p""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=664","2021-06-29T12:41:34.000+0000","WinHostMon-UsoSvc","C:\Windows\system32\svchost.exe -k netsvcs -p",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,664,"==""""=""__""=""__.__,___________.""="":\\\._-__-""=""_""=""""",,"Update Orchestrator Service","svchost.exe","Update Orchestrator Service","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624970494,,
,,,,,,,,,"This service spools print jobs and handles interaction with the printer.  If you turn off this service, you won’t be able to print or see your printers.",,,,"Print Spooler",,,,,,,,,,,,,,,Spooler,,,,,"C:\Windows\System32\spoolsv.exe",2488,,,"Own Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""Spooler""
DisplayName=""Print Spooler""
Description=""This service spools print jobs and handles interaction with the printer.  If you turn off this service, you won’t be able to print or see your printers.""
Path=""C:\Windows\System32\spoolsv.exe""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=2488","2021-06-29T12:41:34.000+0000","WinHostMon-Spooler","C:\Windows\System32\spoolsv.exe",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,2488,"==""""=""_""=""__________._______,__________.""="":\\\.""=",,"Print Spooler","spoolsv.exe","Print Spooler","C:\Windows\System32\spoolsv.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624970494,,
,,,,,,,,,"Allows the system to be configured to lock the user desktop upon smart card removal.",,,,"Smart Card Removal Policy",,,,,,,,,,,,,,,SCPolicySvc,,,,,"C:\Windows\system32\svchost.exe -k netsvcs",0,,,"Share Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""SCPolicySvc""
DisplayName=""Smart Card Removal Policy""
Description=""Allows the system to be configured to lock the user desktop upon smart card removal.""
Path=""C:\Windows\system32\svchost.exe -k netsvcs""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T12:41:34.000+0000","WinHostMon-SCPolicySvc","C:\Windows\system32\svchost.exe -k netsvcs",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""___""=""______________.""="":\\\._-_""=""_""=""""==""""",,"Smart Card Removal Policy","svchost.exe","Smart Card Removal Policy","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624970494,,
