"Application_Path",ComputerName,"Error_Code",EventCode,EventType,"Hang_type",Keywords,LogName,Message,OpCode,"Process_ID",RecordNumber,"Report_Id",SourceName,"Start_Time",TaskCategory,"Termination_Time",Type,body,category,dest,dvc,"dvc_nt_host","event_id",eventtype,host,id,index,linecount,product,punct,severity,"severity_id","signature_id",source,sourcetype,"splunk_server",tag,"tag::eventtype","temp_epochtime",vendor,"vendor_product"
,MelissaNBT3RG22,"-",6008,2,,Classic,System,"The previous system shutdown at 5:41:04 AM on ‎3/‎26/‎2020 was unexpected.",None,,5156,,EventLog,,None,,Error,"The previous system shutdown at 5:41:04 AM on ‎3/‎26/‎2020 was unexpected.",None,MelissaNBT3RG22,MelissaNBT3RG22,MelissaNBT3RG22,5156,"Key_Events_On_Hosts endpoint_services_processes windows_event_signature wineventlog_common wineventlog_system wineventlog_windows winsystem",MelissaNBT3RG22,5156,main,12,Windows,"//_::_===========_____::___//__.",high,2,6008,"WinEventLog:System",WinEventLog,C02ZD1J5LVDR,"endpoint filesystem os process report service track_event_signatures windows","endpoint filesystem os process report service track_event_signatures windows",1585232997,Microsoft,"Microsoft Windows"
,MelissaNBT3RG22,"-",6008,2,,Classic,System,"The previous system shutdown at 3:38:08 AM on ‎3/‎4/‎2020 was unexpected.",None,,3909,,EventLog,,None,,Error,"The previous system shutdown at 3:38:08 AM on ‎3/‎4/‎2020 was unexpected.",None,MelissaNBT3RG22,MelissaNBT3RG22,MelissaNBT3RG22,3909,"Key_Events_On_Hosts endpoint_services_processes windows_event_signature wineventlog_common wineventlog_system wineventlog_windows winsystem",MelissaNBT3RG22,3909,main,12,Windows,"//_::_===========_____::___//__.",high,2,6008,"WinEventLog:System",WinEventLog,C02ZD1J5LVDR,"endpoint filesystem os process report service track_event_signatures windows","endpoint filesystem os process report service track_event_signatures windows",1583861779,Microsoft,"Microsoft Windows"
"C:\Windows\explorer.exe",MelissaNBT3RG22,"-",1002,2,Unknown,Classic,Application,"The program explorer.exe version 10.0.18362.449 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: fc
 Start Time: 01d5e10c4dcf0186
 Termination Time: 0
 Application Path: C:\Windows\explorer.exe
 Report Id: 0b44bdd8-097f-43ef-8f45-8d316ba35ac1
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown",Info,fc,1464,"0b44bdd8-097f-43ef-8f45-8d316ba35ac1","Application Hang",01d5e10c4dcf0186,101,0,Error,,101,MelissaNBT3RG22,MelissaNBT3RG22,MelissaNBT3RG22,1464,"Key_Events_On_Hosts endpoint_services_processes winapp windows_event_signature wineventlog_application wineventlog_common wineventlog_windows",MelissaNBT3RG22,1464,main,20,,"//_::_==_=========__.__..._______.__________,_____",high,2,1002,"WinEventLog:Application",WinEventLog,C02ZD1J5LVDR,"endpoint filesystem os process report service track_event_signatures windows","endpoint filesystem os process report service track_event_signatures windows",1581449158,,"Microsoft Windows"
,MelissaNBT3RG22,"-",6008,2,,Classic,System,"The previous system shutdown at 7:17:32 AM on ‎2/‎7/‎2020 was unexpected.",None,,1569,,EventLog,,None,,Error,"The previous system shutdown at 7:17:32 AM on ‎2/‎7/‎2020 was unexpected.",None,MelissaNBT3RG22,MelissaNBT3RG22,MelissaNBT3RG22,1569,"Key_Events_On_Hosts endpoint_services_processes windows_event_signature wineventlog_common wineventlog_system wineventlog_windows winsystem",MelissaNBT3RG22,1569,main,12,Windows,"//_::_===========_____::___//__.",high,2,6008,"WinEventLog:System",WinEventLog,C02ZD1J5LVDR,"endpoint filesystem os process report service track_event_signatures windows","endpoint filesystem os process report service track_event_signatures windows",1581344112,Microsoft,"Microsoft Windows"
"C:\Program Files (x86)\WinMerge\WinMergeU.exe",MelissaNBT3RG22,"-",1002,2,Unknown,Classic,Application,"The program WinMergeU.exe version 2.16.4.0 stopped interacting with Windows and was closed. To see if more information about the problem is available, check the problem history in the Security and Maintenance control panel.
 Process ID: 2e90
 Start Time: 01d5cbd9bc9259fc
 Termination Time: 6
 Application Path: C:\Program Files (x86)\WinMerge\WinMergeU.exe
 Report Id: a86ab20d-5e57-437b-a132-4e427c3fcadd
 Faulting package full name: 
 Faulting package-relative application ID: 
 Hang type: Unknown",Info,2e90,473,"a86ab20d-5e57-437b-a132-4e427c3fcadd","Application Hang",01d5cbd9bc9259fc,101,6,Error,,101,MelissaNBT3RG22,MelissaNBT3RG22,MelissaNBT3RG22,473,"Key_Events_On_Hosts endpoint_services_processes winapp windows_event_signature wineventlog_application wineventlog_common wineventlog_windows",MelissaNBT3RG22,473,main,20,,"//_::_==_=========__.__..._______.__________,_____",high,2,1002,"WinEventLog:Application",WinEventLog,C02ZD1J5LVDR,"endpoint filesystem os process report service track_event_signatures windows","endpoint filesystem os process report service track_event_signatures windows",1579116624,,"Microsoft Windows"
