"_time",host,instance,index,object,"processor_idle_time","tmp_epochtime"
"2021-07-01T14:57:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.764856",1625151420
"2021-07-01T14:57:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"90.834649",1625151450
"2021-07-01T14:58:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.674104",1625151480
"2021-07-01T14:58:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"91.140026",1625151510
"2021-07-01T14:59:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.709584",1625151540
"2021-07-01T14:59:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"91.311387",1625151570
"2021-07-01T15:00:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.791821",1625151600
"2021-07-01T15:00:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"90.964742",1625151630
"2021-07-01T15:01:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.785424",1625151660
"2021-07-01T15:01:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"88.834894",1625151690
"2021-07-01T15:02:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.696171",1625151720
"2021-07-01T15:02:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"91.281259",1625151750
"2021-07-01T15:03:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.905173",1625151780
"2021-07-01T15:03:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"91.425111",1625151810
"2021-07-01T15:04:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.584729",1625151840
"2021-07-01T15:04:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"91.550091",1625151870
"2021-07-01T15:05:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"98.033656",1625151900
"2021-07-01T15:05:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"91.412266",1625151930
"2021-07-01T15:06:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.798521",1625151960
"2021-07-01T15:06:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"84.919771",1625151990
"2021-07-01T15:07:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"97.887827",1625152020
"2021-07-01T15:07:30.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"91.360225",1625152050
"2021-07-01T15:08:00.000+0000","EC2AMAZ-3G1B1SF","_Total","itsi_im_metrics",Processor,"98.063363",1625152080
