EventCode,LogName,"Windows_OS_Support",signature,"signature_severity"
1,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",EMET,low
2,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",EMET,low
865,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","SRP Block",low
866,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","SRP Block",low
867,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","SRP Block",low
868,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","SRP Block",low
882,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","SRP Block",low
1000,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","App Error",low
1001,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows Error Reporting",low
1002,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","App Hang",low
1022,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","New MSI File Installed",low
1033,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","New MSI File Installed",low
800,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Summary of Software Activities",low
903,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","New Application Installation",low
904,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","New Application Installation",low
905,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Updated Application",low
906,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Updated Application",low
907,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Removed Application",low
908,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Removed Application",low
8003,"Microsoft-Windows-AppLocker_EXE and DLL","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","AppLocker Block",low
8004,"Microsoft-Windows-AppLocker_MSI and Script","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","AppLocker Block",low
8006,"Microsoft-Windows-AppLocker/MSI and Script","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","AppLocker Warning",medium
8007,"Microsoft-Windows-AppLocker/MSI and Script","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","AppLocker Warning",medium
3001,"Microsoft-Windows-CodeIntegrity/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Code Integrity Check",low
3002,"Microsoft-Windows-CodeIntegrity/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Code Integrity Check",low
3003,"Microsoft-Windows-CodeIntegrity/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Code Integrity Check",low
3004,"Microsoft-Windows-CodeIntegrity/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Code Integrity Check",low
3010,"Microsoft-Windows-CodeIntegrity/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Code Integrity Check",low
3023,"Microsoft-Windows-CodeIntegrity/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Code Integrity Check",low
400,"Microsoft-Windows-Kernel-PnP/Device Configuration","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","New Mass Storage Installation",low
410,"Microsoft-Windows-Kernel-PnP/Device Configuration","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","New Mass Storage Installation",low
10000,"Microsoft-Windows-NetworkProfile/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Network Connection and Disconnection Status (Wired and Wireless)",low
10001,"Microsoft-Windows-NetworkProfile/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Network Connection and Disconnection Status (Wired and Wireless)",low
307,"Microsoft-Windows-PrintService/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Printing Document",low
43,"Microsoft-Windows-USB-USBHUB3-Analytic","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","New Device Information",low
1005,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Scan Failed",low
1006,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Detected Malware",medium
1008,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Action on Malware Failed",medium
1010,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Failed to remove item from quarantine",low
2001,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Failed to update signatures",low
2003,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Failed to update engine",low
2004,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Reverting to last known good set of signatures",low
3002,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Real-Time Protection failed",low
5008,"Microsoft-Windows-Windows Defender/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Unexpected Error",low
2004,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Firewall Rule Add",low
2005,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Firewall Rule Change",low
2006,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Firewall Rules Deleted",low
2009,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Firewall Failed to load Group Policy",low
2033,"Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Firewall Rules Deleted",low
20,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows Update Failed",low
24,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows Update Failed",low
25,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows Update Failed",low
31,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows Update Failed",low
34,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows Update Failed",low
35,"Microsoft-Windows-WindowsUpdateClient/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows Update Failed",low
8002,"Microsoft-Windows-WLAN- AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Connection Failed",low
11004,"Microsoft-Windows-WLAN- AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Security Started, Stopped, Successful, or Failed",low
11005,"Microsoft-Windows-WLAN- AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Security Started, Stopped, Successful, or Failed",low
11006,"Microsoft-Windows-WLAN- AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Security Started, Stopped, Successful, or Failed",low
11010,"Microsoft-Windows-WLAN- AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Security Started, Stopped, Successful, or Failed",low
8000,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Starting a Wireless connection",low
8001,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Successfully connected to Wireless connection",low
8003,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Disconnect from Wireless connection",low
8011,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Starting a Wireless connection",low
11000,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Association Status",low
11001,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Association Status",low
11002,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Association Status",low
12011,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Authentication Started and Failed",low
12012,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Authentication Started and Failed",low
12013,"Microsoft-Windows-WLAN-AutoConfig/Operational","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Wireless Authentication Started and Failed",low
512,Security,"Windows (2000 XP) and Windows Server (2003)","Windows NT is starting up",low
513,Security,"Windows (2000 XP) and Windows Server (2003)","Windows is shutting down",low
514,Security,"Windows (2000 XP) and Windows Server (2003)","An authentication package has been loaded by the Local Security Authority",low
515,Security,"Windows (2000 XP) and Windows Server (2003)","A trusted logon process has registered with the Local Security Authority",low
516,Security,"Windows (2000 XP) and Windows Server (2003)","Internal resources allocated for the queuing of audit messages have been exhausted  leading to the loss of some audits",low
517,Security,"Windows (2000 XP) and Windows Server (2003)","The audit log was cleared",low
518,Security,"Windows (2000 XP) and Windows Server (2003)","A notification package has been loaded by the Security Account Manager",low
519,Security,"Windows (2000 XP) and Windows Server (2003)","A process is using an invalid local procedure call (LPC) port",low
520,Security,"Windows (2000 XP) and Windows Server (2003)","The system time was changed",low
521,Security,"Windows (2000 XP) and Windows Server (2003)","Unable to log events to security log",low
528,Security,"Windows (2000 XP) and Windows Server (2003)","Successful Logon",low
529,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – Unknown user name or bad password",low
530,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – Account logon time restriction violation",low
531,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – Account currently disabled",low
532,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – The specified user account has expired",low
533,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – User not allowed to logon at this computer",low
534,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – The user has not been granted the requested logon type at this machine",low
535,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – The specified account’s password has expired",low
536,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – The NetLogon component is not active",low
537,Security,"Windows (2000 XP) and Windows Server (2003)","Logon failure – The logon attempt failed for other reasons.",low
538,Security,"Windows (2000 XP) and Windows Server (2003)","User Logoff",low
539,Security,"Windows (2000 XP) and Windows Server (2003)","Logon Failure – Account locked out",low
540,Security,"Windows (2000 XP) and Windows Server (2003)","Successful Network Logon",low
551,Security,"Windows (2000 XP) and Windows Server (2003)","User initiated logoff",low
552,Security,"Windows (2000 XP) and Windows Server (2003)","Logon attempt using explicit credentials",low
560,Security,"Windows (2000 XP) and Windows Server (2003)","Object Open",low
561,Security,"Windows (2000 XP) and Windows Server (2003)","Handle Allocated",low
562,Security,"Windows (2000 XP) and Windows Server (2003)","Handle Closed",low
563,Security,"Windows (2000 XP) and Windows Server (2003)","Object Open for Delete",low
564,Security,"Windows (2000 XP) and Windows Server (2003)","Object Deleted",low
565,Security,"Windows (2000 XP) and Windows Server (2003)","Object Open (Active Directory)",low
566,Security,"Windows (2000 XP) and Windows Server (2003)","Object Operation (Active Directory)",low
567,Security,"Windows (2000 XP) and Windows Server (2003)","Object Access Attempt",low
576,Security,"Windows (2000 XP) and Windows Server (2003)","Special privileges assigned to new logon",low
577,Security,"Windows (2000 XP) and Windows Server (2003)","Privileged Service Called",low
578,Security,"Windows (2000 XP) and Windows Server (2003)","Privileged object operation",low
592,Security,"Windows (2000 XP) and Windows Server (2003)","A new process has been created",low
593,Security,"Windows (2000 XP) and Windows Server (2003)","A process has exited",low
594,Security,"Windows (2000 XP) and Windows Server (2003)","A handle to an object has been duplicated",low
595,Security,"Windows (2000 XP) and Windows Server (2003)","Indirect access to an object has been obtained",low
596,Security,"Windows (2000 XP) and Windows Server (2003)","Backup of data protection master key",low
600,Security,"Windows (2000 XP) and Windows Server (2003)","A process was assigned a primary token",low
601,Security,"Windows (2000 XP) and Windows Server (2003)","Attempt to install service",low
602,Security,"Windows (2000 XP) and Windows Server (2003)","Scheduled Task created",low
608,Security,"Windows (2000 XP) and Windows Server (2003)","User Right Assigned",low
609,Security,"Windows (2000 XP) and Windows Server (2003)","User Right Removed",low
610,Security,"Windows (2000 XP) and Windows Server (2003)","New Trusted Domain",low
611,Security,"Windows (2000 XP) and Windows Server (2003)","Removing Trusted Domain",low
612,Security,"Windows (2000 XP) and Windows Server (2003)","Audit Policy Change",low
613,Security,"Windows (2000 XP) and Windows Server (2003)","IPSec policy agent started",low
614,Security,"Windows (2000 XP) and Windows Server (2003)","IPSec policy agent disabled",low
615,Security,"Windows (2000 XP) and Windows Server (2003)","IPSEC PolicyAgent Service",low
616,Security,"Windows (2000 XP) and Windows Server (2003)","IPSec policy agent encountered a potentially serious failure.",low
617,Security,"Windows (2000 XP) and Windows Server (2003)","Kerberos Policy Changed",low
618,Security,"Windows (2000 XP) and Windows Server (2003)","Encrypted Data Recovery Policy Changed",low
619,Security,"Windows (2000 XP) and Windows Server (2003)","Quality of Service Policy Changed",low
620,Security,"Windows (2000 XP) and Windows Server (2003)","Trusted Domain Information Modified",low
621,Security,"Windows (2000 XP) and Windows Server (2003)","System Security Access Granted",low
622,Security,"Windows (2000 XP) and Windows Server (2003)","System Security Access Removed",low
623,Security,"Windows (2000 XP) and Windows Server (2003)","Per User Audit Policy was refreshed",low
624,Security,"Windows (2000 XP) and Windows Server (2003)","User Account Created",low
625,Security,"Windows (2000 XP) and Windows Server (2003)","User Account Type Changed",low
626,Security,"Windows (2000 XP) and Windows Server (2003)","User Account Enabled",low
627,Security,"Windows (2000 XP) and Windows Server (2003)","Change Password Attempt",low
628,Security,"Windows (2000 XP) and Windows Server (2003)","User Account password set",low
629,Security,"Windows (2000 XP) and Windows Server (2003)","User Account Disabled",low
630,Security,"Windows (2000 XP) and Windows Server (2003)","User Account Deleted",low
631,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Global Group Created",low
632,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Global Group Member Added",low
633,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Global Group Member Removed",low
634,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Global Group Deleted",low
635,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Local Group Created",low
636,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Local Group Member Added",low
637,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Local Group Member Removed",low
638,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Local Group Deleted",low
639,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Local Group Changed",low
640,Security,"Windows (2000 XP) and Windows Server (2003)","General Account Database Change",low
641,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Global Group Changed",low
642,Security,"Windows (2000 XP) and Windows Server (2003)","User Account Changed",low
643,Security,"Windows (2000 XP) and Windows Server (2003)","Domain Policy Changed",low
644,Security,"Windows (2000 XP) and Windows Server (2003)","User Account Locked Out",low
645,Security,"Windows (2000 XP) and Windows Server (2003)","Computer Account Created",low
646,Security,"Windows (2000 XP) and Windows Server (2003)","Computer Account Changed",low
647,Security,"Windows (2000 XP) and Windows Server (2003)","Computer Account Deleted",low
648,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Local Group Created",low
649,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Local Group Changed",low
650,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Local Group Member Added",low
651,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Local Group Member Removed",low
652,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Local Group Deleted",low
653,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Global Group Created",low
654,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Global Group Changed",low
655,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Global Group Member Added",low
656,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Global Group Member Removed",low
657,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Global Group Deleted",low
658,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Universal Group Created",low
659,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Universal Group Changed",low
660,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Universal Group Member Added",low
661,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Universal Group Member Removed",low
662,Security,"Windows (2000 XP) and Windows Server (2003)","Security Enabled Universal Group Deleted",low
663,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Universal Group Created",low
664,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Universal Group Changed",low
665,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Universal Group Member Added",low
666,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Universal Group Member Removed",low
667,Security,"Windows (2000 XP) and Windows Server (2003)","Security Disabled Universal Group Deleted",low
668,Security,"Windows (2000 XP) and Windows Server (2003)","Group Type Changed",low
669,Security,"Windows (2000 XP) and Windows Server (2003)","Add SID History",low
670,Security,"Windows (2000 XP) and Windows Server (2003)","Add SID History",low
671,Security,"Windows (2000 XP) and Windows Server (2003)","User Account Unlocked",low
672,Security,"Windows (2000 XP) and Windows Server (2003)","Authentication Ticket Granted",low
673,Security,"Windows (2000 XP) and Windows Server (2003)","Service Ticket Granted",low
674,Security,"Windows (2000 XP) and Windows Server (2003)","Ticket Granted Renewed",low
675,Security,"Windows (2000 XP) and Windows Server (2003)","Pre-authentication failed",low
676,Security,"Windows (2000 XP) and Windows Server (2003)","Authentication Ticket Request Failed",low
677,Security,"Windows (2000 XP) and Windows Server (2003)","Service Ticket Request Failed",low
678,Security,"Windows (2000 XP) and Windows Server (2003)","Account Mapped for Logon by",low
679,Security,"Windows (2000 XP) and Windows Server (2003)","The name: %2 could not be mapped for logon by: %1",low
680,Security,"Windows (2000 XP) and Windows Server (2003)","Account Used for Logon by",low
681,Security,"Windows (2000 XP) and Windows Server (2003)","The logon to account: %2 by: %1 from workstation: %3 failed.",low
682,Security,"Windows (2000 XP) and Windows Server (2003)","Session reconnected to winstation",low
683,Security,"Windows (2000 XP) and Windows Server (2003)","Session disconnected from winstation",low
684,Security,"Windows (2000 XP) and Windows Server (2003)","Set ACLs of members in administrators groups",low
685,Security,"Windows (2000 XP) and Windows Server (2003)","Account Name Changed",low
686,Security,"Windows (2000 XP) and Windows Server (2003)","Password of the following user accessed",low
687,Security,"Windows (2000 XP) and Windows Server (2003)","Basic Application Group Created",low
688,Security,"Windows (2000 XP) and Windows Server (2003)","Basic Application Group Changed",low
689,Security,"Windows (2000 XP) and Windows Server (2003)","Basic Application Group Member Added",low
690,Security,"Windows (2000 XP) and Windows Server (2003)","Basic Application Group Member Removed",low
691,Security,"Windows (2000 XP) and Windows Server (2003)","Basic Application Group Non-Member Added",low
692,Security,"Windows (2000 XP) and Windows Server (2003)","Basic Application Group Non-Member Removed",low
693,Security,"Windows (2000 XP) and Windows Server (2003)","Basic Application Group Deleted",low
694,Security,"Windows (2000 XP) and Windows Server (2003)","LDAP Query Group Created",low
695,Security,"Windows (2000 XP) and Windows Server (2003)","LDAP Query Group Changed",low
696,Security,"Windows (2000 XP) and Windows Server (2003)","LDAP Query Group Deleted",low
697,Security,"Windows (2000 XP) and Windows Server (2003)","Password Policy Checking API is called",low
806,Security,"Windows (2000 XP) and Windows Server (2003)","Per User Audit Policy was refreshed",low
807,Security,"Windows (2000 XP) and Windows Server (2003)","Per user auditing policy set for user",low
808,Security,"Windows (2000 XP) and Windows Server (2003)","A security event source has attempted to register",low
809,Security,"Windows (2000 XP) and Windows Server (2003)","A security event source has attempted to unregister",low
848,Security,"Windows (2000 XP) and Windows Server (2003)","The following policy was active when the Windows Firewall started",low
849,Security,"Windows (2000 XP) and Windows Server (2003)","An application was listed as an exception when the Windows Firewall started",low
850,Security,"Windows (2000 XP) and Windows Server (2003)","A port was listed as an exception when the Windows Firewall started",low
851,Security,"Windows (2000 XP) and Windows Server (2003)","A change has been made to the Windows Firewall application exception list",low
852,Security,"Windows (2000 XP) and Windows Server (2003)","A change has been made to the Windows Firewall port exception list",low
853,Security,"Windows (2000 XP) and Windows Server (2003)","The Windows Firewall operational mode has changed",low
854,Security,"Windows (2000 XP) and Windows Server (2003)","The Windows Firewall logging settings have changed",low
855,Security,"Windows (2000 XP) and Windows Server (2003)","A Windows Firewall ICMP setting has changed",low
856,Security,"Windows (2000 XP) and Windows Server (2003)","The Windows Firewall setting to allow unicast responses to multicast/broadcast traffic has changed",low
857,Security,"Windows (2000 XP) and Windows Server (2003)","The Windows Firewall setting to allow remote administration allowing port TCP 135 and DCOM/RPC has changed",low
858,Security,"Windows (2000 XP) and Windows Server (2003)","Windows Firewall group policy settings have been applied",low
859,Security,"Windows (2000 XP) and Windows Server (2003)","The Windows Firewall group policy settings have been removed",low
860,Security,"Windows (2000 XP) and Windows Server (2003)","The Windows Firewall has switched the active policy profile",low
861,Security,"Windows (2000 XP) and Windows Server (2003)","The Windows Firewall has detected an application listening for incoming traffic",low
1100,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","The event logging service has shut down",low
